rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,train/clip_fraction,train/loss,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/n_updates,train/explained_variance,train/clip_range,train/learning_rate,train/entropy_loss
1265.7771,23,415.8,2783,1015,2826240,0.23980631510416667,0.04836130887269974,-0.009865414752008897,0.021897262,0.07865724493555414,220,0.6952821612358093,0.2,0.0003,-3.9036333097269136
1322.288,24,429.1333333333333,2910,1013,2949120,0.24026774088541666,-0.010105211287736893,-0.009259133607204907,0.022363506,0.06625326362952667,230,0.7873448133468628,0.2,0.0003,-3.8713518261785307
1199.9023,25,382.8666666666667,3035,1011,3072000,0.24561279296875,0.01987488567829132,-0.009012754894332222,0.022775386,0.07942090346322705,240,0.7627002000808716,0.2,0.0003,-3.854370159407457
1385.679,26,437.73333333333335,3160,1010,3194880,0.24392659505208333,0.0380731076002121,-0.008968358066655734,0.023086173,0.07504674252976352,250,0.7689660638570786,0.2,0.0003,-3.8499832362060746
1394.4563,27,426.8,3313,1001,3317760,0.24396891276041666,-0.015579739585518837,-0.008719475552037087,0.022976227,0.07904165401351444,260,0.7750427275896072,0.2,0.0003,-3.8346198446427784
1378.0076,28,417.53333333333336,3440,1000,3440640,0.24578694661458333,0.03302159905433655,-0.00849387801021597,0.022974608,0.06830850318156688,270,0.6973003447055817,0.2,0.0003,-3.8243087766319515
1423.1107,29,449.73333333333335,3565,999,3563520,0.24731770833333333,0.02993137016892433,-0.00872035560368507,0.023634283,0.06672582509277467,280,0.7588614821434021,0.2,0.0003,-3.808010825974246
1475.5737,30,446.73333333333335,3690,998,3686400,0.25509847005208336,0.03022097609937191,-0.008687866100857112,0.024697797,0.0647633837039272,290,0.7949594557285309,0.2,0.0003,-3.785372215968867
1332.0115,31,399.8,3815,998,3809280,0.25580810546875,-0.0016321688890457153,-0.007794217287519132,0.024361221,0.06948879286768109,300,0.7921345233917236,0.2,0.0003,-3.767385996604959
1433.825,32,430.06666666666666,3942,997,3932160,0.2568465169270833,0.04309052973985672,-0.008281154448122835,0.024406437,0.06535434586878788,310,0.7699909657239914,0.2,0.0003,-3.757638246777157
1331.2242,33,396.93333333333334,4067,996,4055040,0.25690022786458333,0.02134399488568306,-0.008171549673788832,0.02453539,0.06615390033926814,320,0.7449679970741272,0.2,0.0003,-3.7319509507715702
