time/iterations,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/loss,train/std,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/n_updates,train/entropy_loss,train/clip_fraction,train/value_loss,train/explained_variance
1,4096,612,6,38.14,-112.12817,,,,,,,,,,,
2,8192,581,14,36.9,-103.51916,0.0003,28.511789321899414,1.0688766241073608,-0.0007997520282515324,0.06630731,0.2,48840,-10.104631935060024,0.1914794921875,277.4969045192003,0.7163529396057129
3,12288,571,21,38.82,-117.5597,0.0003,21.234622955322266,1.0672028064727783,0.02842319223927916,0.11358735,0.2,48850,-10.104391032457352,0.335888671875,36.855591404438016,0.9339846670627594
