time/iterations,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/entropy_loss,train/value_loss,train/loss,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/clip_fraction,train/n_updates
34,4183,4177920,998,1196.825,434.34,-3.8563789247348903,0.1764474309932363,0.08514244854450226,0.021758778,0.0003,-0.010060604384852923,0.7519603371620178,0.2,0.23215413411458333,330
35,4310,4300800,997,1180.3964,432.9,-3.858080032492677,0.15808088874434664,0.03362138569355011,0.021502864,0.0003,-0.009112451403871092,0.7958824187517166,0.2,0.23117268880208333,340
36,4437,4423680,996,1234.0413,444.18,-3.83714384795477,0.16316161712001,0.08854220062494278,0.021851595,0.0003,-0.008601174893374263,0.7390043437480927,0.2,0.23246663411458332,350
37,4565,4546560,995,1204.7665,435.38,-3.8311635540425777,0.15370091835124186,0.04873444139957428,0.022130426,0.0003,-0.009250186435574506,0.7330405116081238,0.2,0.23511149088541666,360
38,4692,4669440,995,1225.7664,445.22,-3.8131309717893602,0.14769556086452212,0.06534364819526672,0.022315947,0.0003,-0.00878243942390327,0.7476878762245178,0.2,0.23569498697916666,370
39,4819,4792320,994,1223.4552,431.0,-3.8074626992022,0.15809506465254042,0.06442978233098984,0.021991702,0.0003,-0.008769126608537287,0.7101843655109406,0.2,0.23084391276041666,380
40,4947,4915200,993,1252.2605,446.1,-3.7992045831431946,0.1702261804365359,0.041863180696964264,0.023072926,0.0003,-0.008884285586706635,0.6797474026679993,0.2,0.24023111979166667,390
41,5072,5038080,993,1241.4579,438.28,-3.7909963663791615,0.1559568688671182,0.040478646755218506,0.022925043,0.0003,-0.009854093260473746,0.6835382282733917,0.2,0.24225992838541666,400
42,5198,5160960,992,1264.0714,439.64,-3.773498901153604,0.1837011993835525,0.026942633092403412,0.022769995,0.0003,-0.008684246999655443,0.6853750646114349,0.2,0.23993733723958333,410
43,5324,5283840,992,1274.1117,441.8,-3.776664383386572,0.1741608980721018,0.1633472740650177,0.022279887,0.0003,-0.00862838334477298,0.65290766954422,0.2,0.23619954427083334,420
44,5451,5406720,991,1267.3651,431.7,-3.7610184635594486,0.17807502961038457,0.06859258562326431,0.022740372,0.0003,-0.008360876819460827,0.6798910200595856,0.2,0.23923421223958333,430
45,5576,5529600,991,1228.3925,428.36,-3.760919302254915,0.20283998857368715,-0.007170740514993668,0.023174874,0.0003,-0.008979394543075614,0.6862046420574188,0.2,0.240732421875,440
46,5706,5652480,990,1249.3462,432.02,-3.757880236953497,0.16108665545723247,0.019109753891825676,0.022896346,0.0003,-0.008826849308085609,0.7683334201574326,0.2,0.2410888671875,450
47,5832,5775360,990,1249.8802,432.7,-3.7316143529986343,0.15832792345104585,0.033216871321201324,0.023258809,0.0003,-0.008564373835724837,0.7625118046998978,0.2,0.23938883463541666,460
48,5958,5898240,989,1246.9033,435.12,-3.7171914854397374,0.15881160862093868,0.06130777299404144,0.023599165,0.0003,-0.008849056848457621,0.7056543529033661,0.2,0.2424951171875,470
49,6085,6021120,989,1290.2069,436.86,-3.6982507692525783,0.16222701845060025,0.04590282961726189,0.023700058,0.0003,-0.008407135768648004,0.7928906977176666,0.2,0.24312906901041667,480
50,6211,6144000,989,1314.9929,437.04,-3.6878675594429176,0.13391616814536975,0.049919530749320984,0.023197444,0.0003,-0.008638163352528257,0.8015575110912323,0.2,0.24144449869791668,490
51,6339,6266880,988,1329.3704,449.94,-3.695192178885142,0.1713574823154098,0.022556865587830544,0.024214292,0.0003,-0.008433146649961903,0.7125005722045898,0.2,0.24644449869791665,500
52,6464,6389760,988,1313.7086,439.86,-3.6782866171126565,0.14980351389735005,-0.02311316318809986,0.023653898,0.0003,-0.008683123468678484,0.6970030963420868,0.2,0.24318603515625,510
53,6590,6512640,988,1316.0121,439.94,-3.6801933805520335,0.14247138568966572,0.028508663177490234,0.023974525,0.0003,-0.009042406270079179,0.7277784049510956,0.2,0.24305419921875,520
54,6718,6635520,987,1317.9978,445.28,-3.6686329229051866,0.13255997936231628,0.004376765340566635,0.02384353,0.0003,-0.00826710783857076,0.7022996842861176,0.2,0.2412646484375,530
55,6843,6758400,987,1305.729,440.76,-3.6357684167350333,0.1557070032679864,0.03662180155515671,0.024620118,0.0003,-0.00831764729461914,0.6881299316883087,0.2,0.25170979817708333,540
56,6968,6881280,987,1312.4678,437.04,-3.6222052834307155,0.1654998228995828,0.049937762320041656,0.02485183,0.0003,-0.00872613598753863,0.7740267366170883,0.2,0.24899820963541666,550
57,7096,7004160,986,1297.801,435.66,-3.6181254199768107,0.15410965672383706,0.034897226840257645,0.024549464,0.0003,-0.008719602384990139,0.7720773220062256,0.2,0.24816243489583334,560
58,7223,7127040,986,1306.2792,431.92,-3.619793937963744,0.1752652559002551,0.04459243640303612,0.024913235,0.0003,-0.00801606867938972,0.7613161206245422,0.2,0.25153157552083333,570
59,7347,7249920,986,1339.9734,440.58,-3.635045643846194,0.1572263591129255,0.08435548096895218,0.02456001,0.0003,-0.008409203929246966,0.8275627195835114,0.2,0.24612467447916667,580
60,7471,7372800,986,1320.8955,439.14,-3.6315040764957667,0.15305647535268993,0.05864719673991203,0.02371336,0.0003,-0.00820269851651877,0.835770308971405,0.2,0.24184244791666668,590
61,7609,7495680,985,1341.9868,443.08,-3.6339980302751065,0.1477082626092791,0.020135672762989998,0.024774043,0.0003,-0.00884731027632976,0.7704014033079147,0.2,0.24497151692708333,600
62,7748,7618560,983,1296.1362,431.74,-3.626396702751517,0.1583324518769708,0.025180386379361153,0.024457341,0.0003,-0.008247602183394823,0.7622418403625488,0.2,0.24387613932291666,610
63,7876,7741440,982,1307.6576,430.14,-3.6069290918981034,0.20326004648542342,0.056281086057424545,0.025125425,0.0003,-0.008101585503366853,0.7246673107147217,0.2,0.24825358072916667,620
64,8001,7864320,982,1357.5813,442.96,-3.594649220183492,0.15785887483119343,0.05424640700221062,0.024543038,0.0003,-0.007902490543359212,0.787862703204155,0.2,0.24444254557291667,630
65,8126,7987200,982,1368.7432,444.98,-3.5852012860029934,0.1750466457680644,0.06751000881195068,0.024398226,0.0003,-0.00774112230599106,0.7609425783157349,0.2,0.24358072916666668,640
66,8252,8110080,982,1310.0802,435.64,-3.555903230595092,0.16326979718471799,-0.0004985779523849487,0.024739452,0.0003,-0.0079072895720977,0.7748259007930756,0.2,0.2500301106770833,650
67,8379,8232960,982,1319.4259,433.12,-3.5542799029126764,0.15832742613788772,0.05882071703672409,0.025299497,0.0003,-0.007828039444417905,0.8120409101247787,0.2,0.24752034505208334,660
68,8504,8355840,982,1295.4064,423.32,-3.5473787018035847,0.16918981471884764,0.022843357175588608,0.02615202,0.0003,-0.007916236560073836,0.7944231629371643,0.2,0.25335856119791667,670
69,8630,8478720,982,1355.9784,441.62,-3.5542206467563906,0.14671165697839267,0.05943590775132179,0.024253193,0.0003,-0.007724036866863268,0.7966595888137817,0.2,0.24369059244791666,680
70,8757,8601600,982,1347.7024,435.5,-3.564081861463686,0.15438584794309768,-0.0075685083866119385,0.025555672,0.0003,-0.008349368020541684,0.7111776769161224,0.2,0.24743570963541667,690
71,8886,8724480,981,1358.9265,447.72,-3.566887652662893,0.17706873872540504,0.06312054395675659,0.025212714,0.0003,-0.008146810457225607,0.7527662664651871,0.2,0.24833902994791668,700
72,9019,8847360,980,1394.124,450.0,-3.5235331052169205,0.1675442038467736,0.09918029606342316,0.025489725,0.0003,-0.008320070952219491,0.7733077257871628,0.2,0.25091145833333334,710
73,9146,8970240,980,1324.7653,428.8,-3.5119423447176814,0.1481430867817835,0.039758652448654175,0.024763219,0.0003,-0.007367297654042583,0.6640589833259583,0.2,0.24474202473958334,720
74,9285,9093120,979,1363.979,438.44,-3.489398683309555,0.1767346125957556,0.14976684749126434,0.026895223,0.0003,-0.00789969560654754,0.7381555140018463,0.2,0.25469645182291667,730
75,9412,9216000,979,1357.7758,429.86,-3.50200560575972,0.16219860908274616,0.01484396867454052,0.026141196,0.0003,-0.008389960640949237,0.6966066956520081,0.2,0.2519783528645833,740
76,9568,9338880,975,1351.7471,433.92,-3.500228443903228,0.15543447146153389,0.03940967470407486,0.025621725,0.0003,-0.008022282383656905,0.7245910465717316,0.2,0.24930908203125,750
77,9698,9461760,975,1381.2913,445.74,-3.4935645092154544,0.1639849184724153,0.12852680683135986,0.025425319,0.0003,-0.00764950484948713,0.7803802043199539,0.2,0.24963053385416667,760
78,9826,9584640,975,1362.0345,433.46,-3.480907759219408,0.14839840692894843,-0.004646517336368561,0.025843281,0.0003,-0.007706517202874844,0.7551912516355515,0.2,0.25070393880208336,770
79,9982,9707520,972,1355.691,435.14,-3.46626246376584,0.18530640023052306,0.01101669855415821,0.026701149,0.0003,-0.008324580730040908,0.7395522892475128,0.2,0.25642496744791665,780
80,10133,9830400,970,1346.5051,439.9,-3.4563139632716773,0.13932458317343843,0.07305653393268585,0.025889516,0.0003,-0.007624664418414492,0.7216242849826813,0.2,0.24900716145833332,790
81,10260,9953280,970,1366.9503,442.0,-3.4407958022380867,0.1496783961370238,0.1557030826807022,0.025986755,0.0003,-0.00799569257083931,0.7847745269536972,0.2,0.2496044921875,800
82,10386,10076160,970,1355.0469,432.88,-3.421251097979645,0.12961336743397017,0.011083334684371948,0.025335366,0.0003,-0.0076916756439338015,0.7510480433702469,0.2,0.24722737630208333,810
83,10543,10199040,967,1371.8894,435.68,-3.4809173671652873,0.15534057406757104,0.08629059046506882,0.025951583,0.0003,-0.007855002388429663,0.7766581922769547,0.2,0.24741617838541666,820
84,10668,10321920,967,1343.9595,429.58,-3.437537359756728,0.1372131283338725,-0.014180732890963554,0.026081312,0.0003,-0.007901438568793917,0.7809051722288132,0.2,0.24991048177083333,830
85,10795,10444800,967,1319.5771,428.12,-3.4338630595058204,0.163339504103933,0.014092322438955307,0.026229981,0.0003,-0.007442788255035945,0.8119196444749832,0.2,0.24894694010416665,840
86,10922,10567680,967,1347.0458,429.2,-3.41439927102377,0.18733109028466666,0.06473623216152191,0.02604019,0.0003,-0.007790847695080932,0.800653487443924,0.2,0.24898030598958334,850
87,11065,10690560,966,1359.7874,430.74,-3.4327275785803795,0.1797130465466762,0.04522694647312164,0.025760455,0.0003,-0.0076431672029927235,0.7999506592750549,0.2,0.24806315104166668,860
88,11200,10813440,965,1331.1129,419.62,-3.424622748506566,0.15101951640623157,0.00940820574760437,0.025611712,0.0003,-0.007333383722167733,0.779310017824173,0.2,0.24425455729166667,870
89,11327,10936320,965,1390.1708,442.04,-3.435960571852823,0.1810273340481217,-0.00906015932559967,0.025780326,0.0003,-0.007787497653268171,0.7830087691545486,0.2,0.24649658203125,880
90,11454,11059200,965,1385.7551,431.3,-3.427792136470477,0.16115685060639712,0.06986693292856216,0.026078613,0.0003,-0.008044898779389768,0.7338082790374756,0.2,0.24762288411458333,890
91,11582,11182080,965,1345.4951,433.54,-3.4228762661417327,0.14386380191620748,-0.003363925963640213,0.025297485,0.0003,-0.00748439853491315,0.7595503479242325,0.2,0.24518473307291666,900
92,11718,11304960,964,1419.4371,445.42,-3.4044785808771847,0.16977582344115943,0.0622737891972065,0.025833538,0.0003,-0.007716053723555281,0.7778434753417969,0.2,0.24819905598958333,910
93,11849,11427840,964,1401.1594,443.9,-3.3936914600680272,0.17697164524928666,0.022851236164569855,0.026711518,0.0003,-0.0074082626825232485,0.7542486190795898,0.2,0.2507731119791667,920
94,11974,11550720,964,1367.0172,433.76,-3.4008097628379863,0.15177004685712744,0.04576931148767471,0.024802344,0.0003,-0.00751364634236476,0.7790351808071136,0.2,0.24535074869791668,930
95,12102,11673600,964,1354.7382,427.48,-3.387073776858548,0.16507571023025472,0.02700929529964924,0.02552573,0.0003,-0.006899072150942326,0.7239876091480255,0.2,0.24775797526041668,940
96,12230,11796480,964,1369.359,433.42,-3.3945779871443906,0.16609209112279738,0.04248544201254845,0.025815984,0.0003,-0.007938617410733666,0.7807831764221191,0.2,0.24739095052083335,950
97,12359,11919360,964,1372.1283,436.54,-3.38815655618906,0.19987641042661078,0.02503361366689205,0.026944928,0.0003,-0.007506964279297487,0.7677567154169083,0.2,0.24883626302083334,960
98,12486,12042240,964,1374.7546,436.82,-3.3730255575478076,0.17239366587173816,0.13696566224098206,0.026544772,0.0003,-0.00698587015573139,0.7651214152574539,0.2,0.2478076171875,970
99,12619,12165120,963,1326.6317,418.28,-3.3509688566500944,0.15137779087565528,0.031703151762485504,0.025624266,0.0003,-0.007565124320656954,0.7685468792915344,0.2,0.24902750651041666,980
100,12745,12288000,964,1385.895,432.82,-3.339315619642536,0.17589050094538833,0.016895009204745293,0.026997868,0.0003,-0.008052850644359448,0.7950057983398438,0.2,0.24857340494791666,990
101,12870,12410880,964,1387.8486,436.74,-3.3542333943396807,0.15680287680598365,0.09193909913301468,0.025598895,0.0003,-0.007495653733464375,0.7945008128881454,0.2,0.2438037109375,1000
102,12996,12533760,964,1362.3239,430.16,-3.345520780210694,0.18265560246421955,0.05862994119524956,0.025877308,0.0003,-0.007557409123479981,0.801661029458046,0.2,0.24696940104166668,1010
103,13124,12656640,964,1379.6392,433.5,-3.3778200942650436,0.1671175439011616,0.009669944643974304,0.025261207,0.0003,-0.007225984447219768,0.7967094630002975,0.2,0.24573893229166666,1020
104,13249,12779520,964,1382.5936,434.7,-3.3387941665078205,0.16066137724837365,0.02386322058737278,0.026364613,0.0003,-0.00750392272215322,0.7620622664690018,0.2,0.24656575520833332,1030
105,13375,12902400,964,1394.6753,437.06,-3.348519600195189,0.18119352705437147,0.5629540681838989,0.026114583,0.0003,-0.007314018218797476,0.7265632152557373,0.2,0.24716471354166666,1040
106,13500,13025280,964,1407.3204,441.82,-3.345858767554164,0.17241183337493568,0.07931014895439148,0.026170911,0.0003,-0.007380582726206436,0.7347316145896912,0.2,0.24682047526041667,1050
107,13627,13148160,964,1370.3877,432.44,-3.3439096791048843,0.13164494770947688,0.017616432160139084,0.0259241,0.0003,-0.00784737425105656,0.7610183656215668,0.2,0.24752034505208334,1060
108,13751,13271040,965,1322.1228,413.34,-3.3483594251796602,0.15180274509300942,0.10404369235038757,0.02682759,0.0003,-0.007668471126298755,0.7866544723510742,0.2,0.25022705078125,1070
109,13878,13393920,965,1405.1616,442.94,-3.330596522477766,0.20366745838808128,0.006373710930347443,0.026988761,0.0003,-0.007948894858824739,0.7922990620136261,0.2,0.2514290364583333,1080
110,14003,13516800,965,1434.6648,443.7,-3.314186147948106,0.15578519019016918,0.03248408064246178,0.025506938,0.0003,-0.007200165086451307,0.790836438536644,0.2,0.24485921223958335,1090
111,14131,13639680,965,1367.0066,432.52,-3.3172862200438975,0.16370167091158994,0.027036253362894058,0.026201664,0.0003,-0.007981100175262934,0.7659360766410828,0.2,0.24318522135416668,1100
112,14258,13762560,965,1372.514,435.76,-3.301229756809771,0.15918413469926843,0.04064930975437164,0.02638495,0.0003,-0.006888746814959935,0.7395157814025879,0.2,0.24638916015625,1110
113,14400,13885440,964,1365.9419,422.56,-3.291318486643334,0.16864595457804776,0.07867690920829773,0.026713736,0.0003,-0.008010775141174235,0.7826803624629974,0.2,0.2488134765625,1120
114,14526,14008320,964,1397.7184,433.08,-3.297613290796677,0.18798632151195002,0.09602482616901398,0.027353145,0.0003,-0.008005168831520375,0.7483402192592621,0.2,0.25160400390625,1130
115,14651,14131200,964,1400.4928,435.88,-3.294221882733206,0.17450268120660137,0.0548967681825161,0.026479539,0.0003,-0.00690706814013538,0.772834062576294,0.2,0.248115234375,1140
116,14776,14254080,964,1418.55,439.18,-3.2748584352309504,0.17559584127845787,0.13329464197158813,0.026427828,0.0003,-0.007336402340861241,0.762651652097702,0.2,0.24752766927083333,1150
117,14902,14376960,964,1388.5242,438.34,-3.261650156341493,0.17289349221168474,0.051035232841968536,0.027884243,0.0003,-0.0070548632813612734,0.7052538990974426,0.2,0.25088053385416664,1160
118,15027,14499840,964,1449.5746,443.74,-3.2311081330478193,0.16930663609266047,0.03299092501401901,0.027049053,0.0003,-0.007328353940726326,0.7406624853610992,0.2,0.24843343098958334,1170
119,15154,14622720,964,1397.846,426.86,-3.2640233299757044,0.1680307910622408,0.0415840670466423,0.02674139,0.0003,-0.00671233680821994,0.7648561149835587,0.2,0.24754150390625,1180
120,15283,14745600,964,1390.7979,433.5,-3.2602077267318963,0.15784356081780668,0.058415476232767105,0.027291989,0.0003,-0.007460113116485445,0.8211653977632523,0.2,0.2493896484375,1190
121,15410,14868480,964,1421.2546,439.8,-3.2408700027440984,0.1690668345572582,0.013125959783792496,0.027645538,0.0003,-0.006795666652451473,0.7502629607915878,0.2,0.2505517578125,1200
122,15539,14991360,964,1407.9385,436.0,-3.222044260688126,0.17816435932744448,0.04570169746875763,0.028337238,0.0003,-0.007882104567282416,0.7188282310962677,0.2,0.25629557291666666,1210
123,15666,15114240,964,1402.5206,436.84,-3.1948288182169198,0.16273209506248046,0.027051378041505814,0.026609616,0.0003,-0.006971295309740526,0.761165663599968,0.2,0.247998046875,1220
124,15796,15237120,964,1446.3306,442.82,-3.214222427395483,0.1893178439301361,0.09233358502388,0.027126938,0.0003,-0.006914064499457405,0.7697802484035492,0.2,0.2512589518229167,1230
125,15924,15360000,964,1459.8735,445.38,-3.2104069988429544,0.16070750391586142,0.037693195044994354,0.027132573,0.0003,-0.007596523130723653,0.7167825102806091,0.2,0.24962483723958334,1240
126,16052,15482880,964,1386.6897,426.96,-3.253716062270105,0.16229824154967598,0.03677499294281006,0.027463768,0.0003,-0.00803449575306028,0.7383418381214142,0.2,0.25225179036458334,1250
127,16181,15605760,964,1380.7158,426.08,-3.2251822806273895,0.16324889364865763,0.06711121648550034,0.027383327,0.0003,-0.007336081210123666,0.8076786249876022,0.2,0.2504166666666667,1260
128,16307,15728640,964,1398.8359,426.72,-3.215827216754357,0.15578730451525188,-0.010038197040557861,0.026988033,0.0003,-0.006921789810130577,0.7968231439590454,0.2,0.246650390625,1270
129,16433,15851520,964,1365.6517,412.86,-3.1951047668978574,0.19807312598937035,0.04278445988893509,0.026773853,0.0003,-0.006425593415351614,0.7611764073371887,0.2,0.24700439453125,1280
130,16579,15974400,963,1386.7649,423.8,-3.1797157706444463,0.18050112081575206,0.025388699024915695,0.027944488,0.0003,-0.007513281299594989,0.8147101849317551,0.2,0.2542822265625,1290
131,16717,16097280,962,1370.7874,415.32,-3.1550901902715367,0.20409083314414603,0.05865499749779701,0.027744215,0.0003,-0.006889600327643469,0.8065758496522903,0.2,0.25472330729166665,1300
132,16847,16220160,962,1374.0641,416.1,-3.1359167301778994,0.18959749825153266,0.05885782837867737,0.027674712,0.0003,-0.006886002875307895,0.8069113940000534,0.2,0.25396158854166667,1310
133,16973,16343040,962,1375.1357,425.7,-3.1656843788425126,0.2074037676077569,0.04133757948875427,0.02860883,0.0003,-0.007311079481520816,0.7620086073875427,0.2,0.25488606770833333,1320
134,17100,16465920,962,1378.7429,433.56,-3.094653404963513,0.20434057931241115,0.07052826881408691,0.02707931,0.0003,-0.006288604866895185,0.7617257833480835,0.2,0.25186604817708336,1330
135,17234,16588800,962,1396.0782,437.44,-3.070033712598185,0.1972643002923966,0.09884797781705856,0.028106922,0.0003,-0.0067936285873414215,0.762661337852478,0.2,0.2553662109375,1340
136,17363,16711680,962,1336.1138,419.56,-3.083793555150429,0.17270001473564964,0.03460628539323807,0.028226819,0.0003,-0.006345731189879492,0.7911115288734436,0.2,0.2551375325520833,1350
137,17490,16834560,962,1365.8032,420.18,-3.068986449254056,0.18194422230580434,0.06372369825839996,0.027835406,0.0003,-0.006897399899729256,0.7698008120059967,0.2,0.2557194010416667,1360
138,17616,16957440,962,1396.8317,430.92,-3.0639860764766733,0.208167638569527,0.1017996147274971,0.02881403,0.0003,-0.006803156348923949,0.713840663433075,0.2,0.25819091796875,1370
139,17743,17080320,962,1399.3104,433.66,-3.047526047726472,0.1852614591542321,0.12520524859428406,0.028347405,0.0003,-0.006603925248079273,0.8062877655029297,0.2,0.2556941731770833,1380
140,17871,17203200,962,1443.8135,434.72,-3.0650057686989505,0.17397692973279238,0.03967519849538803,0.027790593,0.0003,-0.006459941923082321,0.7729758471250534,0.2,0.2539900716145833,1390
141,17999,17326080,962,1448.9496,440.64,-3.0719247125834226,0.17705256709188688,0.08018523454666138,0.028303515,0.0003,-0.006784211744707136,0.7810673266649246,0.2,0.2563142903645833,1400
142,18125,17448960,962,1465.6929,442.64,-3.0769153144583106,0.1463077687517701,0.105496846139431,0.028385656,0.0003,-0.006961814763138439,0.8033865541219711,0.2,0.25650634765625,1410
143,18251,17571840,962,1419.737,429.48,-3.0691287295892833,0.1666985717554538,0.014421429485082626,0.026869917,0.0003,-0.006043146314495971,0.6841956973075867,0.2,0.25146728515625,1420
144,18378,17694720,962,1454.592,437.04,-3.0239540505036713,0.16273239543874904,0.0274772010743618,0.027651574,0.0003,-0.006742155787815136,0.7443930208683014,0.2,0.25471435546875,1430
145,18505,17817600,962,1396.8008,422.84,-3.029957978054881,0.17636416403925978,0.21170280873775482,0.028123116,0.0003,-0.006733888253535649,0.7425120174884796,0.2,0.25653238932291667,1440
146,18633,17940480,962,1462.5966,447.58,-3.0025528968373933,0.19024768321503263,0.054746828973293304,0.028749814,0.0003,-0.006317104374199213,0.6900465488433838,0.2,0.25941324869791665,1450
