time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/explained_variance,train/value_loss,train/loss,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/learning_rate,train/entropy_loss,train/clip_range
18,122880,1,450.0,1136.0859,6614,,,,,,,,,,
155,245760,2,450.0,1223.0375,1579,0.6878220736980438,0.3914797196975754,0.07371699810028076,0.11542724609375,0.00010095907564391381,3270,0.018984202,0.0003,-2.0427206846264503,0.2
292,368640,3,450.0,1104.1536,1262,0.8313321471214294,0.13037257220072207,0.024393439292907715,0.12436360677083333,-0.0011067279044012443,3280,0.022120755,0.0003,-1.9802513689671954,0.2
425,491520,4,450.0,1127.9805,1153,0.8476148396730423,0.09381415004245355,0.033305540680885315,0.11395426432291667,-0.0012016444477861417,3290,0.016633222,0.0003,-2.0670850573418043,0.2
561,614400,5,442.42,1131.194,1093,0.7901496887207031,0.11691964818373284,0.03413764759898186,0.1169140625,-0.0002988963334428263,3300,0.017348142,0.0003,-2.0800499348466595,0.2
695,737280,6,450.0,1121.2268,1060,0.8604623079299927,0.0924086958226447,0.030994180589914322,0.11907877604166667,-0.0003404827672663184,3310,0.01737433,0.0003,-1.9941646207372348,0.2
828,860160,7,450.0,1176.973,1038,0.7686314135789871,0.1137213256705824,0.06011822074651718,0.12453043619791666,-0.0005691034984041228,3320,0.020333396,0.0003,-1.983599734660238,0.2
964,983040,8,450.0,1186.4452,1019,0.7911693006753922,0.10432755254686829,0.07343480736017227,0.10995361328125,-0.00010531430108737064,3330,0.016596552,0.0003,-1.9805568945532044,0.2
1098,1105920,9,450.0,1145.3645,1007,0.7680559307336807,0.13000385155246477,0.04246045649051666,0.11659586588541666,8.007881461405002e-05,3340,0.01563846,0.0003,-1.9756771410753329,0.2
1232,1228800,10,450.0,1149.9446,997,0.8627037107944489,0.10227766992771649,0.08288741111755371,0.13467041015625,-0.0005067678855478638,3350,0.02240213,0.0003,-2.0397734346427026,0.2
1369,1351680,11,450.0,1159.9307,987,0.8107924610376358,0.125138519933098,0.015451271086931229,0.12027099609375,0.0019527532472178185,3360,0.016775267,0.0003,-2.039738475984583,0.2
1506,1474560,12,450.0,1114.2905,978,0.7986467182636261,0.1325011194096684,0.08257895708084106,0.10907145182291667,0.00030101537908800916,3370,0.014070167,0.0003,-2.030113486374418,0.2
1643,1597440,13,450.0,1155.0392,971,0.8183379024267197,0.10925304420069248,0.05975881963968277,0.10836018880208333,0.00039965399066810883,3380,0.014719258,0.0003,-2.0818383803094425,0.2
