rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/clip_range,train/explained_variance,train/loss,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_fraction
694.3407,18,122880,1,6635,449.84,,,,,,,,,,
720.71857,146,245760,2,1672,450.0,-0.00576491414666331,0.008269102,10,0.2,-0.03463315963745117,0.05456504598259926,0.2736141921866996,0.0003,-4.270667006994287,0.06648356119791667
657.9146,273,368640,3,1350,424.12,-0.009643972124673989,0.009947179,20,0.2,0.6091537475585938,0.029384180903434753,0.09304796979461874,0.0003,-4.261182653730114,0.096826171875
715.80884,427,491520,4,1150,443.04,-0.010481548759137998,0.011258792,30,0.2,0.6527189314365387,0.016282064840197563,0.1064941201423062,0.0003,-4.2494673699637255,0.11560628255208333
753.9935,552,614400,5,1111,446.92,-0.01100044336916047,0.011661563,40,0.2,0.7249547839164734,0.052831366658210754,0.1077113827894209,0.0003,-4.235908290247123,0.12982584635416666
788.5032,677,737280,6,1088,450.0,-0.01160188231782134,0.013044682,50,0.2,0.7294468879699707,0.05131366848945618,0.11094072091276758,0.0003,-4.222842533240716,0.14629069010416668
747.2893,804,860160,7,1069,431.58,-0.01178588439176868,0.01351281,60,0.2,0.7380996942520142,0.01465001329779625,0.11349358893174212,0.0003,-4.20818223250409,0.15622884114583332
835.72925,930,983040,8,1056,447.54,-0.01147551349036803,0.014085863,70,0.2,0.7148686945438385,0.05605309456586838,0.12242206424649339,0.0003,-4.192717410971721,0.16436686197916667
867.1574,1055,1105920,9,1047,438.32,-0.011938980330063107,0.014497411,80,0.2,0.7264159619808197,0.011883027851581573,0.12345005188156695,0.0003,-4.177951045731703,0.1672216796875
927.8276,1181,1228800,10,1040,437.4,-0.012068990056953529,0.015152955,90,0.2,0.6673406958580017,0.028009239584207535,0.12444020639173686,0.0003,-4.161180834770203,0.18011149088541667
968.81805,1306,1351680,11,1034,450.0,-0.011801903267842135,0.015898436,100,0.2,0.6888229548931122,0.004493426531553268,0.13441856332550137,0.0003,-4.141651724254092,0.18456868489583333
982.59814,1461,1474560,12,1008,441.78,-0.011820992457051033,0.01623112,110,0.2,0.6703911423683167,0.027082392945885658,0.12288610135379713,0.0003,-4.127815742964546,0.18848388671875
1019.4567,1589,1597440,13,1005,440.94,-0.011908723525230015,0.016917706,120,0.2,0.6689814031124115,0.049371398985385895,0.12962856559509722,0.0003,-4.103662408192952,0.19614013671875
1052.8925,1717,1720320,14,1001,442.08,-0.010904981818930537,0.01745952,130,0.2,0.6594794690608978,0.023005034774541855,0.13066736934027479,0.0003,-4.091866058632731,0.20222249348958332
1093.4911,1844,1843200,15,999,442.96,-0.011162883988921143,0.018130254,140,0.2,0.6942132711410522,0.04310578107833862,0.1257410913213001,0.0003,-4.07255180666844,0.20793375651041668
1087.6039,1971,1966080,16,997,437.28,-0.010945057608366065,0.018277932,150,0.2,0.6718334257602692,0.021732265129685402,0.12785984212794574,0.0003,-4.0594692844028275,0.21024332682291666
1124.6073,2098,2088960,17,995,433.48,-0.010630147692900209,0.018805292,160,0.2,0.6844870746135712,0.05148705095052719,0.12400832845227948,0.0003,-4.046960653302571,0.21133382161458333
1129.4056,2229,2211840,18,992,430.94,-0.01115508526934112,0.018890489,170,0.2,0.6919934451580048,-0.004030449315905571,0.11851864767367563,0.0003,-4.046488922076921,0.2142919921875
1183.1517,2356,2334720,19,990,440.54,-0.010644845813064118,0.019439833,180,0.2,0.7093156576156616,-0.00023898668587207794,0.1090003846163745,0.0003,-4.029960865912338,0.21880940755208333
1222.7007,2482,2457600,20,990,445.82,-0.010619598766194636,0.019289553,190,0.2,0.71036496758461,0.05995803698897362,0.10624807412590599,0.0003,-4.003998412030438,0.21923909505208333
1154.1597,2610,2580480,21,988,426.38,-0.009969883004990455,0.019972004,200,0.2,0.7636926919221878,0.031135739758610725,0.11403100157690158,0.0003,-3.9938872007777295,0.2210009765625
1224.379,2737,2703360,22,987,434.58,-0.01008833398795711,0.020492833,210,0.2,0.7976770102977753,0.0737893134355545,0.09927541296870913,0.0003,-3.974794555654128,0.2257080078125
1259.5828,2864,2826240,23,986,438.26,-0.010104087895494255,0.020333141,220,0.2,0.7919506430625916,0.029435381293296814,0.10466431394199996,0.0003,-3.96420110921065,0.22524007161458334
1256.7428,2990,2949120,24,986,437.38,-0.009912095106653094,0.020777674,230,0.2,0.7737462520599365,-0.006566401571035385,0.10140592885727528,0.0003,-3.955198526394864,0.22779541015625
1310.809,3122,3072000,25,983,446.2,-0.009397252571155453,0.02057776,240,0.2,0.718853771686554,0.01997525617480278,0.10273491155918843,0.0003,-3.93463586298128,0.23078043619791666
1293.1685,3249,3194880,26,983,431.68,-0.009147349217382725,0.02078731,250,0.2,0.7444792687892914,0.05433328449726105,0.10043031985822988,0.0003,-3.922689241630336,0.23240885416666668
1273.4293,3377,3317760,27,982,427.0,-0.009293484473128047,0.021731263,260,0.2,0.7523127347230911,0.003396041691303253,0.09923185949727971,0.0003,-3.901019556969404,0.23733235677083334
1324.3068,3507,3440640,28,980,442.48,-0.009060832578509993,0.022161312,270,0.2,0.805553987622261,0.027504101395606995,0.0942963945735634,0.0003,-3.8771134348462026,0.24108154296875
1329.023,3634,3563520,29,980,438.46,-0.009185081102502105,0.022124456,280,0.2,0.6968752443790436,0.01870867982506752,0.09727838995294102,0.0003,-3.870866009294987,0.24041341145833334
