rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/clip_range,train/entropy_loss,train/n_updates,train/approx_kl,train/loss
680.79865,122880,6385,443.3,19,1,,,,,,,,,,
713.3833,245760,1671,450.0,146,2,0.2043562139594481,-0.007170863998320177,0.0003,0.1268971562385559,0.08294026692708334,0.2,-4.269066373084982,10,0.008817268,1.3311923742294312
729.46014,368640,1340,450.0,274,3,0.04052959329050888,-0.00982798155599691,0.0003,0.7088302075862885,0.09696370442708334,0.2,-4.259528005694349,20,0.009883786,-0.022574923932552338
755.0991,491520,1232,450.0,398,4,0.03851229365032244,-0.011359479274991221,0.0003,0.766575276851654,0.12343180338541666,0.2,-4.247173368881146,30,0.011225958,-0.00035618897527456284
773.64813,614400,1175,445.04,522,5,0.05217564368649619,-0.011511646648262588,0.0003,0.8088393956422806,0.13500813802083333,0.2,-4.231697273701429,40,0.012139825,-0.030263198539614677
814.8218,737280,1138,445.74,647,6,0.057338125044868016,-0.011751526464552929,0.0003,0.7815904021263123,0.14856282552083333,0.2,-4.219321212892731,50,0.012940642,-0.019593141973018646
863.89484,860160,1112,436.68,773,7,0.06649718595319427,-0.012084465231673676,0.0003,0.7642028331756592,0.15850992838541667,0.2,-4.205415419315298,60,0.013515842,-0.017697779461741447
907.1697,983040,1093,441.14,899,8,0.07287531822357171,-0.01156744073568916,0.0003,0.7668094784021378,0.16582600911458334,0.2,-4.189454704771439,70,0.01428617,0.03173908591270447
891.2375,1105920,1078,434.8,1025,9,0.08498416554221573,-0.011446799015223708,0.0003,0.7458040416240692,0.17645263671875,0.2,-4.174060776556532,80,0.015234884,-0.007079575210809708
967.8501,1228800,1068,443.54,1150,10,0.08549733566809058,-0.01183612609111151,0.0003,0.7357180118560791,0.18374186197916667,0.2,-4.159964952990412,90,0.015607155,-0.020771853625774384
1004.57367,1351680,1059,436.44,1275,11,0.080348337397542,-0.01148491711422442,0.0003,0.7088187336921692,0.18500081380208333,0.2,-4.1457936563342805,100,0.01588528,0.05595236271619797
1016.6154,1474560,1053,443.06,1399,12,0.10807780518487561,-0.010447957499685193,0.0003,0.6943627297878265,0.18956136067708335,0.2,-4.1261482171465955,110,0.016430955,0.039460062980651855
1059.3307,1597440,1046,444.16,1526,13,0.09272282848697311,-0.011276573963089807,0.0003,0.7298182845115662,0.19561279296875,0.2,-4.116961157768965,120,0.016971832,0.04310419410467148
1106.7761,1720320,1041,442.86,1652,14,0.09141671994138353,-0.010879102467855168,0.0003,0.7180152833461761,0.19636962890625,0.2,-4.1065653186788165,130,0.017502943,0.01789845898747444
