rollout/ep_len_mean,time/fps,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/entropy_loss,train/loss,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/clip_fraction,train/value_loss,train/learning_rate
450.0,6435,122880,1,630.9617,19,,,,,,,,,,
450.0,1654,245760,2,673.88324,148,10,-4.270444228202105,0.06935150921344757,0.0086417375,-0.006432755016182151,-0.03781580924987793,0.2,0.07300048828125,0.22558150675487318,0.0003
450.0,1335,368640,3,688.71,275,20,-4.26025441981852,0.004349837079644203,0.010294092,-0.01041807823482183,0.6761472225189209,0.2,0.10445719401041667,0.08953528061247198,0.0003
450.0,1234,491520,4,745.94507,398,30,-4.247413293346763,0.017161458730697632,0.01136965,-0.011492698066710242,0.7811968326568604,0.2,0.12542805989583333,0.08272462513685848,0.0003
450.0,1166,614400,5,824.6975,526,40,-4.233779858772953,-0.004656996577978134,0.01207032,-0.011961383683301392,0.7776733189821243,0.2,0.13699869791666666,0.09341522839968093,0.0003
450.0,1132,737280,6,838.16437,651,50,-4.219194762508074,0.013534076511859894,0.013250484,-0.01288862036875192,0.7820238173007965,0.2,0.15281656901041665,0.09146258240138802,0.0003
426.4,1076,860160,7,788.4835,798,60,-4.199521808922291,0.005864955484867096,0.014249319,-0.012372512412348442,0.7205324172973633,0.2,0.1651513671875,0.11279367861677504,0.0003
450.0,1059,983040,8,890.6669,927,70,-4.184804658864935,0.0034952498972415924,0.014507667,-0.012984256765072739,0.7415399849414825,0.2,0.17068929036458333,0.08898087478533853,0.0003
432.6,1052,1105920,9,967.65906,1051,80,-4.16518329354624,0.01786927320063114,0.015348473,-0.012881924683012282,0.7414684295654297,0.2,0.18197591145833333,0.07405709882160105,0.0003
450.0,1044,1228800,10,1026.0902,1176,90,-4.145807889575759,0.021562963724136353,0.016320076,-0.012778854054340627,0.7280205190181732,0.2,0.190302734375,0.07296656773386834,0.0003
450.0,1040,1351680,11,1093.4966,1298,100,-4.125220430667202,0.0023235492408275604,0.016815698,-0.012313321442743472,0.7124023139476776,0.2,0.1958349609375,0.07617889049123429,0.0003
450.0,1030,1474560,12,1094.6779,1430,110,-4.110214280461272,0.0062831249088048935,0.016948918,-0.011713194038056826,0.7035079300403595,0.2,0.19749430338541665,0.08042636951053282,0.0003
450.0,1026,1597440,13,1153.2754,1556,120,-4.089803717459241,0.041282251477241516,0.017516835,-0.01175292617701416,0.7040806710720062,0.2,0.20225179036458332,0.07022509493021062,0.0003
401.73333333333335,1023,1720320,14,1098.746,1680,130,-4.061826702778538,-0.017220905050635338,0.018268134,-0.01112289886250134,0.671938955783844,0.2,0.2099560546875,0.07216379625965298,0.0003
450.0,1021,1843200,15,1162.6359,1804,140,-4.050038081941505,0.016701344400644302,0.018545767,-0.010364816157780296,0.6437091529369354,0.2,0.21312255859375,0.06888953697508744,0.0003
442.0,1016,1966080,16,1205.2378,1934,150,-4.0239134780441725,-0.004895608872175217,0.019818652,-0.010412419389073573,0.6781718134880066,0.2,0.22130208333333334,0.06693978521963194,0.0003
407.8,1015,2088960,17,1187.5417,2057,160,-4.005856230619053,0.01927262544631958,0.01986187,-0.010450827518076645,0.7070489823818207,0.2,0.22122884114583333,0.07110326481949111,0.0003
428.8666666666667,1013,2211840,18,1251.12,2182,170,-3.981467773367961,0.14121907949447632,0.020287642,-0.00977912317714375,0.7622473686933517,0.2,0.22705078125,0.07693963490921306,0.0003
402.2,1011,2334720,19,1203.2552,2308,180,-3.964204800762236,0.010756045579910278,0.02032814,-0.0095541099824671,0.7460102140903473,0.2,0.2280419921875,0.05688041023221255,0.0003
