time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/value_loss,train/loss,train/approx_kl,train/clip_range,train/clip_fraction,train/explained_variance
19,1000,2333,1150.7299,2334720,449.72,0.0005,-0.00713249508100489,-4.057945429881414,180,0.12212107009564836,0.03595984727144241,0.021782864,0.2,0.23137776692708334,0.7192908525466919
20,998,2460,1162.8274,2457600,437.48,0.0005,-0.007383841306003281,-4.058075238354504,190,0.12296033177767338,0.08434353768825531,0.02182466,0.2,0.23013590494791666,0.6913150250911713
21,996,2589,1127.4946,2580480,435.86,0.0005,-0.0076544391226586106,-4.042729070385297,200,0.1081952632398073,0.04861491173505783,0.022585552,0.2,0.23351318359375,0.7673379629850388
22,994,2719,1180.9811,2703360,445.22,0.0005,-0.00702705750325246,-4.021696715330084,210,0.11217659643434065,0.037857986986637115,0.02320818,0.2,0.23925211588541667,0.7731316536664963
23,992,2848,1145.8665,2826240,425.28,0.0005,-0.00663920686126706,-4.012661750440796,220,0.10280354119109689,0.051788538694381714,0.023294985,0.2,0.23853352864583333,0.7790525108575821
24,990,2977,1220.1852,2949120,446.24,0.0005,-0.006126014781427026,-3.998904149221877,230,0.11231569810469712,0.01897239126265049,0.02375559,0.2,0.2392138671875,0.7883268892765045
25,989,3105,1234.7461,3072000,439.44,0.0005,-0.006453545083859353,-3.980213086952766,240,0.09194522924459307,0.0127129927277565,0.023392403,0.2,0.240380859375,0.7618811577558517
26,988,3232,1252.1792,3194880,448.24,0.0005,-0.00649465225712144,-3.9772522612288594,250,0.10358806629277145,-0.014962704852223396,0.024430849,0.2,0.24696533203125,0.8126264959573746
27,987,3360,1286.4281,3317760,449.0,0.0005,-0.006117695969878696,-3.965015106747548,260,0.10154643516774134,0.022048931568861008,0.024735892,0.2,0.24613037109375,0.8009655922651291
28,985,3490,1277.5741,3440640,442.0,0.0005,-0.006661880342283742,-3.9609718003993235,270,0.10230922739040883,0.11511240899562836,0.025526643,0.2,0.25194986979166667,0.8127955347299576
29,984,3619,1274.1329,3563520,438.44,0.0005,-0.006390914085974752,-3.940710825373729,280,0.11369141875242349,0.07169555127620697,0.025322644,0.2,0.25196044921875,0.8045607507228851
30,983,3749,1318.9446,3686400,445.22,0.0005,-0.005830821070412639,-3.927754398062825,290,0.11090035434783203,0.06025984138250351,0.025821637,0.2,0.25643473307291664,0.8216861337423325
31,982,3879,1315.2789,3809280,440.58,0.0005,-0.006010335768029715,-3.9145336465661726,300,0.10659598123495623,0.015133526176214218,0.02562383,0.2,0.2557902018229167,0.7933189868927002
32,980,4009,1328.3291,3932160,444.38,0.0005,-0.006193258566084599,-3.904462208437423,310,0.10062741694758491,0.018556714057922363,0.026529225,0.2,0.258681640625,0.8012066781520844
33,979,4138,1307.3739,4055040,436.64,0.0005,-0.005852511606687282,-3.889113381865124,320,0.11981189383484889,0.05556556582450867,0.026425568,0.2,0.25920247395833335,0.8276371657848358
34,978,4268,1338.7004,4177920,439.0,0.0005,-0.005815405742056707,-3.8832725409294166,330,0.10696802761104966,0.031403180211782455,0.025917739,0.2,0.2560221354166667,0.8567136526107788
35,977,4398,1323.1722,4300800,437.5,0.0005,-0.005047563963992919,-3.875407760714491,340,0.11734529913558314,0.0929136723279953,0.026512075,0.2,0.2552596028645833,0.7937266379594803
36,976,4528,1243.6309,4423680,417.08,0.0005,-0.005570897839664516,-3.8743644258752465,350,0.12087108036799085,0.007648751139640808,0.027412653,0.2,0.25909749348958333,0.8057361245155334
37,970,4685,1283.5492,4546560,435.66,0.0005,-0.005457350218196855,-3.84664010318617,360,0.10272980946329578,0.04813605919480324,0.027462633,0.2,0.2628377278645833,0.8369051963090897
38,969,4814,1304.8009,4669440,429.7,0.0005,-0.005463942867518199,-3.848674832681815,370,0.1095954989657427,0.06440174579620361,0.028558489,0.2,0.26293619791666667,0.8203781247138977
39,969,4943,1316.9556,4792320,433.0,0.0005,-0.005077923454594687,-3.8347623160481454,380,0.11679398532151633,0.04924008995294571,0.028252399,0.2,0.2618359375,0.8159607201814651
40,968,5073,1304.4833,4915200,425.16,0.0005,-0.005197947964173485,-3.8292699638257424,390,0.13081185013395347,0.06083766371011734,0.028369838,0.2,0.26646565755208335,0.8081796616315842
41,968,5202,1328.7781,5038080,439.02,0.0005,-0.004877324764238438,-3.8149626989041767,400,0.11752704822671754,0.03371672332286835,0.027833868,0.2,0.263193359375,0.83121557533741
