time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/iterations,train/clip_range,train/loss,train/entropy_loss,train/value_loss,train/learning_rate,train/explained_variance,train/approx_kl,train/n_updates,train/clip_fraction,train/policy_gradient_loss
1000,2211840,450.0,1215.0864,2211,18,0.2,0.07146415114402771,-4.059726856748263,0.09632249455404235,0.0003,0.7480449378490448,0.01911021,170,0.21202880859375,-0.010387860247416635
998,2334720,444.72,1232.9191,2339,19,0.2,0.02266392856836319,-4.043507928612332,0.09548607833334245,0.0003,0.7382031977176666,0.018896395,180,0.21116617838541665,-0.009762529708017003
996,2457600,442.24,1229.9895,2467,20,0.2,0.03786301985383034,-4.031486824577053,0.09342925033192538,0.0003,0.754133865237236,0.02004609,190,0.22051432291666667,-0.010569502890981918
990,2580480,434.14,1214.4335,2604,21,0.2,-0.005023675039410591,-4.0251121803373096,0.09209296266548335,0.0003,0.7903716862201691,0.019363578,200,0.2147509765625,-0.009623625506546886
988,2703360,426.6,1189.2162,2734,22,0.2,-0.015371760353446007,-4.0115061598146955,0.09558438741107239,0.0003,0.796982541680336,0.020274222,210,0.22376302083333333,-0.009925168550022742
986,2826240,424.68,1188.8226,2865,23,0.2,-0.005597716197371483,-3.984757970670859,0.09918608051744135,0.0003,0.8114083558320999,0.021215025,220,0.23152262369791668,-0.009707012728213157
985,2949120,439.28,1254.249,2993,24,0.2,0.01177138276398182,-3.9750384705265365,0.10029584034307239,0.0003,0.8523346781730652,0.020691868,230,0.22874674479166668,-0.009353777239048212
984,3072000,443.84,1291.0574,3120,25,0.2,-0.004307670518755913,-3.9618767223879696,0.0921980280665836,0.0003,0.836355909705162,0.021009764,240,0.23127115885416666,-0.009490770435865367
982,3194880,440.26,1265.232,3250,26,0.2,0.000473998486995697,-3.9493870854129396,0.09224762400631638,0.0003,0.8722946792840958,0.021979755,250,0.2356298828125,-0.0095797130812025
982,3317760,432.6,1283.7283,3377,27,0.2,0.04280463233590126,-3.9374339524035653,0.09268221085653447,0.0003,0.8615574240684509,0.022112789,260,0.23800944010416666,-0.009785716943812682
981,3440640,433.62,1280.8755,3504,28,0.2,0.04367918521165848,-3.92932970845451,0.09351894847146468,0.0003,0.8446717411279678,0.021720866,270,0.23559733072916667,-0.009619315063901013
981,3563520,446.12,1314.1752,3630,29,0.2,0.016730591654777527,-3.9127281023313603,0.08380312696594046,0.0003,0.8583224266767502,0.022131927,280,0.24094645182291666,-0.00924403655865414
980,3686400,426.4,1269.843,3759,30,0.2,0.09424939006567001,-3.900197176299989,0.09770092874241527,0.0003,0.8599773943424225,0.022823703,290,0.24239908854166667,-0.009139125796870455
979,3809280,439.32,1318.0822,3888,31,0.2,-0.005629127845168114,-3.882426061381896,0.09833975908511396,0.0003,0.8627292066812515,0.022902472,300,0.24514078776041667,-0.008469274881954335
974,3932160,450.0,1308.7686,4037,32,0.2,-0.015735693275928497,-3.8700438435624043,0.09268216310573431,0.0003,0.8618533909320831,0.022967545,310,0.24853352864583333,-0.009355896593836708
973,4055040,438.98,1331.2404,4164,33,0.2,0.03544214367866516,-3.8679040412728987,0.09061934786960289,0.0003,0.8181830644607544,0.02279321,320,0.24584798177083333,-0.00948425000458883
972,4177920,431.1,1296.6173,4296,34,0.2,0.0013976674526929855,-3.8592767246315876,0.0945930237097006,0.0003,0.8337295651435852,0.02283761,330,0.24563232421875,-0.009025979004563851
972,4300800,412.14,1290.4338,4424,35,0.2,0.028001802042126656,-3.8445709372063477,0.09091270350230236,0.0003,0.8738932460546494,0.023245085,340,0.2512972005208333,-0.009388454975648225
971,4423680,434.68,1352.9019,4551,36,0.2,0.09235589951276779,-3.840185555393497,0.1016424023344492,0.0003,0.883319579064846,0.02297501,350,0.24849446614583334,-0.008669624873655267
971,4546560,424.2,1315.987,4680,37,0.2,0.04683797061443329,-3.818918422075609,0.08846555973078163,0.0003,0.8740410208702087,0.023114737,360,0.24913248697916668,-0.00828116638426612
