rollout/ep_len_mean,time/iterations,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/loss,train/value_loss,train/n_updates,train/clip_fraction,train/entropy_loss,train/approx_kl,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/clip_range
434.22,1,18,122880,6723,704.1132,,,,,,,,,,
445.4,2,149,245760,1640,688.6969,0.04360286518931389,0.257844382187565,10,0.07720540364583334,-4.269855637401342,0.008817177,-0.1404130458831787,0.0003,-0.006691884798268196,0.2
439.34,3,281,368640,1307,677.73065,0.018445804715156555,0.08015234998078086,20,0.10057535807291666,-4.259850803414981,0.00995615,0.6267028748989105,0.0003,-0.009658683187505327,0.2
444.86,4,409,491520,1199,760.65326,-0.009688910096883774,0.08154785693448502,30,0.12468180338541666,-4.247584761455655,0.01143552,0.7045590877532959,0.0003,-0.011328191451957537,0.2
434.92,5,539,614400,1138,755.219,0.005436521023511887,0.08139291881428411,40,0.13909586588541667,-4.235005945141117,0.012325117,0.7404130697250366,0.0003,-0.011891903412918813,0.2
448.66,6,669,737280,1100,830.3123,0.030724769458174706,0.09484277603769442,50,0.15376627604166668,-4.218497651144862,0.013087662,0.7232766151428223,0.0003,-0.011631144930239923,0.2
436.18,7,799,860160,1076,841.07794,0.006022512912750244,0.09432896943316639,60,0.16267171223958332,-4.198385196700692,0.013785969,0.7339967489242554,0.0003,-0.012016707538859918,0.2
450.0,8,930,983040,1056,912.1725,-0.005604743957519531,0.09502104930521454,70,0.1767578125,-4.181390714620551,0.014800788,0.7374952137470245,0.0003,-0.012732353173651062,0.2
436.38,9,1061,1105920,1042,904.0067,0.05587227642536163,0.0986033487355841,80,0.17722412109375,-4.167219240392248,0.01513136,0.7445486187934875,0.0003,-0.012261474942218532,0.2
438.38,10,1189,1228800,1032,950.62787,0.02466154284775257,0.10272620814561378,90,0.18458414713541665,-4.147461033860842,0.015801137,0.6913915872573853,0.0003,-0.01174976438568289,0.2
433.26,11,1320,1351680,1023,994.7296,0.035672396421432495,0.10047355619317386,100,0.18816487630208334,-4.132880769545833,0.015880471,0.7008790969848633,0.0003,-0.01175621705755475,0.2
445.58,12,1448,1474560,1017,1041.9124,0.023898541927337646,0.10377456308109685,110,0.18858479817708335,-4.119130526458224,0.016393626,0.7095734179019928,0.0003,-0.011640065640458488,0.2
445.84,13,1578,1597440,1011,1096.7755,0.019491981714963913,0.09562198898900533,120,0.191181640625,-4.101851437265674,0.016822243,0.7223488688468933,0.0003,-0.011401720777503215,0.2
430.38,14,1708,1720320,1006,1079.0363,0.02478383481502533,0.08839563395498165,130,0.1974072265625,-4.083615813615421,0.01717893,0.6857669949531555,0.0003,-0.011634708038848961,0.2
