rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/clip_fraction,train/value_loss,train/clip_range,train/learning_rate,train/approx_kl,train/n_updates
450.0,696.601,2457600,7833,313,15,-3.187982013766943e-11,1.1291604096186348e-10,0.9170755445957184,0.11393243074417114,0.0,0.4637722884817049,0.2,0.0003,0.0,140
450.0,698.7654,2621440,8403,311,16,-3.002995768189965e-11,3.692548489198089e-11,0.9170608147978783,0.11627504229545593,0.0,0.301394547320524,0.2,0.0003,0.0,150
450.0,696.34595,2785280,8973,310,17,-1.6839883150244935e-11,-6.549953468493186e-11,0.9125066101551056,0.03757781162858009,0.0,0.2041250117747404,0.2,0.0003,0.0,160
450.0,699.6674,2949120,9547,308,18,-1.8902233270268076e-11,-1.6078786302387017e-10,0.9124889224767685,0.05433446168899536,0.0,0.15546745403960813,0.2,0.0003,0.0,170
450.0,698.88983,3112960,10113,307,19,-1.7773201216557044e-11,1.005719241220504e-10,0.9072182923555374,0.1374128758907318,0.0,0.11319714370976726,0.2,0.0003,0.0,180
450.0,696.4079,3276800,10677,306,20,-2.2841826276321257e-11,7.999005902092904e-11,0.9039117991924286,0.030125651508569717,0.0,0.09747616581720649,0.2,0.0003,0.0,190
450.0,692.1594,3440640,11240,306,21,-1.9373724826621488e-11,-2.5115696189459412e-11,0.8946501687169075,0.021896203979849815,0.0,0.08460329378154711,0.2,0.0003,0.0,200
450.0,695.7886,3604480,11795,305,22,-1.9868871497077028e-11,4.590219759847969e-11,0.8911814615130424,0.02758878469467163,0.0,0.06643268692449056,0.2,0.0003,0.0,210
450.0,691.0119,3768320,12358,304,23,-1.5804353429828206e-11,-1.4550323612638748e-10,0.8770306184887886,0.031381405889987946,0.0,0.06948547821222746,0.2,0.0003,0.0,220
450.0,699.5982,3932160,12911,304,24,-1.4090469999222213e-11,1.6554167814319952e-10,0.8611426502466202,0.019207598641514778,0.0,0.05961595392553136,0.2,0.0003,0.0,230
450.0,696.8552,4096000,13511,303,25,-1.5286150145716344e-11,-7.951257430249825e-12,0.8521762490272522,0.037448205053806305,0.0,0.0659395973368737,0.2,0.0003,0.0,240
450.0,700.3455,4259840,14061,302,26,-1.9717967384918533e-11,2.251681507914327e-11,0.8485748618841171,0.031756382435560226,0.0,0.05371142968986533,0.2,0.0003,0.0,250
450.0,699.4356,4423680,14605,302,27,-2.051900674125952e-11,-1.1081510820076801e-10,0.851243644952774,0.008197168819606304,0.0,0.06066954201714907,0.2,0.0003,0.0,260
450.0,696.08417,4587520,15156,302,28,-1.95672808695738e-11,9.681116353021934e-11,0.8464690744876862,0.03369022160768509,0.0,0.060105298396265425,0.2,0.0003,0.0,270
450.0,699.31726,4751360,15704,302,29,-1.260811662738412e-11,-1.3837961887475103e-11,0.8413832485675812,0.02135404571890831,0.0,0.06193536675844371,0.2,0.0003,0.0,280
450.0,694.514,4915200,16252,302,30,-1.1546795270421278e-11,1.7025740817189216e-11,0.8527951240539551,0.02336578443646431,0.0,0.05757524220820415,0.2,0.0003,0.0,290
450.0,699.0997,5079040,16810,302,31,-1.9298180504995625e-11,-1.393482307321392e-10,0.843467578291893,0.00635112589225173,0.0,0.060802377459040144,0.2,0.0003,0.0,300
450.0,695.92065,5242880,17374,301,32,-1.3604381136883873e-11,1.2121290637878702e-11,0.8487447947263718,0.029638636857271194,0.0,0.06433647692696468,0.2,0.0003,0.0,310
450.0,696.54694,5406720,17946,301,33,-1.2656251391966198e-11,1.6361809684894978e-11,0.8601148277521133,0.01900995522737503,0.0,0.06415998984140969,0.2,0.0003,0.0,320
450.0,700.80646,5570560,18508,300,34,-1.5311453366139596e-11,-2.0689867596956902e-11,0.8567760139703751,0.015285206027328968,0.0,0.0693404447931789,0.2,0.0003,0.0,330
450.0,696.1234,5734400,19065,300,35,-1.9399370844365807e-11,-2.6550424081506207e-11,0.88113734126091,0.018736179918050766,0.0,0.05378926609526388,0.2,0.0003,0.0,340
450.0,696.5114,5898240,19638,300,36,-1.79867808186701e-11,-2.36445885093417e-11,0.8553693145513535,0.01212781947106123,0.0,0.06835253957913665,0.2,0.0003,0.0,350
450.0,689.96204,6062080,20205,300,37,-1.6712024064681193e-11,1.9031176634598524e-11,0.8560407310724258,0.013280961662530899,0.0,0.057506674180895063,0.2,0.0003,0.0,360
450.0,697.5662,6225920,20779,299,38,-1.7862098223924684e-11,7.360995368799195e-11,0.8576818108558655,0.046925194561481476,0.0,0.06258703644834895,0.2,0.0003,0.0,370
450.0,699.9068,6389760,21332,299,39,-2.0434782332758778e-11,9.532641342957503e-12,0.8658391982316971,0.014288836158812046,0.0,0.056311902870220365,0.2,0.0003,0.0,380
