rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/entropy_loss,train/approx_kl,train/clip_range,train/n_updates,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/loss,train/explained_variance
450.0,1220.7704,23,928,2826240,3045,-2.5824726175144317,0.013563214,0.2,6330,0.12294840494791667,0.0003,-0.0019578936303211473,0.10899249570303558,0.005930166691541672,0.7747913300991058
450.0,1164.8293,24,928,2949120,3177,-2.6107353037471572,0.012024259,0.2,6340,0.12612060546875,0.0003,-0.0019037787055458466,0.09847929654220934,-0.0012942887842655182,0.762908011674881
450.0,1239.5465,25,927,3072000,3313,-2.571419560586413,0.012618282,0.2,6350,0.11128743489583333,0.0003,-0.0018224027597777118,0.1140897283198865,0.018852466717362404,0.7354986667633057
450.0,1267.4061,26,926,3194880,3448,-2.635695960012575,0.012981524,0.2,6360,0.12759847005208333,0.0003,-0.0016695243534923065,0.09522192836249209,0.07238969951868057,0.8128431588411331
450.0,1237.3323,27,925,3317760,3583,-2.6203164475162826,0.012165973,0.2,6370,0.1166357421875,0.0003,-0.0010080526106927815,0.11743713855995641,0.08229484409093857,0.7488050758838654
450.0,1281.479,28,925,3440640,3716,-2.615188905534645,0.012135383,0.2,6380,0.12462565104166666,0.0003,-0.0020883742689269034,0.08355678196698137,0.017553197219967842,0.8510408699512482
450.0,1271.2432,29,925,3563520,3849,-2.648180843864878,0.01197171,0.2,6390,0.1195751953125,0.0003,-0.0009018677342525431,0.118603360606697,0.10326041281223297,0.7641581743955612
450.0,1304.2719,30,924,3686400,3985,-2.6701522268727422,0.011901419,0.2,6400,0.12391520182291667,0.0003,-0.001042149415449482,0.10068047704495257,0.0463949516415596,0.7934916615486145
450.0,1327.9851,31,924,3809280,4119,-2.658421564909319,0.012627109,0.2,6410,0.13253824869791667,0.0003,-0.001823503203868313,0.10819329406794471,0.11607032269239426,0.8202327489852905
450.0,1241.2766,32,923,3932160,4255,-2.66923756364733,0.0124673005,0.2,6420,0.12464029947916666,0.0003,-0.0015314008076105286,0.11424797103512295,0.04102013260126114,0.7939184904098511
450.0,1276.6597,33,923,4055040,4391,-2.6908133322993915,0.011701978,0.2,6430,0.12436848958333334,0.0003,-0.0011535081611267137,0.10410703136760276,0.08528327941894531,0.793380618095398
450.0,1298.4738,34,919,4177920,4541,-2.653900305169324,0.012441884,0.2,6440,0.12247151692708333,0.0003,-0.0016124883550704301,0.11332726433174685,0.01612822152674198,0.7702717930078506
450.0,1215.3896,35,919,4300800,4678,-2.657649681419134,0.012226345,0.2,6450,0.12736165364583332,0.0003,-0.0017262494374153904,0.08879130794479959,0.0068091414868831635,0.8354941755533218
450.0,1245.4768,36,919,4423680,4813,-2.6494508846725027,0.011668408,0.2,6460,0.11760579427083333,0.0003,-0.0011254272503598865,0.11952516966744345,0.10348093509674072,0.8032893240451813
450.0,1276.0061,37,918,4546560,4949,-2.662585211818417,0.011272037,0.2,6470,0.12272542317708333,0.0003,-0.002025027668499509,0.09644391626325766,0.072823666036129,0.8356538712978363
450.0,1285.5056,38,918,4669440,5085,-2.6499254122873146,0.011889121,0.2,6480,0.12452067057291667,0.0003,-0.0011457394685627756,0.12075616617953831,0.015694748610258102,0.8022249639034271
450.0,1206.9584,39,916,4792320,5229,-2.634642106244961,0.012523345,0.2,6490,0.12765950520833333,0.0003,-0.001997939942314891,0.09977077111941374,0.1515990048646927,0.8134357780218124
450.0,1255.3254,40,916,4915200,5365,-2.6199451477577287,0.013279398,0.2,6500,0.1265185546875,0.0003,-0.0013912760911565178,0.10140547365175735,0.005269059911370277,0.8588061630725861
450.0,1276.7078,41,915,5038080,5502,-2.6312835869193076,0.012614038,0.2,6510,0.11911214192708333,0.0003,-0.0015852448424478402,0.10143651564503671,0.06310756504535675,0.8515290170907974
450.0,1169.014,42,915,5160960,5638,-2.6625082256644963,0.012636925,0.2,6520,0.12138102213541667,0.0003,-0.0015453475441366512,0.10272105149454243,0.008205601945519447,0.8047366142272949
446.82,1251.3374,43,914,5283840,5775,-2.6077181279783446,0.013543753,0.2,6530,0.128369140625,0.0003,-0.002387935259563771,0.09279856231019949,0.0027685370296239853,0.8415431827306747
450.0,1251.7922,44,910,5406720,5940,-2.6233689518397054,0.012418095,0.2,6540,0.11669840494791667,0.0003,-0.0011489209479077543,0.10407228870780576,0.12761099636554718,0.7805976718664169
450.0,1248.8682,45,910,5529600,6076,-2.6208338084692757,0.012807199,0.2,6550,0.12066731770833333,0.0003,-0.0017325972727515668,0.10642458009921635,0.0770002081990242,0.7864769995212555
450.0,1302.6792,46,910,5652480,6211,-2.6529272260020176,0.011982527,0.2,6560,0.12507649739583335,0.0003,-0.0019374577857191374,0.09900361360538228,0.05106186121702194,0.8217978328466415
450.0,1242.241,47,909,5775360,6347,-2.6572862770656744,0.012225657,0.2,6570,0.12782470703125,0.0003,-0.0014954737873752795,0.12736839494216837,0.07881653308868408,0.7765037417411804
450.0,1254.6927,48,909,5898240,6483,-2.649249179822703,0.011668929,0.2,6580,0.11867268880208333,0.0003,-0.0012424343597497985,0.10528644622262315,0.010153992101550102,0.8162535130977631
450.0,1304.1575,49,909,6021120,6620,-2.615104781066378,0.011947072,0.2,6590,0.1196484375,0.0003,-0.0013342293934935393,0.11624105205070616,0.004536191001534462,0.7961213886737823
450.0,1231.1176,50,909,6144000,6757,-2.6326517209534845,0.011787945,0.2,6600,0.11776692708333333,0.0003,-0.0014380162554850054,0.11397927903041515,0.08404211699962616,0.8134626001119614
450.0,1247.9471,51,905,6266880,6923,-2.6370082443083325,0.0125878705,0.2,6610,0.12464436848958334,0.0003,-0.0013691112610285927,0.10290331175262206,0.068191297352314,0.827368900179863
450.0,1252.5815,52,905,6389760,7059,-2.6392534540593626,0.012077433,0.2,6620,0.11564127604166667,0.0003,-0.0015146180893528558,0.11047892752156864,0.054013144224882126,0.8243713825941086
450.0,1204.8718,53,905,6512640,7195,-2.6274039676909644,0.012125607,0.2,6630,0.1178076171875,0.0003,-0.0016621379483937441,0.09161380847947537,-0.012828929349780083,0.8450402766466141
450.0,1171.7725,54,905,6635520,7331,-2.6551201146344345,0.012223894,0.2,6640,0.1259521484375,0.0003,-0.0016123450844437077,0.11404294393437643,0.07142651081085205,0.8157428503036499
445.4,1154.3632,55,904,6758400,7467,-2.6506718048701683,0.013233501,0.2,6650,0.11550130208333333,0.0003,-0.0010136057399176934,0.08558071023857337,0.031511638313531876,0.8413726389408112
450.0,1201.1741,56,905,6881280,7603,-2.6156460502371193,0.013329681,0.2,6660,0.12024332682291666,0.0003,-0.002177143929529848,0.10432781590876403,0.018270345404744148,0.7895936369895935
450.0,1206.8722,57,904,7004160,7739,-2.610787385441363,0.012916211,0.2,6670,0.11434163411458333,0.0003,-0.0012848255020981015,0.09047518974017293,0.05037840083241463,0.8034648448228836
449.58,1223.4764,58,905,7127040,7873,-2.5939027682940163,0.013566492,0.2,6680,0.12142740885416667,0.0003,-0.0016595507535870032,0.10034641129486166,0.017286859452724457,0.7962124645709991
450.0,1243.7646,59,905,7249920,8009,-2.6406259727850556,0.013622959,0.2,6690,0.12926432291666667,0.0003,-0.0016870266115438426,0.0963209345460685,0.03679399937391281,0.8088840991258621
450.0,1260.607,60,905,7372800,8145,-2.6410810101653137,0.013163155,0.2,6700,0.12678385416666665,0.0003,-0.0014154183644677688,0.1042892684853238,0.03831203654408455,0.8121628314256668
450.0,1227.3818,61,904,7495680,8287,-2.661309971883893,0.0114349555,0.2,6710,0.11917317708333333,0.0003,-0.0011149204954563174,0.10879707828959605,0.006807491183280945,0.7916920483112335
450.0,1247.7113,62,904,7618560,8420,-2.6498257242143155,0.0119093675,0.2,6720,0.12658121744791667,0.0003,-0.002050039971618389,0.08756203802870005,0.04191400483250618,0.8323956578969955
450.0,1166.0837,63,905,7741440,8553,-2.6590517284721136,0.012829325,0.2,6730,0.11777018229166666,0.0003,-0.0009468459338131652,0.11495451380047599,0.023876115679740906,0.797479584813118
450.0,1173.9688,64,905,7864320,8688,-2.631529235218962,0.012821027,0.2,6740,0.12303385416666666,0.0003,-0.0018414258687395582,0.07723084205019404,-0.01975148543715477,0.8734060078859329
445.14,1339.5536,65,905,7987200,8823,-2.6411908495177827,0.012047925,0.2,6750,0.11674397786458333,0.0003,-0.0019188504812094227,0.09940228307668197,0.05900034308433533,0.8432557284832001
450.0,1227.4991,66,905,8110080,8960,-2.7188473167518774,0.012754052,0.2,6760,0.12938720703125,0.0003,-0.0013906440551424263,0.11107157307140976,0.026076247915625572,0.8042425364255905
450.0,1306.3501,67,905,8232960,9093,-2.6804844745000205,0.013175557,0.2,6770,0.11830729166666666,0.0003,-0.0020037492954664534,0.11444611581668142,0.036090366542339325,0.8103090971708298
450.0,1216.0465,68,905,8355840,9228,-2.713083055342237,0.013309091,0.2,6780,0.1257958984375,0.0003,-0.002195763714171335,0.10613512440664635,0.11196017265319824,0.8240056037902832
450.0,1273.4448,69,905,8478720,9365,-2.6457118478789927,0.01118964,0.2,6790,0.12045979817708333,0.0003,-0.0014289868414562078,0.11242766418145038,0.04750403016805649,0.7799973040819168
450.0,1226.2948,70,905,8601600,9498,-2.671893379241228,0.012140125,0.2,6800,0.1159619140625,0.0003,-0.0012527095609342117,0.1171748328304966,0.010707497596740723,0.765206515789032
450.0,1215.7494,71,905,8724480,9634,-2.633000980950892,0.012674002,0.2,6810,0.11846110026041666,0.0003,-0.0015471969526030685,0.09582734031362633,0.0778660774230957,0.8129952996969223
450.0,1222.369,72,905,8847360,9767,-2.6413741491362455,0.014337848,0.2,6820,0.12344645182291666,0.0003,-0.001769233351630343,0.10194110664834928,0.04196113348007202,0.8664488941431046
