time/fps,time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/loss,train/explained_variance,train/n_updates,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/learning_rate
767,1351680,11,1465.4786,434.1333333333333,1760,0.03704508766531944,0.790936142206192,1210,-1.6604234886231521,0.12484026662093432,-0.006196470828684445,0.2,0.15366265,0.4692692057291667,0.0002
762,1474560,12,1374.3237,418.4,1933,0.04945959150791168,0.7865873873233795,1220,-1.6621839581492046,0.11524194617794516,-0.006483535848468212,0.2,0.15288213,0.465439453125,0.0002
757,1597440,13,1472.1,428.93333333333334,2108,0.011240066960453987,0.8028644025325775,1230,-1.6005370400908092,0.1187357828769018,-0.005823366637911628,0.2,0.16209863,0.462548828125,0.0002
754,1720320,14,1423.7701,419.26666666666665,2281,0.006011506542563438,0.8096007257699966,1240,-1.5339019198405246,0.11038464223752574,-0.004706038754920883,0.2,0.16658838,0.46405110677083333,0.0002
750,1843200,15,1534.6517,449.4,2455,-0.007631935179233551,0.7798192501068115,1250,-1.5871284328214825,0.12741677974059712,-0.006605246197432279,0.2,0.16610357,0.46826578776041666,0.0002
746,1966080,16,1406.6763,409.93333333333334,2634,0.02012898400425911,0.8092145323753357,1260,-1.5080340842281779,0.10935603193172332,-0.0053906740802206815,0.2,0.17070709,0.4661482747395833,0.0002
742,2088960,17,1445.8864,438.53333333333336,2812,0.035950083285570145,0.8034914433956146,1270,-1.5334616760661204,0.11339828711090377,-0.005723486290304815,0.2,0.16380247,0.46553385416666665,0.0002
740,2211840,18,1333.5991,389.4,2987,-0.009715946391224861,0.8194845467805862,1280,-1.5651420669692258,0.1061512064456474,-0.005646349969683797,0.2,0.16742921,0.4659016927083333,0.0002
738,2334720,19,1472.2244,433.6666666666667,3160,0.11747099459171295,0.8006012439727783,1290,-1.5221987685995797,0.11314570974975746,-0.005800901069921262,0.2,0.17202717,0.4647037760416667,0.0002
736,2457600,20,1477.4283,434.93333333333334,3335,-0.006190791726112366,0.8059679716825485,1300,-1.4583109703970452,0.10630668477931371,-0.005753317930521007,0.2,0.17680779,0.46821044921875,0.0002
735,2580480,21,1511.64,450.0,3509,0.006663337349891663,0.8081828057765961,1310,-1.4543441901976863,0.10840544465191973,-0.005680594679694575,0.2,0.16756344,0.46572265625,0.0002
733,2703360,22,1481.9366,439.06666666666666,3685,-0.007557574659585953,0.7949551343917847,1320,-1.3628618208163727,0.11471662600253088,-0.004267675924438663,0.2,0.17888393,0.46511637369791664,0.0002
732,2826240,23,1431.5804,431.3333333333333,3858,-0.022092647850513458,0.8051109313964844,1330,-1.4377247350880256,0.11239234992050721,-0.004075620053384531,0.2,0.17626622,0.46358154296875,0.0002
731,2949120,24,1423.8434,421.53333333333336,4032,0.04688962548971176,0.7970333993434906,1340,-1.4339648489529888,0.11879991461290046,-0.005225001731893523,0.2,0.17239694,0.4642439778645833,0.0002
730,3072000,25,1491.4264,449.46666666666664,4207,0.027422361075878143,0.8031952679157257,1350,-1.4169458122147869,0.10754115655833933,-0.005055067315958392,0.2,0.16441956,0.45941487630208333,0.0002
728,3194880,26,1461.6273,433.8,4383,-0.03175186365842819,0.7989141941070557,1360,-1.4070228118014831,0.1038740115846546,-0.005045782233901263,0.2,0.17277305,0.46363688151041665,0.0002
727,3317760,27,1465.342,440.8666666666667,4557,0.0013379678130149841,0.8127514272928238,1370,-1.465595204308629,0.10949748464501075,-0.005607467951340368,0.2,0.16589323,0.46150309244791665,0.0002
726,3440640,28,1415.1328,416.06666666666666,4732,0.0009894464164972305,0.8130785673856735,1380,-1.4055425620948274,0.10795541618543211,-0.005272427440928974,0.2,0.1786651,0.46275634765625,0.0002
726,3563520,29,1463.4017,418.06666666666666,4907,-0.019883614033460617,0.809145599603653,1390,-1.4471792176490028,0.11388501507074883,-0.005852616752499671,0.2,0.1657152,0.46008544921875,0.0002
725,3686400,30,1514.3368,445.8666666666667,5084,-0.0293203704059124,0.7918717712163925,1400,-1.4702799757942557,0.10695170473472293,-0.006450111273482738,0.2,0.16368555,0.45884114583333335,0.0002
724,3809280,31,1447.3374,420.6,5259,0.029966633766889572,0.7991665452718735,1410,-1.3640152791980653,0.10817869729134448,-0.004521760174169079,0.2,0.17146832,0.46147542317708334,0.0002
723,3932160,32,1492.5209,441.8666666666667,5436,0.03375017270445824,0.7926083952188492,1420,-1.3612275370645026,0.11296988478997567,-0.005029378807451698,0.2,0.17026302,0.45517171223958336,0.0002
722,4055040,33,1413.6346,411.53333333333336,5613,-0.03353143483400345,0.7959492206573486,1430,-1.3480720026853183,0.11430584044195712,-0.0060373800167629575,0.2,0.17009275,0.45568196614583334,0.0002
721,4177920,34,1520.9551,439.53333333333336,5794,0.03318016603589058,0.8006416112184525,1440,-1.3401780675258488,0.12025348668539663,-0.005223944773133553,0.2,0.17181271,0.45699869791666664,0.0002
720,4300800,35,1460.009,432.1333333333333,5971,0.012829627841711044,0.811138853430748,1450,-1.3095361890892188,0.11130464192237317,-0.005041126543222466,0.2,0.17560336,0.4538777669270833,0.0002
719,4423680,36,1483.0469,422.6666666666667,6145,0.06245066598057747,0.7892241328954697,1460,-1.3341098507338514,0.11368172081526912,-0.004617573100046381,0.2,0.1676365,0.4551513671875,0.0002
717,4546560,37,1326.1781,394.1333333333333,6337,0.008077960461378098,0.7757043689489365,1470,-1.3414136924346287,0.12142456528449354,-0.004687462731180858,0.2,0.16512138,0.45559814453125,0.0002
716,4669440,38,1429.5348,425.3333333333333,6521,-0.024402350187301636,0.7795047163963318,1480,-1.3428456930629908,0.12249422538065119,-0.0054542190744299055,0.2,0.16402802,0.45519124348958334,0.0002
715,4792320,39,1564.4879,444.8,6695,-0.021560540422797203,0.7786541730165482,1490,-1.3448089554036657,0.12106985651577512,-0.0049614080280662165,0.2,0.17167515,0.4573771158854167,0.0002
714,4915200,40,1398.8104,406.6666666666667,6882,0.12105245143175125,0.785943940281868,1500,-1.306814130867521,0.12023778991298362,-0.004705040741949536,0.2,0.1658884,0.45240397135416666,0.0002
713,5038080,41,1553.6277,450.0,7059,0.010472949594259262,0.7744357287883759,1510,-1.3025667540791135,0.12773316529860798,-0.005219003158326813,0.2,0.18205799,0.4544580078125,0.0002
712,5160960,42,1316.992,381.06666666666666,7240,0.005909305065870285,0.7712697982788086,1520,-1.2649306993403782,0.1208643211889042,-0.003989611632623564,0.2,0.17273031,0.4515625,0.0002
711,5283840,43,1386.1237,402.4,7421,0.04998016729950905,0.7659479677677155,1530,-1.2743741724919528,0.1303682219006199,-0.005699084414603325,0.2,0.17138456,0.45123209635416667,0.0002
711,5406720,44,1476.5972,423.0,7600,-0.02272699400782585,0.7701172828674316,1540,-1.2689818319367865,0.12622923518346701,-0.0047741022016695445,0.2,0.17056005,0.45074055989583334,0.0002
710,5529600,45,1370.2231,393.1333333333333,7780,-0.01478424109518528,0.744403064250946,1550,-1.2850582554657013,0.13084520455818469,-0.004236654158721649,0.2,0.1719793,0.45142008463541666,0.0002
710,5652480,46,1302.1266,372.8666666666667,7957,-0.046180546283721924,0.7934054732322693,1560,-1.278745724208032,0.12034474661845404,-0.0048702361058773624,0.2,0.1687179,0.44867513020833333,0.0002
710,5775360,47,1306.3788,383.3333333333333,8132,0.04586045444011688,0.7701953202486038,1570,-1.2616486252099275,0.12334876132352898,-0.005278844925857508,0.2,0.16956563,0.45063720703125,0.0002
709,5898240,48,1440.6487,427.26666666666665,8310,0.02257566712796688,0.770242840051651,1580,-1.2487897447496652,0.12488132579349137,-0.0038558018645320166,0.2,0.16924317,0.4470084635416667,0.0002
709,6021120,49,1398.1122,400.06666666666666,8488,-0.030031682923436165,0.751525491476059,1590,-1.28131377723068,0.1318686983596611,-0.005181598093956078,0.2,0.164902,0.44832275390625,0.0002
708,6144000,50,1481.7782,429.6666666666667,8675,0.07963164895772934,0.761378213763237,1600,-1.2583821270242332,0.12544442694508082,-0.004735715500507164,0.2,0.17002882,0.44973958333333336,0.0002
707,6266880,51,1495.8809,430.46666666666664,8863,0.011695491150021553,0.7416724562644958,1610,-1.2801213259218882,0.12715413992031244,-0.00422777146038546,0.2,0.173254,0.45002685546875,0.0002
706,6389760,52,1367.0354,391.2,9041,0.002570655196905136,0.736068993806839,1620,-1.2803659281072517,0.12702461126405978,-0.005494982706580534,0.2,0.16591129,0.45421142578125,0.0002
706,6512640,53,1262.6704,359.8666666666667,9217,0.019617756828665733,0.7550433129072189,1630,-1.3165389990899712,0.12845853412999228,-0.005857574161345838,0.2,0.16362378,0.45089518229166664,0.0002
706,6635520,54,1504.5447,435.0,9395,0.11304694414138794,0.7613406181335449,1640,-1.3256474353652448,0.11913709695858415,-0.005775061834295533,0.2,0.16220722,0.44799479166666667,0.0002
705,6758400,55,1476.2664,424.46666666666664,9577,0.0385235920548439,0.745562732219696,1650,-1.3179553333887208,0.1263995071532554,-0.006911763277479016,0.2,0.16399342,0.45324788411458333,0.0002
705,6881280,56,1396.1825,399.2,9759,-0.025791451334953308,0.732823520898819,1660,-1.2932184236186246,0.12903042022517183,-0.006084507376984524,0.2,0.16647334,0.45027262369791665,0.0002
704,7004160,57,1446.2987,411.53333333333336,9937,0.013530952855944633,0.7465901374816895,1670,-1.306814134226491,0.12349371551371102,-0.006063611702993512,0.2,0.16260715,0.44988932291666667,0.0002
702,7127040,58,1495.345,426.26666666666665,10150,0.01623561978340149,0.7361324429512024,1680,-1.255655653026576,0.13272338837123243,-0.0058493180307171615,0.2,0.16926225,0.4489851888020833,0.0002
701,7249920,59,1388.9221,404.6666666666667,10333,0.03112710267305374,0.7533679604530334,1690,-1.2792213132791221,0.12610762097154898,-0.006208567826227712,0.2,0.16866152,0.447685546875,0.0002
701,7372800,60,1348.7698,388.73333333333335,10512,0.043216101825237274,0.7516879886388779,1700,-1.2761341048373531,0.12251912518840982,-0.005825687372592559,0.2,0.16683531,0.44682698567708334,0.0002
701,7495680,61,1424.0637,406.53333333333336,10690,0.015506034716963768,0.7292943596839905,1710,-1.2878475841755668,0.13737545599229634,-0.00630930174053295,0.2,0.16255216,0.446416015625,0.0002
700,7618560,62,1428.4556,408.93333333333334,10877,0.023829732090234756,0.7539207190275192,1720,-1.3026580582900593,0.1316728377523638,-0.006111798497743924,0.2,0.16382097,0.44860595703125,0.0002
