time/total_timesteps,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/loss,train/explained_variance,train/clip_fraction,train/entropy_loss,train/value_loss,train/clip_range
2211840,1019,2169,18,419.6,1213.5598,0.0003,170,-0.009646442778672886,0.019470839,-0.0037970449775457382,0.8269379436969757,0.21448893229166666,-4.031100088978807,0.0768206470462125,0.2
2334720,1018,2291,19,434.6,1281.9423,0.0003,180,-0.010123663751522448,0.020369986,0.053589917719364166,0.8591708391904831,0.22035888671875,-4.013572084382177,0.06921392767627065,0.2
2457600,1016,2416,20,423.93333333333334,1251.9646,0.0003,190,-0.010158188136313888,0.020268742,0.008745171129703522,0.8419017046689987,0.22243082682291668,-3.9980827575052778,0.07158902363696446,0.2
2580480,1015,2540,21,422.8,1295.452,0.0003,200,-0.00970097584027826,0.020988626,0.022728370502591133,0.8812181204557419,0.22607503255208333,-3.978806856063505,0.06993798896224082,0.2
2703360,1014,2664,22,433.6,1306.47,0.0003,210,-0.008727165602128177,0.021381645,-0.01925717666745186,0.8619548082351685,0.23024576822916668,-3.961403534784913,0.0749826701815861,0.2
2826240,1013,2787,23,450.0,1378.9766,0.0003,220,-0.009766120189093877,0.02184269,-0.005485892295837402,0.8751805648207664,0.23604248046875,-3.9442919480552274,0.06201058196355007,0.2
2949120,1012,2912,24,450.0,1391.9215,0.0003,230,-0.00897063604576033,0.02228785,0.03550822287797928,0.8540165275335312,0.2394580078125,-3.932124448530376,0.07259132374757125,0.2
3072000,1006,3051,25,436.26666666666665,1357.5135,0.0003,240,-0.00906823348999751,0.0223334,0.10541684925556183,0.8861711844801903,0.24260660807291667,-3.9098689624791345,0.07346656481682051,0.2
3194880,1005,3176,26,439.4,1377.1666,0.0003,250,-0.008685394443115608,0.022659043,-0.0008359020575881004,0.8971964716911316,0.24564453125,-3.8864151968806984,0.06321854798234805,0.2
3317760,1004,3301,27,431.53333333333336,1340.4543,0.0003,260,-0.008468722316932447,0.022420797,-0.018758432939648628,0.901387631893158,0.23896484375,-3.8810454559574525,0.06101027482097076,0.2
3440640,1003,3427,28,450.0,1401.8998,0.0003,270,-0.009452794388616894,0.02351135,-0.008461704477667809,0.8851930573582649,0.24775227864583332,-3.8813807152584197,0.06637545828091485,0.2
3563520,1002,3553,29,448.53333333333336,1432.4613,0.0003,280,-0.008502808071079926,0.023133717,0.015786640346050262,0.8909081742167473,0.2432177734375,-3.8587158232927323,0.0823995317008424,0.2
3686400,1001,3681,30,419.0,1340.6288,0.0003,290,-0.008258894301867865,0.023117665,-0.017768096178770065,0.8889185413718224,0.24575927734375,-3.837638420226673,0.09069510421157853,0.2
3809280,1000,3805,31,407.06666666666666,1347.5554,0.0003,300,-0.007957301294015147,0.023795579,0.00892748311161995,0.8934181183576584,0.24972249348958334,-3.8141448327029743,0.08337784909914868,0.2
3932160,1000,3928,32,423.4,1360.8385,0.0003,310,-0.007934215495297395,0.022808542,0.023342996835708618,0.8954675421118736,0.24422281901041668,-3.81262973194321,0.06926682632464994,0.2
4055040,1000,4052,33,447.46666666666664,1425.2964,0.0003,320,-0.008436719013370748,0.023312723,0.007056772708892822,0.9148130267858505,0.2473779296875,-3.7993315563847623,0.06887981568800267,0.2
4177920,1000,4177,34,429.73333333333335,1420.9235,0.0003,330,-0.007619119241250398,0.023759473,0.034750085324048996,0.8803309574723244,0.24429036458333334,-3.788233118665715,0.07097148452594411,0.2
4300800,999,4300,35,417.53333333333336,1371.0717,0.0003,340,-0.008422704032588324,0.023754718,-0.004605061374604702,0.8929420709609985,0.24714436848958332,-3.7812482958783704,0.07150203388863398,0.2
4423680,998,4429,36,433.53333333333336,1420.664,0.0003,350,-0.008445428948719686,0.024145607,-0.01702428236603737,0.8902076929807663,0.25056640625,-3.7831198558335504,0.07017959805673551,0.2
4546560,998,4553,37,406.26666666666665,1339.0286,0.0003,360,-0.008263714121925054,0.023989467,-0.004106307402253151,0.9016413018107414,0.24885091145833332,-3.7708920572077234,0.0749499931645793,0.2
4669440,998,4676,38,437.2,1449.0463,0.0003,370,-0.008370400811460664,0.024320368,-0.014314758591353893,0.9174716621637344,0.2523551432291667,-3.743428218451639,0.07068148447404382,0.2
4792320,998,4801,39,450.0,1496.5175,0.0003,380,-0.007886614051064195,0.023876747,0.020733695477247238,0.9126455336809158,0.24894612630208332,-3.7364729979882636,0.08010639153425776,0.2
4915200,997,4926,40,436.3333333333333,1442.9835,0.0003,390,-0.008634943453071173,0.025000138,0.03988627344369888,0.8845857456326485,0.25654052734375,-3.732824413155516,0.07360946878203928,0.2
5038080,996,5054,41,418.6666666666667,1399.6294,0.0003,400,-0.008053555851571824,0.024678119,0.001344379037618637,0.8823567852377892,0.2562060546875,-3.727230911826094,0.07275385541584303,0.2
5160960,996,5178,42,422.73333333333335,1401.9745,0.0003,410,-0.008778666880140614,0.025127372,0.010273702442646027,0.921031042933464,0.2572127278645833,-3.73754579924047,0.07448421896115179,0.2
5283840,996,5302,43,437.0,1444.3258,0.0003,420,-0.008147546662360885,0.024816047,-0.02121434547007084,0.9242808669805527,0.25116861979166666,-3.7335133341824016,0.07170330206203895,0.2
5406720,996,5428,44,386.93333333333334,1276.1626,0.0003,430,-0.008214616059249238,0.024792483,-0.013362087309360504,0.9028366729617119,0.2532763671875,-3.7216787693525353,0.07994699158254662,0.2
5529600,996,5551,45,430.6,1439.8187,0.0003,440,-0.007932913517136816,0.024513727,0.015495136380195618,0.9222997575998306,0.25166910807291665,-3.7188759285584094,0.07656050083014028,0.2
5652480,995,5676,46,441.6,1461.3234,0.0003,450,-0.007480229169644493,0.02511044,0.0006311703473329544,0.8799151331186295,0.2560880533854167,-3.692676931420962,0.09144087174980087,0.2
5775360,995,5800,47,405.46666666666664,1346.9285,0.0003,460,-0.007858851006464345,0.025093727,0.02931661531329155,0.912853829562664,0.256318359375,-3.680803322419524,0.08989861936322996,0.2
5898240,995,5925,48,428.26666666666665,1459.7224,0.0003,470,-0.008421738263956893,0.025458625,0.05867514759302139,0.8871215656399727,0.2577848307291667,-3.670462107422451,0.0800271856841573,0.2
6021120,994,6054,49,450.0,1520.9017,0.0003,480,-0.007969943495463667,0.025574557,0.009030994027853012,0.8986004814505577,0.25629801432291666,-3.6625468984494605,0.07488302788313983,0.2
6144000,992,6187,50,450.0,1490.5856,0.0003,490,-0.007954202920870254,0.026153991,0.0854635164141655,0.8872593492269516,0.2571492513020833,-3.663548791458209,0.0792222374008755,0.2
6266880,992,6313,51,437.6,1473.5764,0.0003,500,-0.008060773452713572,0.024828894,0.0018981695175170898,0.8763833865523338,0.25476481119791666,-3.6602486423775553,0.07448769077149336,0.2
6389760,987,6468,52,448.1333333333333,1512.1217,0.0003,510,-0.007945202829293218,0.025410123,0.02052554115653038,0.8734194040298462,0.25449462890625,-3.65535978945593,0.07118713149708734,0.2
6512640,987,6592,53,404.06666666666666,1361.6587,0.0003,520,-0.00743859603750631,0.025168557,0.03569374233484268,0.882661335170269,0.2566227213541667,-3.6347936635961133,0.07776042590024493,0.2
6635520,984,6738,54,439.8666666666667,1515.4387,0.0003,530,-0.008138841072283564,0.02505989,-0.015465728007256985,0.8905832394957542,0.25514322916666665,-3.6353011203805607,0.06661986658194413,0.2
6758400,980,6892,55,450.0,1532.755,0.0003,540,-0.007692473384119391,0.025588505,0.011678634211421013,0.8695769608020782,0.25694580078125,-3.6089951571201286,0.06731484541295989,0.2
6881280,980,7019,56,435.8,1505.1604,0.0003,550,-0.007985695481484072,0.026451845,0.030273959040641785,0.8350963443517685,0.2619124348958333,-3.597332491936783,0.0777624793057718,0.2
7004160,980,7144,57,431.46666666666664,1481.3412,0.0003,560,-0.007779487204109804,0.026449967,0.010765202343463898,0.8660373687744141,0.25932210286458335,-3.5932119801516333,0.07771394005525507,0.2
7127040,979,7278,58,446.73333333333335,1564.2631,0.0003,570,-0.007295693886153459,0.025422696,-0.014673613011837006,0.8779523819684982,0.2580257161458333,-3.5849286049976943,0.07066779518354452,0.2
7249920,978,7408,59,407.46666666666664,1402.7556,0.0003,580,-0.007997272729371617,0.027476167,0.007371949497610331,0.8835894837975502,0.26808268229166665,-3.5877254172042012,0.08335679444140018,0.2
7372800,978,7532,60,442.8,1494.6257,0.0003,590,-0.007335753209899849,0.026982138,-0.009125234559178352,0.8907137587666512,0.2634586588541667,-3.571097217462957,0.07831917581087812,0.2
7495680,978,7657,61,437.8,1488.7281,0.0003,600,-0.007443596949809337,0.026024934,-0.014581898227334023,0.870650127530098,0.25884521484375,-3.576012072004378,0.07593502912626718,0.2
7618560,979,7781,62,444.1333333333333,1515.3063,0.0003,610,-0.007890271239630238,0.026555564,0.07233010232448578,0.8830183520913124,0.2663525390625,-3.5631683965648215,0.08829488156183894,0.2
