rollout/ep_rew_mean,time/fps,time/iterations,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/clip_range,train/value_loss,train/policy_gradient_loss,train/loss,train/n_updates,train/learning_rate,train/approx_kl,train/entropy_loss,train/clip_fraction,train/explained_variance
673.9498,6557,1,122880,450.0,18,,,,,,,,,,
667.8796,1653,2,245760,450.0,148,0.2,0.2631742419146758,-0.005477486164460667,-0.018644904717803,10,0.0002,0.007521079,-4.271003423159321,0.0588671875,0.11386770009994507
727.43066,1334,3,368640,450.0,276,0.2,0.0544280222208666,-0.008787635137323377,0.015902437269687653,20,0.0002,0.00869579,-4.260737021987637,0.07965657552083333,0.6865839660167694
746.88776,1223,4,491520,450.0,401,0.2,0.0679397717663475,-0.009869042398458988,0.038332950323820114,30,0.0002,0.009281409,-4.249631934588154,0.09260009765625,0.707943320274353
759.0784,1158,5,614400,446.0,530,0.2,0.10195019685449855,-0.010172297945297639,0.0769067257642746,40,0.0002,0.009885315,-4.237546421661973,0.10731282552083334,0.6876932978630066
829.06836,1108,6,737280,450.0,665,0.2,0.10407090881431941,-0.010426514047564221,-0.00015194714069366455,50,0.0002,0.010378869,-4.222612805639704,0.11477783203125,0.7049808502197266
896.15704,1083,7,860160,450.0,794,0.2,0.11367279556017214,-0.010906476982806149,0.10801942646503448,60,0.0002,0.011087533,-4.211359159400065,0.12613444010416666,0.6810682713985443
874.87085,1066,8,983040,450.0,921,0.2,0.1316610684558206,-0.010976779449483729,0.05905274674296379,70,0.0002,0.011481717,-4.19721602966388,0.13078125,0.6515210270881653
903.0765,1053,9,1105920,414.1333333333333,1049,0.2,0.13258080009177017,-0.010967477290414536,0.06736164540052414,80,0.0002,0.011653316,-4.178970473309358,0.13703531901041666,0.6507278978824615
968.533,1042,10,1228800,446.1333333333333,1178,0.2,0.14174281608313322,-0.010922288211701622,0.04301929473876953,90,0.0002,0.012644973,-4.160409667442242,0.14673502604166666,0.6494925618171692
1000.1182,1035,11,1351680,450.0,1305,0.2,0.1360320001989991,-0.01131218630714405,0.024440867826342583,100,0.0002,0.0130953435,-4.1427008549620705,0.15133870442708333,0.7082674503326416
955.86523,1028,12,1474560,430.4,1433,0.2,0.14349014658888337,-0.01060874057970068,0.056405674666166306,110,0.0002,0.013229262,-4.131672274917364,0.15555501302083333,0.6762325167655945
1051.8612,1021,13,1597440,450.0,1564,0.2,0.13446189464496758,-0.010863537371884982,0.025638453662395477,120,0.0002,0.013563077,-4.11037653679649,0.15828125,0.7157806158065796
1109.216,1013,14,1720320,449.93333333333334,1696,0.2,0.13250884226969598,-0.010653546139092213,0.12466476857662201,130,0.0002,0.013668293,-4.094456814577182,0.16250325520833334,0.72804194688797
1132.1157,1010,15,1843200,449.8666666666667,1823,0.2,0.13516261845148014,-0.011001361504204396,0.08986617624759674,140,0.0002,0.01410053,-4.086344186936816,0.16596028645833333,0.7300205826759338
1150.6761,1007,16,1966080,450.0,1952,0.2,0.13525942209817005,-0.010661791466742822,0.04695328697562218,150,0.0002,0.014251978,-4.0685114440942804,0.16692138671875,0.7351391017436981
1188.1301,1003,17,2088960,450.0,2081,0.2,0.13897389972727978,-0.010441151616893574,-0.006662312895059586,160,0.0002,0.014854518,-4.052740153086682,0.17123453776041667,0.7537423670291901
1234.2156,1000,18,2211840,437.3333333333333,2209,0.2,0.1226790595522228,-0.010691667826122284,0.024321138858795166,170,0.0002,0.015032854,-4.0350804899757104,0.17612874348958332,0.7945892065763474
