time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/explained_variance,train/learning_rate,train/approx_kl,train/loss,train/entropy_loss,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/value_loss
1,12,450.0,668.8363,8192,655,,,,,,,,,,
2,58,450.0,847.8955,16384,278,0.8814373463392258,0.0003,164.96262,250.61863708496094,-0.08084411354586366,10,0.9971435546875,0.5242485635404591,0.2,679.2192536145449
3,110,450.0,907.6736,24576,221,0.9145903214812279,0.0003,0.0011760958,447.29107666015625,-0.0006158891084438866,20,0.00048828125,6.0149485761940014e-05,0.2,833.5322583436966
4,168,450.0,946.99805,32768,194,0.9184701889753342,0.0003,0.0,652.3499755859375,-2.945436108161559e-05,30,0.0,-3.4540767956059427e-06,0.2,428.97576051428916
5,225,450.0,964.30365,40960,181,0.9130145758390427,0.0003,0.0,278.4607238769531,-2.989170405186302e-06,40,0.0,-7.385278877336532e-08,0.2,320.48030987903473
