time/iterations,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/approx_kl,train/clip_fraction,train/value_loss,train/explained_variance,train/n_updates,train/loss,train/entropy_loss
26,1448.9763,3194880,440.0,786,4061,-0.02591676964732566,0.2,0.0002,0.05034767,0.40577392578125,0.03560491046531145,0.8162782043218613,250,-0.013350151479244232,-3.577765570965906
27,1324.5659,3317760,400.2,786,4219,-0.026042829812771135,0.2,0.0002,0.05183382,0.41270345052083335,0.034645926813876335,0.8567449599504471,260,-0.011118141002953053,-3.541603860979279
28,1340.1608,3440640,391.93333333333334,785,4378,-0.02572231451637587,0.2,0.0002,0.052939847,0.415439453125,0.035398363218895,0.809112623333931,270,-0.04158820956945419,-3.5128962497909866
29,1516.4742,3563520,450.0,785,4537,-0.025825954946473453,0.2,0.0002,0.05356796,0.42200358072916666,0.0394295372046569,0.8230452239513397,280,-0.013129371218383312,-3.49198757947733
30,1371.781,3686400,408.4,785,4695,-0.0256886658228359,0.2,0.0002,0.054287694,0.42302490234375,0.03474267836992415,0.8221715837717056,290,-0.03423615172505379,-3.4618587211271126
31,1523.7437,3809280,436.2,785,4851,-0.02545096480536813,0.2,0.0002,0.056594532,0.42808919270833334,0.03458957927454321,0.807603508234024,300,-0.023807499557733536,-3.4241921404624978
32,1496.291,3932160,443.6,785,5009,-0.0244257012525001,0.2,0.0002,0.05834281,0.43184733072916665,0.03801600609052305,0.808373287320137,310,-0.008534200489521027,-3.40013040214777
33,1422.4805,4055040,420.6666666666667,784,5170,-0.025185341597170917,0.2,0.0002,0.058385216,0.4327734375,0.033080787428916666,0.8081664144992828,320,-0.03916318714618683,-3.3784309728940327
34,1538.5931,4177920,445.46666666666664,783,5334,-0.02455502286272652,0.2,0.0002,0.059355047,0.432880859375,0.03498776808128847,0.8291128873825073,330,-0.021719321608543396,-3.349891577598949
35,1344.6356,4300800,392.6666666666667,781,5504,-0.024079986616749618,0.2,0.0002,0.061596114,0.4425927734375,0.03556159348673343,0.8325056284666061,340,0.001525558065623045,-3.314513174568613
36,1338.8676,4423680,396.73333333333335,781,5664,-0.02319430524449975,0.2,0.0002,0.06166115,0.44610026041666667,0.03793869648764182,0.8375366032123566,350,-0.027931667864322662,-3.296790508292615
