time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/time_elapsed,train/value_loss,train/loss,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/n_updates,train/learning_rate,train/approx_kl,train/clip_fraction,train/entropy_loss
519,102.57,-341.19476,57344,14,110,1084.0493886470795,628.454833984375,0.4290592670440674,-0.009673434997239383,0.2,130,0.0003,0.009178971,0.081298828125,-4.179229862242937
518,102.23,-343.0812,61440,15,118,1133.632318496704,933.0712890625,0.42439723014831543,-0.009609108308359282,0.2,140,0.0003,0.010401516,0.1102783203125,-4.1673586063086985
518,103.16,-348.00632,65536,16,126,1059.4022575378417,533.5520629882812,0.4740225672721863,-0.009515012084739283,0.2,150,0.0003,0.009730122,0.1048095703125,-4.155975034832954
518,103.99,-356.22183,69632,17,134,1117.5705942153932,425.7289733886719,0.40062135457992554,-0.010014712394331582,0.2,160,0.0003,0.014516743,0.13203125,-4.125446914136409
518,104.52,-361.07043,73728,18,142,1222.5877715110778,639.8677368164062,0.42440110445022583,-0.0051053715505986474,0.2,170,0.0003,0.010077819,0.107568359375,-4.121150524914265
518,104.56,-358.78152,77824,19,150,1240.9775060653687,273.74725341796875,0.4422186613082886,-0.009056878580304328,0.2,180,0.0003,0.011016959,0.125244140625,-4.135657689720392
517,104.57,-357.84137,81920,20,158,1245.3593117237092,550.9468383789062,0.4334622621536255,-0.008087713270651876,0.2,190,0.0003,0.013766695,0.1525390625,-4.106387570500374
517,102.77,-347.661,86016,21,166,920.69737200737,404.61468505859375,0.5939382314682007,-0.00859708204261551,0.2,200,0.0003,0.0102635855,0.091259765625,-4.064404896646738
517,102.64,-339.5877,90112,22,174,1140.2832090854645,546.6421508789062,0.4552779793739319,-0.005939612879774359,0.2,210,0.0003,0.0140365865,0.1401123046875,-4.09185090214014
517,102.44,-339.66125,94208,23,181,826.4398467540741,517.1006469726562,0.6332167685031891,-0.008062103495467455,0.2,220,0.0003,0.009533508,0.0749755859375,-4.053321395069361
517,102.94,-348.47308,98304,24,189,1001.3945863246918,548.093505859375,0.5622095763683319,-0.010465978236970841,0.2,230,0.0003,0.0115541,0.114404296875,-4.067808964848519
517,103.35,-351.79922,102400,25,197,985.4620876789093,442.57916259765625,0.5659240484237671,-0.00742606679086748,0.2,240,0.0003,0.01212372,0.0950927734375,-4.02365807108581
517,104.04,-356.1182,106496,26,205,1046.1709100723267,271.3367004394531,0.5576995015144348,-0.0073808816458040384,0.2,250,0.0003,0.011449647,0.122412109375,-4.033822566643357
517,104.56,-356.0985,110592,27,213,1290.2639363765716,575.1992797851562,0.4571012258529663,-0.008187477648607455,0.2,260,0.0003,0.013905654,0.14287109375,-4.054003500938416
517,103.69,-348.24768,114688,28,221,1120.4874158382415,866.5841674804688,0.5133092403411865,-0.006412516705313465,0.2,270,0.0003,0.011174886,0.0890869140625,-3.9869570773094893
518,102.83,-341.04825,118784,29,229,928.825723862648,158.0623016357422,0.623302698135376,-0.01010581491755147,0.2,280,0.0003,0.010687313,0.0862060546875,-4.003856932371855
518,103.14,-348.19476,122880,30,237,1124.2236457824706,551.2603149414062,0.5975727438926697,-0.0076009946700651195,0.2,290,0.0003,0.0114008775,0.099560546875,-3.9729077771306036
518,104.21,-351.8326,126976,31,245,1221.536498403549,462.5755920410156,0.5204898416996002,-0.009451052482472733,0.2,300,0.0003,0.015486101,0.134521484375,-3.988608906045556
518,103.01,-342.25882,131072,32,252,1025.913299226761,296.1918029785156,0.6237306296825409,-0.006229360718498356,0.2,310,0.0003,0.015937027,0.1187744140625,-3.9550587225705387
518,101.69,-336.88712,135168,33,260,1184.1241231918334,401.0811767578125,0.5888984203338623,-0.008980880445596995,0.2,320,0.0003,0.011419151,0.0931640625,-3.9657685551792383
518,100.29,-321.99942,139264,34,268,1052.1400791168212,647.7938232421875,0.574365109205246,-0.008852028953333502,0.2,330,0.0003,0.010802156,0.093896484375,-3.9159449871629475
518,101.88,-335.6717,143360,35,276,1024.6140696525574,597.5555419921875,0.5815547704696655,-0.010503793760653935,0.2,340,0.0003,0.011082897,0.0967529296875,-3.893974578753114
518,101.96,-333.309,147456,36,284,836.8432758808136,263.5335998535156,0.6685683727264404,-0.005895113258884521,0.2,350,0.0003,0.015439626,0.13681640625,-3.857155955955386
518,102.38,-334.47366,151552,37,292,844.7766764163971,385.9423522949219,0.6445419490337372,-0.007558371181221446,0.2,360,0.0003,0.013919232,0.1234130859375,-3.8864817917346954
518,102.48,-334.63055,155648,38,299,951.5372260570526,419.3033447265625,0.5829861164093018,-0.0072187006895546805,0.2,370,0.0003,0.0129022915,0.1031005859375,-3.9024379059672354
518,103.77,-336.56204,159744,39,307,889.5687146663665,506.8522033691406,0.6559508442878723,-0.007422761457564775,0.2,380,0.0003,0.011753666,0.097607421875,-3.8386884350329638
518,102.76,-332.76544,163840,40,315,820.5727653026581,348.5898132324219,0.6375032663345337,-0.009003635386034149,0.2,390,0.0003,0.013015762,0.1192626953125,-3.8526266552507877
519,103.42,-345.8726,167936,41,323,771.7574725627899,266.90533447265625,0.6450022757053375,-0.009491610815894091,0.2,400,0.0003,0.013176704,0.11494140625,-3.8634385392069817
519,102.45,-349.238,172032,42,331,1004.4768815994263,375.8121643066406,0.5578461289405823,-0.005865993189217988,0.2,410,0.0003,0.01237613,0.1173828125,-3.835878799855709
519,102.47,-348.49097,176128,43,339,1166.3879927635194,450.38824462890625,0.5465071499347687,-0.008342680358327925,0.2,420,0.0003,0.013865382,0.1124267578125,-3.8195758286863564
519,103.19,-345.27136,180224,44,347,966.5422882080078,380.3190612792969,0.6376938819885254,-0.007269100573466858,0.2,430,0.0003,0.012183717,0.0932861328125,-3.822327180579305
