time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,train/explained_variance,train/entropy_loss,train/learning_rate,train/value_loss,train/loss,train/n_updates,train/clip_range,train/approx_kl,train/clip_fraction,train/policy_gradient_loss
6366,1,19,450.0,929.1043,122880,,,,,,,,,,
1613,2,152,434.72,877.75806,245760,0.14410114288330078,-0.7600869908059636,0.0003,0.3730690876445927,0.10970950126647949,2860,0.2,0.098002985,0.24507080078125,0.006102889939963158
1287,3,286,446.06,941.69696,368640,0.471890389919281,-0.8601319586765022,0.0003,0.06861403821535836,0.046359945088624954,2870,0.2,0.112560235,0.2415966796875,0.008898644936956164
1175,4,418,450.0,936.88165,491520,0.7034147679805756,-0.8258087754854933,0.0003,0.040020572919626525,0.010912404395639896,2880,0.2,0.08926679,0.23316569010416666,0.005793028386354611
1090,5,563,447.0,940.45624,614400,0.6970920562744141,-0.8275015530471379,0.0003,0.028580044989030284,-0.00800381787121296,2890,0.2,0.08433357,0.23473388671875,0.004349244577303277
1060,6,695,438.64,925.0055,737280,0.7106867730617523,-0.8278110976222282,0.0003,0.03415424771263739,0.026697780936956406,2900,0.2,0.08548047,0.23598307291666668,0.004353616223015706
1039,7,827,443.78,947.20734,860160,0.844671905040741,-0.8045858783802639,0.0003,0.01996705039086616,-0.00016340333968400955,2910,0.2,0.083437175,0.23496500651041666,0.004240582344318682
1023,8,960,444.96,897.3762,983040,0.8467318713665009,-0.785516894821388,0.0003,0.012954851266313199,0.04108023643493652,2920,0.2,0.0778636,0.23228515625,0.004015972827558775
1013,9,1091,444.84,915.8055,1105920,0.849411353468895,-0.8517650719701002,0.0003,0.01533030579546903,0.005249586887657642,2930,0.2,0.07694351,0.2286474609375,0.004390403163233714
980,10,1252,444.88,932.521,1228800,0.8844143003225327,-0.8718091452773661,0.0003,0.00751207843651476,0.004371801391243935,2940,0.2,0.08632018,0.22956380208333332,0.003590053593682872
976,11,1384,447.64,919.83563,1351680,0.8954004272818565,-0.7984169069413717,0.0003,0.0028053405245509564,0.010773261077702045,2950,0.2,0.07903021,0.23266438802083333,0.0049218791006448255
972,12,1516,442.54,945.6431,1474560,0.8515083938837051,-0.8583518517840033,0.0003,0.011918620796591313,-0.011467909440398216,2960,0.2,0.07723881,0.22748697916666666,0.0033961103996595437
969,13,1648,437.44,903.1624,1597440,0.8661077171564102,-0.8157066935750966,0.0003,0.015743231355722854,0.008343277499079704,2970,0.2,0.07581663,0.22997802734375,0.0036373610097810644
960,14,1790,443.36,926.6933,1720320,0.9319290965795517,-0.8193164046248421,0.0003,0.004622966966024554,-0.040048349648714066,2980,0.2,0.07703059,0.23010009765625,0.003872700596748473
955,15,1928,447.3,933.8007,1843200,0.8841523602604866,-0.8318972005136311,0.0003,0.005690406266238976,-0.013412942178547382,2990,0.2,0.07576049,0.22857828776041667,0.0036514869941280874
954,16,2060,447.46,905.7318,1966080,0.9238156750798225,-0.8358734860022863,0.0003,0.004667897477344619,0.014426859095692635,3000,0.2,0.07756661,0.22803955078125,0.004086027467921364
952,17,2192,430.02,924.4539,2088960,0.9226893708109856,-0.9007529581834872,0.0003,0.004546380449145696,0.004945795051753521,3010,0.2,0.07280669,0.226171875,0.004064704857303998
951,18,2325,449.52,935.62866,2211840,0.9102178290486336,-0.8409043192164972,0.0003,0.006392536495073576,0.004650042857974768,3020,0.2,0.0738331,0.22943766276041666,0.004147953668501334
950,19,2457,448.18,941.86444,2334720,0.8945559412240982,-0.9638615615790089,0.0003,0.009027398040199539,-0.0011130808852612972,3030,0.2,0.068994984,0.21959879557291667,0.0039405453255979715
938,20,2619,441.32,923.37537,2457600,0.9406927525997162,-0.9223466509425392,0.0003,0.003130875300653315,-0.007348396349698305,3040,0.2,0.07297206,0.22375732421875,0.004256326131744572
938,21,2750,450.0,952.08,2580480,0.9570366740226746,-0.8578302720173573,0.0003,0.004187585813781425,-0.008912043645977974,3050,0.2,0.067669615,0.22029866536458334,0.005349184844641665
937,22,2882,437.56,925.02893,2703360,0.8990935385227203,-0.8784378163159514,0.0003,0.0031332507332065994,0.02676587924361229,3060,0.2,0.07092126,0.22637288411458334,0.004797731706512423
937,23,3013,450.0,921.3367,2826240,0.8823804259300232,-0.880897801524649,0.0003,0.015786585351450715,0.020480813458561897,3070,0.2,0.079172336,0.23136149088541666,0.003624690436954552
936,24,3147,442.98,947.48157,2949120,0.23805582523345947,-0.9046776638366282,0.0003,0.004424305679225048,-0.01930070109665394,3080,0.2,0.07105543,0.22358235677083332,0.005014120750808313
935,25,3284,433.82,890.0005,3072000,0.8991258069872856,-0.9361452496393273,0.0003,0.0034165097837224796,-0.006276635453104973,3090,0.2,0.0654217,0.21850016276041667,0.004035693429705134
927,26,3445,443.12,920.60626,3194880,0.8358432650566101,-0.9498929140530527,0.0003,0.006090520129432662,0.0030351467430591583,3100,0.2,0.0660963,0.21768798828125,0.004143121232694587
926,27,3579,447.54,923.5033,3317760,0.9163396582007408,-0.9527472914444903,0.0003,0.005786016629839044,-0.00021549739176407456,3110,0.2,0.06760476,0.22367268880208332,0.0036934414306294154
926,28,3712,444.48,922.2569,3440640,0.8677155822515488,-0.9120209309458732,0.0003,0.0017756521249619557,0.008210403844714165,3120,0.2,0.06509931,0.22091552734375,0.004669813637998838
925,29,3852,448.9,957.20795,3563520,0.8553895652294159,-0.9653399585730706,0.0003,0.0028063213232303497,0.019304240122437477,3130,0.2,0.062424265,0.21448974609375,0.0041429588255202055
