rollout/ep_rew_mean,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,train/loss,train/approx_kl,train/explained_variance,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/n_updates,train/value_loss
9.795386,122880,1,450.0,19,6428,,,,,,,,,,
25.356577,245760,2,450.0,175,1398,0.02181018888950348,0.009304532,-0.033690810203552246,0.2,-4.270514191165566,-0.006216412318226503,0.0002,0.07031901041666666,10,0.1611242779045036
38.191944,368640,3,450.0,332,1108,-0.008471732959151268,0.011634115,0.6751540303230286,0.2,-4.256952218686541,-0.013675749951689796,0.0002,0.12472737630208333,20,0.04233084187838055
108.723656,491520,4,450.0,488,1006,0.007104985415935516,0.014558868,0.7711847871541977,0.2,-4.23729203445216,-0.019569931349445444,0.0002,0.17065022786458334,30,0.05298006355306522
158.17995,614400,5,429.73333333333335,646,950,-0.036301255226135254,0.016355889,0.7846920788288116,0.2,-4.2127014378706615,-0.02253631123267648,0.0002,0.19659098307291667,40,0.05319886428692067
206.11427,737280,6,450.0,803,917,-0.06987663358449936,0.018821986,0.7918301224708557,0.2,-4.1855534050613645,-0.025376001281680754,0.0002,0.22257405598958332,50,0.054109549681597854
207.69534,860160,7,450.0,956,899,0.0009057717397809029,0.020197902,0.7958546876907349,0.2,-4.155837999631961,-0.026535645140696337,0.0002,0.23863118489583332,60,0.052122765437622245
239.12029,983040,8,450.0,1112,883,-0.04301230609416962,0.022710783,0.7982736080884933,0.2,-4.121224911063909,-0.027802805981197404,0.0002,0.26012532552083334,70,0.05027102395882442
270.94043,1105920,9,436.8666666666667,1268,872,-0.030478958040475845,0.02461666,0.790308341383934,0.2,-4.08873744217058,-0.028844323603674032,0.0002,0.27552490234375,80,0.047405097367397196
280.33505,1228800,10,450.0,1425,862,-0.024258136749267578,0.026418447,0.7810560017824173,0.2,-4.054040495057901,-0.029140102461018006,0.0002,0.2876456705729167,90,0.040118010138879376
323.85434,1351680,11,450.0,1582,853,-0.014931052923202515,0.02794941,0.7702452540397644,0.2,-4.016164940285186,-0.028947223112797172,0.0002,0.30248128255208334,100,0.03455521686182086
334.10822,1474560,12,450.0,1740,847,-0.05191522091627121,0.029604074,0.7630019634962082,0.2,-3.975357343417903,-0.02857409022990396,0.0002,0.30934326171875,110,0.03211598474876761
360.29684,1597440,13,450.0,1909,836,-0.04890069365501404,0.03070035,0.7477420270442963,0.2,-3.9456684393435717,-0.027737479013555156,0.0002,0.31928059895833333,120,0.030050608980333588
369.05304,1720320,14,450.0,2067,832,-0.03167319670319557,0.032158528,0.735075831413269,0.2,-3.910355038419366,-0.02796587131686465,0.0002,0.32592366536458334,130,0.02734939635122525
371.48264,1843200,15,450.0,2241,822,-0.0007956493645906448,0.0335355,0.7055642604827881,0.2,-3.87839835015436,-0.026984090054817594,0.0002,0.3359147135416667,140,0.02480960879433648
384.9305,1966080,16,450.0,2399,819,-0.024614622816443443,0.033178415,0.6726754605770111,0.2,-3.856065001587073,-0.025567623736066403,0.0002,0.33732259114583335,150,0.024814540980793633
402.33234,2088960,17,450.0,2555,817,-0.0410895012319088,0.034663033,0.6756777167320251,0.2,-3.8272004854058226,-0.024776443987593665,0.0002,0.34528076171875,160,0.02557537007414794
403.13327,2211840,18,450.0,2724,811,-0.030984506011009216,0.03515431,0.658210039138794,0.2,-3.8073316219076516,-0.024704506393294044,0.0002,0.3492277018229167,170,0.025851661687847808
407.2082,2334720,19,450.0,2882,809,-0.05733061209321022,0.036739897,0.626067727804184,0.2,-3.7792678954824805,-0.024453432403394496,0.0002,0.35671061197916665,180,0.02465851206111741
401.4841,2457600,20,450.0,3040,808,-0.05100252479314804,0.03708662,0.6058511137962341,0.2,-3.7633768860747416,-0.024330496700774043,0.0002,0.3591845703125,190,0.025095413772420822
403.336,2580480,21,450.0,3197,807,-0.022285819053649902,0.038630832,0.5817120969295502,0.2,-3.74217802554369,-0.024472397561312392,0.0002,0.3647216796875,200,0.0265203199389119
408.53915,2703360,22,450.0,3352,806,-0.05541557818651199,0.039009657,0.603196918964386,0.2,-3.720183801576495,-0.024003861220147277,0.0002,0.3662215169270833,210,0.024070815057505874
420.7206,2826240,23,450.0,3508,805,-0.05510210990905762,0.041480303,0.58620485663414,0.2,-3.703329893425107,-0.02427730042255765,0.0002,0.376328125,220,0.024964485701748345
418.52747,2949120,24,450.0,3664,804,-0.006412944756448269,0.041387133,0.5384859144687653,0.2,-3.6780624309678873,-0.023602866596866078,0.0002,0.3771443684895833,230,0.024522882693502956
411.76282,3072000,25,450.0,3822,803,-0.002580246888101101,0.04261588,0.5663527250289917,0.2,-3.6470365960275135,-0.023638393586024903,0.0002,0.38420247395833335,240,0.02550400190672614
418.42715,3194880,26,450.0,3980,802,0.020046109333634377,0.042361654,0.5315596461296082,0.2,-3.6314035674308736,-0.023278273372591987,0.0002,0.3815104166666667,250,0.024212585713624623
413.47607,3317760,27,450.0,4140,801,-0.02651936560869217,0.04452245,0.48515433073043823,0.2,-3.611865591046711,-0.023166384920489995,0.0002,0.389951171875,260,0.02908121626113522
412.0892,3440640,28,450.0,4298,800,-0.035761959850788116,0.044336174,0.5243197679519653,0.2,-3.598834717012942,-0.02281679187432625,0.0002,0.38961100260416665,270,0.026764676383209007
391.46564,3563520,29,434.8,4455,799,-0.02262774482369423,0.046322204,0.5228022038936615,0.2,-3.5665910417586564,-0.02290881968952817,0.0002,0.39697265625,280,0.030642364207851644
