rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,time/total_timesteps,train/approx_kl,train/loss,train/n_updates,train/entropy_loss,train/value_loss,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/clip_range
714.2235,18,6630,438.02,1,122880,,,,,,,,,,
685.9623,144,1697,450.0,2,245760,0.008718035,0.01640799641609192,10,-4.270422003616889,0.27718952281953535,0.0003,-0.16567647457122803,-0.005852414116137273,0.07277587890625,0.2
727.47565,271,1358,435.2,3,368640,0.010088606,0.05471649765968323,20,-4.2593029937644795,0.06729170633712783,0.0003,0.5755907595157623,-0.010574259670265746,0.105185546875,0.2
792.6502,397,1235,450.0,4,491520,0.011195308,-0.001397283747792244,30,-4.247789686893423,0.08618556431281225,0.0003,0.5837774574756622,-0.011509187060601106,0.12090169270833333,0.2
792.89185,523,1172,425.24,5,614400,0.01205324,0.019327083602547646,40,-4.233261082793276,0.107654573226658,0.0003,0.6758431494235992,-0.011733094861228891,0.13267659505208335,0.2
828.03784,649,1135,450.0,6,737280,0.012819317,0.027330096811056137,50,-4.21964485399425,0.1049596406238076,0.0003,0.7251729369163513,-0.012162264624548698,0.14331380208333333,0.2
889.31274,773,1111,445.98,7,860160,0.013170153,0.011348573490977287,60,-4.203756371016303,0.11195133876773374,0.0003,0.6958001852035522,-0.012126033020886098,0.15404378255208334,0.2
920.90393,900,1091,450.0,8,983040,0.01448737,-0.006969541311264038,70,-4.184257171104352,0.12221703980894139,0.0003,0.7026340663433075,-0.012943332040455668,0.165302734375,0.2
923.83124,1026,1076,443.94,9,1105920,0.014818704,0.040841903537511826,80,-4.172395101115107,0.129353781992686,0.0003,0.6569816172122955,-0.012790070141497079,0.171640625,0.2
974.2914,1153,1065,438.68,10,1228800,0.015260097,0.0319288969039917,90,-4.15314787303408,0.11619901761354413,0.0003,0.664327085018158,-0.012536847105408621,0.17768798828125,0.2
986.8351,1278,1056,438.9,11,1351680,0.016238179,0.046883661299943924,100,-4.133765137195587,0.12045383316231892,0.0003,0.6613331437110901,-0.01184746727206099,0.18485921223958332,0.2
1060.7507,1404,1050,450.0,12,1474560,0.016790457,0.006135741248726845,110,-4.118005649099747,0.12888269487972137,0.0003,0.6738279461860657,-0.012213706822512905,0.19093098958333332,0.2
1057.2719,1528,1044,437.76,13,1597440,0.01674401,0.030427835881710052,120,-4.104684835722049,0.11695116619822025,0.0003,0.689696729183197,-0.012354890870125625,0.1928369140625,0.2
1083.2946,1654,1039,441.24,14,1720320,0.017327936,-0.0018003135919570923,130,-4.089388236105442,0.11959621161969457,0.0003,0.7388004958629608,-0.01233719673870534,0.19773844401041665,0.2
1086.859,1781,1034,441.08,15,1843200,0.01789337,0.013364296406507492,140,-4.070368431570629,0.1191726824461754,0.0003,0.8049595355987549,-0.012347342841209563,0.20193684895833333,0.2
1085.9326,1909,1029,428.68,16,1966080,0.017863112,0.03651312738656998,150,-4.06145027919362,0.126352843818604,0.0003,0.7906917631626129,-0.012147573524374214,0.20535807291666666,0.2
1113.8176,2034,1026,431.54,17,2088960,0.018307293,0.038289617747068405,160,-4.045297864538928,0.10501231615373399,0.0003,0.8090637922286987,-0.012013763244049187,0.20937906901041667,0.2
1186.4307,2160,1023,448.92,18,2211840,0.018821567,0.04850208759307861,170,-4.0285764665653305,0.1080838787643006,0.0003,0.8175000995397568,-0.011784520307470908,0.21182861328125,0.2
1164.7837,2285,1021,439.64,19,2334720,0.018930158,0.0454266294836998,180,-4.023842337032159,0.11565924840901667,0.0003,0.7946289628744125,-0.011406726798789653,0.2117138671875,0.2
1174.7479,2412,1018,444.42,20,2457600,0.019333879,0.013387005776166916,190,-4.0030296519522865,0.09767206332626908,0.0003,0.8133583217859268,-0.012095909647653873,0.21759440104166666,0.2
1217.1737,2537,1017,436.5,21,2580480,0.019681506,0.01566212624311447,200,-3.9913302306458354,0.09719876342918723,0.0003,0.8365796953439713,-0.011507786740767188,0.22259440104166667,0.2
1131.2195,2673,1011,418.78,22,2703360,0.02022287,0.01045413687825203,210,-3.9764371875673534,0.10076251260218366,0.0003,0.8259220272302628,-0.011414829599489166,0.22676513671875,0.2
1213.2448,2799,1009,434.78,23,2826240,0.020824159,0.02475687488913536,220,-3.964286933504045,0.1000537830395236,0.0003,0.8240189999341965,-0.011058964945838549,0.2307421875,0.2
1260.348,2925,1008,443.56,24,2949120,0.02050112,0.012038961052894592,230,-3.9603139596556622,0.09662240689989024,0.0003,0.8227059096097946,-0.010930991003636639,0.22714925130208333,0.2
1267.1613,3053,1006,440.22,25,3072000,0.021434458,0.046823859214782715,240,-3.9415414510915676,0.09134766976048316,0.0003,0.8375741839408875,-0.011406812510588983,0.233984375,0.2
1280.1843,3207,996,445.8,26,3194880,0.021523314,0.018028661608695984,250,-3.921103366365035,0.1023970555467531,0.0003,0.8147094249725342,-0.010726488216887447,0.2363525390625,0.2
1297.2017,3334,995,441.54,27,3317760,0.02190458,0.051803067326545715,260,-3.9140289436032374,0.09953185340573933,0.0003,0.8095393180847168,-0.011269665953307898,0.23685302734375,0.2
1288.9545,3461,994,438.16,28,3440640,0.0217525,0.02965407259762287,270,-3.898080178176363,0.10294747107177196,0.0003,0.8337573558092117,-0.01081823836657956,0.23919270833333334,0.2
1289.3782,3586,993,444.76,29,3563520,0.02217547,-0.022215943783521652,280,-3.880704587151607,0.09333398402484211,0.0003,0.850705549120903,-0.010841115685683083,0.23915364583333334,0.2
1256.6089,3711,993,425.72,30,3686400,0.022200633,0.03936408832669258,290,-3.8613565817475317,0.08604963226874436,0.0003,0.8558955192565918,-0.010549607487270503,0.24043294270833335,0.2
1296.1404,3838,992,425.84,31,3809280,0.023009082,-0.002513488754630089,300,-3.8461591214189927,0.10324141707950427,0.0003,0.837438091635704,-0.010755485610328226,0.24717447916666666,0.2
1315.4882,3966,991,438.82,32,3932160,0.022358509,0.049756281077861786,310,-3.8323395694295566,0.0894838891964173,0.0003,0.8526279032230377,-0.01015310897443366,0.24376383463541668,0.2
1291.6333,4094,990,437.14,33,4055040,0.023321185,0.046716030687093735,320,-3.8241281032313905,0.08528540607357475,0.0003,0.8429613709449768,-0.01131160355231259,0.24951578776041666,0.2
1343.4946,4221,989,440.72,34,4177920,0.022730054,0.05818651244044304,330,-3.816812561377883,0.08903086053178413,0.0003,0.8583453744649887,-0.010099835505067555,0.24194498697916667,0.2
1351.9204,4348,989,445.0,35,4300800,0.02359094,0.04013311117887497,340,-3.8030410870040456,0.09044502469463624,0.0003,0.8580414205789566,-0.010827170162719994,0.24810546875,0.2
1305.1953,4474,988,430.36,36,4423680,0.023342192,-0.009778246283531189,350,-3.793699776853124,0.08947549612130387,0.0003,0.8514434099197388,-0.010163205564343419,0.2452001953125,0.2
1311.955,4607,986,425.24,37,4546560,0.023533642,0.05878664553165436,360,-3.788358922774593,0.08855444735769803,0.0003,0.8483650535345078,-0.010552443276925866,0.249560546875,0.2
1374.7094,4736,985,439.68,38,4669440,0.023197265,0.012851806357502937,370,-3.7700237327814103,0.08386490858315179,0.0003,0.8634769022464752,-0.010126003212432504,0.24689371744791666,0.2
