rollout/ep_len_mean,time/total_timesteps,time/fps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/clip_range,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/loss,train/value_loss,train/explained_variance,train/learning_rate,train/n_updates,train/entropy_loss
425.5,15851520,953,129,16622,1529.2593,0.2,0.023178598,0.25235677083333335,-0.00650480987094852,-0.01100143976509571,0.0683967557488116,0.87120121717453,0.0003,1280,-2.775359249475102
448.88,15974400,953,130,16751,1620.0659,0.2,0.023568027,0.2526114908854167,-0.006251136589417001,0.026481319218873978,0.07232591835481192,0.8847431838512421,0.0003,1290,-2.7393459946413836
450.0,16097280,953,131,16878,1593.7568,0.2,0.023610422,0.25246012369791665,-0.006404376092511181,0.012655036523938179,0.061692373779757566,0.8840663582086563,0.0003,1300,-2.7140657095983625
439.04,16220160,953,132,17007,1575.8291,0.2,0.023663469,0.2537459309895833,-0.006359823191639104,0.03015829622745514,0.06932338088493756,0.8606916517019272,0.0003,1310,-2.690936024201413
439.94,16343040,953,133,17142,1590.6421,0.2,0.023581494,0.25594156901041665,-0.00601578976230788,0.06139836460351944,0.06777116320008644,0.8742399513721466,0.0003,1320,-2.6983377760772904
445.52,16465920,953,134,17270,1630.0402,0.2,0.024408353,0.25835611979166667,-0.006715183368348031,0.023645954206585884,0.06849056696208815,0.8698533028364182,0.0003,1330,-2.69473525326699
444.86,16588800,953,135,17400,1633.8258,0.2,0.024627578,0.2589851888020833,-0.006236914410007254,0.027486756443977356,0.07655478931822775,0.852671816945076,0.0003,1340,-2.7058780350908638
448.86,16711680,953,136,17527,1634.6392,0.2,0.02475313,0.26255452473958335,-0.006207898535649292,0.04792969673871994,0.07536339186510305,0.8425502181053162,0.0003,1350,-2.6926672549173234
443.72,16834560,953,137,17656,1620.1929,0.2,0.024596302,0.2580257161458333,-0.006400972683622968,0.014354158192873001,0.07330707174318377,0.8570678681135178,0.0003,1360,-2.6876239185159405
444.16,16957440,953,138,17783,1635.5934,0.2,0.024296148,0.25979410807291664,-0.0063527228523950425,0.012650566175580025,0.0762790762798977,0.8577103167772293,0.0003,1370,-2.669266554415226
448.88,17080320,953,139,17911,1646.8337,0.2,0.024649424,0.2586971028645833,-0.006529598743927636,0.018552033230662346,0.07049754287033769,0.8649414479732513,0.0003,1380,-2.6549553551524876
445.54,17203200,953,140,18039,1612.851,0.2,0.02466795,0.2566251627604167,-0.006906495077340272,-0.0020685968920588493,0.06773994679645208,0.8734990805387497,0.0003,1390,-2.6412207821632423
438.3,17326080,953,141,18165,1597.7712,0.2,0.024253061,0.255009765625,-0.006003829791364599,0.006513770669698715,0.06324775777791122,0.8814596608281136,0.0003,1400,-2.6297942333295943
445.96,17448960,953,142,18297,1638.225,0.2,0.024128562,0.25262858072916666,-0.005710701801150814,0.026932653039693832,0.07095690264444178,0.8768838346004486,0.0003,1410,-2.585761746019125
