time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/entropy_loss,train/learning_rate,train/clip_fraction,train/clip_range,train/approx_kl,train/value_loss,train/loss,train/n_updates,train/policy_gradient_loss,train/explained_variance
6437,1,19,450.0,122880,674.0332,,,,,,,,,,
1439,2,170,437.84,245760,682.8939,-4.271009042238195,0.0003,0.061481119791666664,0.2,0.009216655,0.21452879469735003,0.04617226868867874,10,-0.005146999827726783,0.05507749319076538
1141,3,322,450.0,368640,730.2936,-4.259706359480818,0.0003,0.14236653645833333,0.2,0.014727605,0.0498505116267188,-0.013185827061533928,20,-0.015246008184300688,0.4929209351539612
1042,4,471,450.0,491520,763.9775,-4.2413333752503,0.0003,0.2032470703125,0.2,0.018655546,0.05068000047734434,-0.04130106419324875,30,-0.020824633881705572,0.6507273614406586
989,5,620,450.0,614400,798.6195,-4.222725201969346,0.0003,0.2453955078125,0.2,0.022552276,0.05795722311493592,0.004081429913640022,40,-0.0227927602527537,0.67954421043396
955,6,771,450.0,737280,811.3982,-4.201610885138313,0.0003,0.2811531575520833,0.2,0.02631238,0.05935148947823715,-0.03204766660928726,50,-0.024609724229206525,0.6549288928508759
895,7,960,446.7,860160,831.4247,-4.180999656071266,0.0003,0.30475016276041667,0.2,0.029418357,0.06455952211845821,-0.025725387036800385,60,-0.02476824014961797,0.6175610423088074
855,8,1149,444.9,983040,862.0733,-4.164171122511228,0.0003,0.3249169921875,0.2,0.032244917,0.0637667098355208,0.004376403987407684,70,-0.024966271579954385,0.6104221642017365
849,9,1302,450.0,1105920,946.32,-4.139445598920187,0.0003,0.34819091796875,0.2,0.03552637,0.06798000208378653,-0.026537161320447922,80,-0.024977676047104373,0.6380428075790405
843,10,1457,442.62,1228800,911.9509,-4.117138863404592,0.0003,0.35943196614583334,0.2,0.038129687,0.0697418109853364,-0.0031210482120513916,90,-0.024618764173756063,0.6084494888782501
