rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/clip_fraction,train/learning_rate,train/explained_variance,train/entropy_loss,train/loss,train/n_updates,train/clip_range,train/policy_gradient_loss,train/value_loss,train/approx_kl
691.91876,122880,6535,445.9,18,1,,,,,,,,,,
727.7889,245760,1686,445.14,145,2,0.07556559244791666,0.0003,-0.09835159778594971,-4.2702832618355755,-0.008947664871811867,10,0.2,-0.006325870615255553,0.251331101564477,0.009215512
738.0597,368640,1359,450.0,271,3,0.09925048828125,0.0003,0.5395293533802032,-4.261607799505194,0.01119249314069748,20,0.2,-0.009629852486717331,0.059174483877820115,0.010125155
784.5044,491520,1237,450.0,397,4,0.12273356119791666,0.0003,0.655004233121872,-4.248726791565617,0.032053254544734955,30,0.2,-0.011184745068221673,0.06211782063677674,0.011205644
784.5048,614400,1176,443.96,522,5,0.13470621744791667,0.0003,0.6610860526561737,-4.235884037936727,0.0010689720511436462,40,0.2,-0.011340031036822134,0.07880244833766482,0.011942432
831.27203,737280,1139,443.22,646,6,0.15214192708333332,0.0003,0.6392331123352051,-4.219238857353727,0.0037175752222537994,50,0.2,-0.011439879176141404,0.08882736208965071,0.0131276
850.98065,860160,1114,442.1,771,7,0.158330078125,0.0003,0.6565708816051483,-4.205398229956627,0.0017564110457897186,60,0.2,-0.011872017233993877,0.09706145555654075,0.013678407
867.6619,983040,1070,444.44,918,8,0.16703043619791666,0.0003,0.6966917812824249,-4.188786732430259,-0.02365861088037491,70,0.2,-0.011511265656311782,0.10412282094844462,0.014517481
952.1467,1105920,1061,444.18,1042,9,0.17723225911458335,0.0003,0.7134311497211456,-4.173526338413358,0.047585442662239075,80,0.2,-0.011571500570498756,0.1030198165178687,0.014936735
999.5934,1228800,1053,450.0,1166,10,0.18456868489583333,0.0003,0.6637652516365051,-4.15749445065856,-0.0021822787821292877,90,0.2,-0.011382587812998585,0.11853558765530275,0.016062103
971.1757,1351680,1045,428.08,1292,11,0.19184733072916665,0.0003,0.6630510687828064,-4.145079036429524,0.06506545096635818,100,0.2,-0.011422068637342212,0.13864421589513465,0.016836949
1038.7133,1474560,1039,443.46,1418,12,0.19809814453125,0.0003,0.6276276409626007,-4.128830178330342,0.029883265495300293,110,0.2,-0.010941368733086468,0.13517667802264138,0.017039267
1035.5172,1597440,1033,424.28,1545,13,0.19438069661458332,0.0003,0.6659616529941559,-4.120549829478065,0.057388897985219955,120,0.2,-0.01081112247617663,0.131135929741237,0.016770149
1037.009,1720320,1029,427.62,1670,14,0.19862955729166668,0.0003,0.7271043360233307,-4.110034989664952,0.014544995501637459,130,0.2,-0.010709880527198644,0.13461208508369357,0.017156005
1136.8179,1843200,1025,444.54,1797,15,0.20327392578125,0.0003,0.74737948179245,-4.088401855838796,0.005911149084568024,140,0.2,-0.010385584651745982,0.1374352011367834,0.017891804
1153.0613,1966080,1018,442.08,1930,16,0.20922200520833334,0.0003,0.7452576756477356,-4.071891707504789,0.04146416112780571,150,0.2,-0.010595438567925157,0.12951459984954758,0.018280897
1186.6898,2088960,1016,443.78,2055,17,0.20798177083333333,0.0003,0.7922504991292953,-4.057971989276509,0.09209120273590088,160,0.2,-0.010226627615741866,0.10964231181996487,0.018351309
1180.0029,2211840,1014,442.34,2180,18,0.20949381510416668,0.0003,0.7505575865507126,-4.042706219380101,-0.010918565094470978,170,0.2,-0.009874671894625256,0.11547986339050112,0.018608646
1169.7091,2334720,1011,442.2,2307,19,0.22328776041666668,0.0003,0.7794823795557022,-4.023782834286491,0.0032155942171812057,180,0.2,-0.01030308071788871,0.12154548818070907,0.019609936
1195.1171,2457600,1009,433.38,2434,20,0.22204182942708334,0.0003,0.808429479598999,-4.012826406508684,0.0633896142244339,190,0.2,-0.010426063229454788,0.11033270461087037,0.019999536
1191.295,2580480,1007,440.88,2560,21,0.22243570963541667,0.0003,0.8266041576862335,-3.9964385698363185,0.03339038044214249,200,0.2,-0.009849099946401717,0.10346352201129776,0.019769711
1175.1821,2703360,1005,432.84,2687,22,0.22591878255208334,0.0003,0.8151583075523376,-3.990701819869379,0.00485871359705925,210,0.2,-0.009538451306325442,0.1233604710373523,0.020345863
1223.5122,2826240,1004,435.14,2812,23,0.22488850911458333,0.0003,0.8320622742176056,-3.9828092902277907,-0.012031666934490204,220,0.2,-0.009192108105204776,0.11442559270178511,0.020293213
1255.9137,2949120,1002,437.84,2941,24,0.22789632161458334,0.0003,0.820067822933197,-3.9723863264794153,0.03319066762924194,230,0.2,-0.009679197309809146,0.1081777934267302,0.020716818
1254.1466,3072000,1001,443.98,3067,25,0.23149739583333334,0.0003,0.831041544675827,-3.966318986217181,0.009558010846376419,240,0.2,-0.009488593405403662,0.10497017192605805,0.021286374
1236.3862,3194880,999,440.98,3195,26,0.23544677734375,0.0003,0.8246091902256012,-3.938216845144828,0.11730929464101791,250,0.2,-0.009376066018200315,0.10888230075623141,0.021690998
1301.3037,3317760,999,448.42,3320,27,0.23389811197916666,0.0003,0.801775798201561,-3.9254375656694176,0.04408339411020279,260,0.2,-0.009113994039144018,0.10850211203554257,0.021657256
1277.1558,3440640,997,441.08,3449,28,0.23719889322916668,0.0003,0.8157124370336533,-3.906522585302591,0.05648643150925636,270,0.2,-0.008897461275658618,0.11637277913367143,0.021613486
1280.3368,3563520,996,443.1,3575,29,0.23649739583333335,0.0003,0.8271468281745911,-3.9026520822818083,0.011647935956716537,280,0.2,-0.009013476728299186,0.10280583586446786,0.02193903
