rollout/ep_len_mean,time/total_timesteps,time/fps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/clip_range,train/approx_kl,train/loss,train/explained_variance,train/n_updates,train/entropy_loss,train/clip_fraction
445.12,2580480,995,21,1199.177,2592,-0.010256668100258442,0.0003,0.1295421636024063,0.2,0.019498533,0.02261168509721756,0.7054601907730103,200,-4.016617146333059,0.21914388020833334
436.74,2703360,993,22,1159.1714,2722,-0.010539959576150674,0.0003,0.13304793550516478,0.2,0.019921461,0.013261917978525162,0.7717813402414322,210,-4.004345047920943,0.22100016276041667
437.56,2826240,992,23,1169.8633,2847,-0.009421394965975195,0.0003,0.14531769668741618,0.2,0.020125557,0.059225209057331085,0.7667848020792007,220,-3.9881028908118608,0.22583170572916667
446.68,2949120,992,24,1211.042,2972,-0.009970512517732762,0.0003,0.14534921886098648,0.2,0.020866621,0.1536882072687149,0.8007699102163315,230,-3.9667851838345327,0.23029134114583333
434.1,3072000,991,25,1199.9595,3097,-0.009463639636463388,0.0003,0.1367282798460413,0.2,0.020834811,0.003494502976536751,0.7483850717544556,240,-3.955091824494302,0.23032552083333332
439.56,3194880,989,26,1231.2943,3227,-0.009774157503579772,0.0003,0.15044425919409454,0.2,0.021192193,0.10017888247966766,0.7645639628171921,250,-3.9312541655078532,0.23354248046875
413.16,3317760,989,27,1146.0948,3352,-0.009306507224185528,0.0003,0.1292650938538524,0.2,0.021100141,0.05909232050180435,0.7840583175420761,260,-3.9121647294486563,0.23264241536458333
432.44,3440640,988,28,1247.7676,3479,-0.008703152965869473,0.0003,0.14665232085225094,0.2,0.021306925,0.01397240161895752,0.8022053390741348,270,-3.904174214887122,0.23660319010416667
441.72,3563520,988,29,1269.3951,3603,-0.009335420639320849,0.0003,0.13346503390959696,0.2,0.02164929,0.011813826858997345,0.8455749452114105,280,-3.8967412899186216,0.23782877604166666
440.3,3686400,988,30,1255.1869,3728,-0.009093337612430332,0.0003,0.10788164790748851,0.2,0.021255227,-0.0021557267755270004,0.8072374016046524,290,-3.8766187877828875,0.23344889322916668
443.58,3809280,981,31,1287.3962,3880,-0.009696329944393558,0.0003,0.11729462487293252,0.2,0.02184063,0.015397291630506516,0.8521272838115692,300,-3.8699519025782743,0.24097574869791666
436.82,3932160,979,32,1250.4906,4012,-0.008551487430231645,0.0003,0.13405835814463596,0.2,0.022090016,0.0887027233839035,0.8189076632261276,310,-3.8537475894143185,0.23969889322916665
438.38,4055040,980,33,1267.3197,4136,-0.009307301112197214,0.0003,0.11175706938888955,0.2,0.023012184,0.005826510488986969,0.8199797868728638,320,-3.834406311015288,0.24503173828125
426.68,4177920,980,34,1254.0857,4261,-0.009263006742988486,0.0003,0.11871631215704838,0.2,0.023093184,-0.0037329308688640594,0.8331374377012253,330,-3.8294906278823815,0.24252848307291666
426.64,4300800,979,35,1232.0167,4388,-0.00959295055800491,0.0003,0.11069143214718982,0.2,0.023170566,0.023058120161294937,0.8290129750967026,340,-3.818986977847914,0.24472900390625
440.54,4423680,979,36,1298.9257,4515,-0.008563479166623438,0.0003,0.12358355696138461,0.2,0.022933263,0.04249722510576248,0.8570881336927414,350,-3.813320077980558,0.24728597005208333
429.0,4546560,978,37,1281.8328,4645,-0.008393272119610629,0.0003,0.13165870063879992,0.2,0.023600351,0.017674248665571213,0.8077215701341629,360,-3.7997091383238635,0.24837727864583334
441.04,4669440,978,38,1324.9198,4771,-0.008479976340537784,0.0003,0.12415664518766183,0.2,0.022514556,0.015677761286497116,0.8312501758337021,370,-3.7843014513825377,0.24673502604166667
440.12,4792320,978,39,1323.0033,4898,-0.00867589591865908,0.0003,0.1287164860482638,0.2,0.023373451,0.037781331688165665,0.823834165930748,380,-3.792478904935221,0.24856201171875
433.46,4915200,978,40,1305.7059,5023,-0.008431589098903108,0.0003,0.11497065085258025,0.2,0.023327935,0.01109234243631363,0.8260830193758011,390,-3.771134918021659,0.24889892578125
