time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/n_updates,train/loss,train/value_loss,train/learning_rate,train/approx_kl,train/entropy_loss,train/explained_variance
16952,84,1326.8792,389.73333333333335,10321920,608,-0.0015421123837374277,0.3282194010416667,0.2,6430,0.0008432301692664623,0.0468758285950283,0.0002,0.13226108,-1.1478510210725168,0.8847315385937691
17152,85,1203.2001,394.3333333333333,10444800,608,-0.0039354527839471605,0.33030110677083335,0.2,6440,-0.035123612731695175,0.04739615731007689,0.0002,0.1307057,-1.1535012988032152,0.8760581314563751
17350,86,1246.0214,358.4,10567680,609,-0.00266253632330366,0.32250244140625,0.2,6450,0.0303314421325922,0.05100231382449541,0.0002,0.12889479,-1.170945161289225,0.8503943383693695
17549,87,1233.4009,384.4,10690560,609,-0.0036856071118472754,0.3331884765625,0.2,6460,-0.028295405209064484,0.05240032426581517,0.0002,0.13472162,-1.159413578581686,0.8841386586427689
17759,88,1281.2528,417.53333333333336,10813440,608,-0.0042931115203282385,0.32602864583333335,0.2,6470,-0.02725117653608322,0.04480223253766174,0.0002,0.13305148,-1.1597193356944868,0.877617135643959
17957,89,1485.1505,450.0,10936320,609,-0.0032412463497242545,0.32427815755208333,0.2,6480,-0.011311342939734459,0.03957266638462291,0.0002,0.13330513,-1.1691159253008663,0.8540515601634979
18158,90,979.91833,279.8666666666667,11059200,609,-0.0037252183722739575,0.32777099609375,0.2,6490,-0.02050936035811901,0.02783954833692102,0.0002,0.1287107,-1.13478362060152,0.8692815005779266
18358,91,1267.5457,393.4,11182080,609,-0.0030648479367800974,0.32523681640625,0.2,6500,-0.00911281630396843,0.03969557075849176,0.0002,0.12560672,-1.1623836465304096,0.8835831433534622
18557,92,1406.5233,420.73333333333335,11304960,609,-0.0040089949947468995,0.31355143229166665,0.2,6510,-0.00648261234164238,0.03767549160102286,0.0002,0.116585426,-1.2016974303529908,0.9025908410549164
18758,93,1405.1941,396.53333333333336,11427840,609,-0.004107751702902836,0.3271728515625,0.2,6520,-0.019558347761631012,0.04620816238720181,0.0002,0.12693465,-1.1559561947453767,0.8707858771085739
18961,94,1403.9812,406.46666666666664,11550720,609,-0.004065521993890494,0.322314453125,0.2,6530,-0.0016885539516806602,0.0416518267314738,0.0002,0.12305668,-1.1669589717096338,0.873495951294899
19161,95,1107.3743,381.4,11673600,609,-0.0036898880787278663,0.31613850911458335,0.2,6540,-0.03190673515200615,0.03442407577129264,0.0002,0.12320427,-1.182684324995304,0.8609316945075989
19362,96,1334.933,408.3333333333333,11796480,609,-0.0019610239361554705,0.32266682942708336,0.2,6550,0.016256432980298996,0.04022955936220114,0.0002,0.123103075,-1.1577095780490587,0.8715238273143768
19561,97,1196.139,348.4,11919360,609,-0.0033743990084182467,0.3241650390625,0.2,6560,-0.01841765083372593,0.04293165972990664,0.0002,0.12932591,-1.1623774132567148,0.8638564646244049
19761,98,1088.2262,338.46666666666664,12042240,609,-0.003643092566053383,0.3179931640625,0.2,6570,-0.024613335728645325,0.057313400554618664,0.0002,0.12767722,-1.1911634640675037,0.8396691828966141
19962,99,1263.992,392.73333333333335,12165120,609,-0.003005436910698336,0.3154988606770833,0.2,6580,-0.0024065100587904453,0.0410849308095006,0.0002,0.12622817,-1.1896152414847165,0.8497534394264221
20163,100,1131.0906,382.53333333333336,12288000,609,-0.0035921860766120516,0.31753987630208336,0.2,6590,-0.0006230957806110382,0.024026696178101097,0.0002,0.11962606,-1.1767099341222396,0.8811761811375618
20365,101,1221.4464,366.93333333333334,12410880,609,-0.0037481942206795795,0.3094986979166667,0.2,6600,-0.028368422761559486,0.03542491447528846,0.0002,0.11834599,-1.1834324447655429,0.874060794711113
20565,102,1311.4329,421.1333333333333,12533760,609,-0.003829257599427365,0.3118587239583333,0.2,6610,-0.022311527281999588,0.03387670797041513,0.0002,0.12027736,-1.1739871799945831,0.8963577523827553
