time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,train/learning_rate,train/loss,train/explained_variance,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/value_loss,train/clip_range,train/approx_kl,train/entropy_loss
3317760,428.8,1611.327,714,27,4641,0.0002,0.061364613473415375,0.7057563364505768,0.429501953125,2190,-0.006701570715225292,0.12251455916838798,0.2,0.1477951,-1.2287146546381216
3440640,437.2,1614.2065,714,28,4818,0.0002,0.021685488522052765,0.6904139220714569,0.43256184895833333,2200,-0.007685012878531173,0.13488156038937935,0.2,0.15308733,-1.2158974367783715
3563520,422.8,1591.992,712,29,4999,0.0002,0.006825298070907593,0.6858523488044739,0.4296720377604167,2210,-0.007562591142529224,0.12988440008892213,0.2,0.14926879,-1.2368805787960688
3686400,408.93333333333334,1513.375,711,30,5178,0.0002,0.03519802168011665,0.6981715559959412,0.42606201171875,2220,-0.0062879586813627,0.13704132230350902,0.2,0.15889591,-1.1842037382566681
3809280,361.73333333333335,1336.1246,711,31,5356,0.0002,-0.0168447382748127,0.7044888138771057,0.42938720703125,2230,-0.0069858422584608585,0.13173063468935045,0.2,0.1559877,-1.2038676957351466
3932160,397.8,1491.0172,710,32,5532,0.0002,0.18631377816200256,0.6835980117321014,0.42911946614583335,2240,-0.006895584748308465,0.13937333612557268,0.2,0.15103391,-1.2348057851350556
4055040,387.73333333333335,1454.3276,710,33,5706,0.0002,-0.013057008385658264,0.6945251226425171,0.43016194661458335,2250,-0.008397527558572619,0.1377593484069803,0.2,0.14941381,-1.2557832677507152
4177920,378.0,1417.2301,710,34,5882,0.0002,0.1398295760154724,0.7029201984405518,0.4271875,2260,-0.007242214592794578,0.13273788922010377,0.2,0.149967,-1.2160578916935871
4300800,420.8666666666667,1566.8906,709,35,6058,0.0002,-0.018210431560873985,0.6689736545085907,0.4305086263020833,2270,-0.0069633706801748,0.13994536782207434,0.2,0.15263398,-1.187843731685231
4423680,382.06666666666666,1418.7034,709,36,6234,0.0002,0.02850695699453354,0.6831558048725128,0.42947265625,2280,-0.007477857299406121,0.1339089660299942,0.2,0.1512812,-1.223759761924545
4546560,393.8,1425.0603,709,37,6409,0.0002,-4.5126304030418396e-05,0.716723620891571,0.42773600260416667,2290,-0.006907214217784106,0.12631464917600776,0.2,0.15523481,-1.2217800792958586
4669440,445.4,1661.9993,709,38,6584,0.0002,-0.030112743377685547,0.6877572536468506,0.4256315104166667,2300,-0.007086004154874293,0.13657335997132275,0.2,0.1566306,-1.2130351002141833
4792320,371.26666666666665,1385.5487,708,39,6761,0.0002,0.0599660687148571,0.6794233918190002,0.4287890625,2310,-0.006850739916553721,0.14464816819284654,0.2,0.15197767,-1.190792976922045
4915200,386.06666666666666,1450.6995,708,40,6937,0.0002,0.025916296988725662,0.6969447135925293,0.42922770182291664,2320,-0.007308914170286395,0.141619419939816,0.2,0.15761761,-1.2006794811195383
5038080,372.1333333333333,1409.2771,708,41,7113,0.0002,0.047518838196992874,0.7239645719528198,0.42598063151041665,2330,-0.007056516064906948,0.1309847600289504,0.2,0.15060641,-1.1834836868941785
5160960,405.8666666666667,1531.0433,707,42,7290,0.0002,0.02253037877380848,0.704362154006958,0.42449788411458333,2340,-0.008359047241501685,0.14230878196200744,0.2,0.15065774,-1.2075132260750978
5283840,410.46666666666664,1506.7872,707,43,7466,0.0002,0.05009406432509422,0.6934990286827087,0.42406087239583334,2350,-0.007011822995439919,0.13894735678719977,0.2,0.15276745,-1.1955845761547486
5406720,381.2,1435.3058,707,44,7643,0.0002,-0.015136785805225372,0.691712498664856,0.4250667317708333,2360,-0.007433340247007436,0.13485817798267818,0.2,0.15084356,-1.187894230717793
5529600,404.4,1500.3567,706,45,7821,0.0002,0.05292288959026337,0.7021961808204651,0.42365152994791666,2370,-0.006775874850476005,0.12854678394563962,0.2,0.151009,-1.1751594382834931
5652480,389.4,1435.3906,706,46,7999,0.0002,0.003098532557487488,0.6866157650947571,0.42389811197916666,2380,-0.008128389422987917,0.14148779710124168,0.2,0.15376636,-1.1769111693960925
5775360,408.6666666666667,1506.9642,706,47,8174,0.0002,0.002456873655319214,0.7060982584953308,0.4285986328125,2390,-0.0067941191512424365,0.13441710000295037,0.2,0.15574439,-1.1868648898756753
5898240,374.2,1430.9016,706,48,8352,0.0002,0.03783658519387245,0.676080733537674,0.42219482421875,2400,-0.007505397575635773,0.137063298895373,0.2,0.15213162,-1.1690981792813788
6021120,281.46666666666664,1073.9698,705,49,8528,0.0002,0.11273112893104553,0.6988145112991333,0.4208146158854167,2410,-0.007662937905982593,0.13556472207196446,0.2,0.1499519,-1.188122685138757
6144000,427.3333333333333,1573.0566,705,50,8703,0.0002,0.00659923255443573,0.6993300020694733,0.42089111328125,2420,-0.007797125513861829,0.13355482366023352,0.2,0.15134948,-1.164374237510686
6266880,401.3333333333333,1457.4236,705,51,8878,0.0002,0.006423640996217728,0.6908143162727356,0.4250284830729167,2430,-0.007557637827279299,0.14105361402209382,0.2,0.15902407,-1.1544342177826912
6389760,412.2,1529.4844,705,52,9057,0.0002,0.06052635610103607,0.6915101110935211,0.42126708984375,2440,-0.007827626927828533,0.1328592648632669,0.2,0.15014206,-1.170736642923827
6512640,400.46666666666664,1515.018,705,53,9235,0.0002,0.016632821410894394,0.6713690757751465,0.4249698893229167,2450,-0.007245323631796054,0.1455919888286735,0.2,0.15822223,-1.1489434907771647
6635520,420.93333333333334,1547.7156,705,54,9412,0.0002,0.013827912509441376,0.6846986413002014,0.4206290690104167,2460,-0.0077142670262946925,0.14299423226000121,0.2,0.15797496,-1.1544023054589827
6758400,406.0,1496.5316,704,55,9590,0.0002,0.028352390974760056,0.6846901178359985,0.42165283203125,2470,-0.007377784635057954,0.1346698409463473,0.2,0.15715666,-1.1512205622841913
6881280,370.46666666666664,1410.976,704,56,9768,0.0002,0.023418640717864037,0.6889819800853729,0.41806396484375,2480,-0.007406104182870574,0.1435494338715216,0.2,0.152177,-1.153899888470769
7004160,418.2,1548.6686,704,57,9946,0.0002,0.14978769421577454,0.664537250995636,0.42217447916666667,2490,-0.007941066261431236,0.14592479132756125,0.2,0.16759533,-1.1326573455364755
7127040,337.6,1277.5511,703,58,10124,0.0002,0.01449199765920639,0.683421790599823,0.41723307291666667,2500,-0.006422086968480774,0.140479546377901,0.2,0.15836386,-1.141939230536421
7249920,342.93333333333334,1317.3379,701,59,10337,0.0002,0.02363673225045204,0.707750678062439,0.4175333658854167,2510,-0.007862760543545544,0.13205618343907796,0.2,0.15398677,-1.1453202638123186
