time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,time/time_elapsed,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/loss,train/policy_gradient_loss,train/n_updates,train/explained_variance
607,431.8,1675.9556,91,11182080,18417,0.0877959391849193,0.0002,-0.7141588068567216,0.2,0.09575498,0.23336507161458334,0.025648124516010284,-0.005552093087941709,10170,0.841880738735199
607,397.6,1530.3151,92,11304960,18622,0.07953963262106602,0.0002,-0.7150704419364532,0.2,0.0913128,0.23472574869791665,-0.011534644290804863,-0.0062834892872888305,10180,0.8674682676792145
606,349.06666666666666,1396.9445,93,11427840,18829,0.07546482013361432,0.0002,-0.7148185680822159,0.2,0.09320743,0.23058024088541668,0.01508032064884901,-0.007243683821961895,10190,0.8833093792200089
606,397.6666666666667,1543.8296,94,11550720,19036,0.09127898531873749,0.0002,-0.7060763547771299,0.2,0.08974584,0.23098876953125,-0.00413754116743803,-0.005773085328734548,10200,0.8606676757335663
605,367.6666666666667,1425.1036,95,11673600,19276,0.08918754457685281,0.0002,-0.7108501778698216,0.2,0.09095268,0.22865966796875,-0.011100240983068943,-0.005587443093057421,10210,0.8494730889797211
605,396.93333333333334,1528.3301,96,11796480,19482,0.09305808765517819,0.0002,-0.7018723822198808,0.2,0.095138066,0.23355875651041666,0.029967037960886955,-0.005308350843370136,10220,0.8619590699672699
605,408.06666666666666,1588.3865,97,11919360,19688,0.07732688740201411,0.0002,-0.7095059516715506,0.2,0.0925451,0.23131184895833334,0.05959919095039368,-0.006615747517771524,10230,0.8666242510080338
605,420.0,1615.6,98,12042240,19891,0.09095240895471458,0.0002,-0.6974576733618354,0.2,0.09632259,0.23307942708333335,0.009463999420404434,-0.00565027773270837,10240,0.8613522052764893
605,410.4,1615.0625,99,12165120,20098,0.09002048706422405,0.0002,-0.7003857167360062,0.2,0.1121387,0.23392252604166666,-0.003780599683523178,-0.005900754253325431,10250,0.8620177507400513
605,386.6,1530.1829,100,12288000,20302,0.08173752232512925,0.0002,-0.7043668726831674,0.2,0.09327836,0.23076904296875,0.05429857224225998,-0.005730138697357082,10260,0.8743383437395096
605,411.06666666666666,1617.6953,101,12410880,20507,0.07076635705651521,0.0002,-0.7062380956563478,0.2,0.08859868,0.2297119140625,0.023256132379174232,-0.006230542722281219,10270,0.864324614405632
605,428.4,1675.3438,102,12533760,20712,0.08499937080402258,0.0002,-0.7013797939894721,0.2,0.09052285,0.23277018229166666,0.015187905170023441,-0.005467775396367263,10280,0.872791662812233
605,406.0,1600.7124,103,12656640,20917,0.07264155825958975,0.0002,-0.7166817336389795,0.2,0.091830336,0.23225016276041666,0.029018040746450424,-0.005433929599791251,10290,0.8574690520763397
605,367.73333333333335,1457.1339,104,12779520,21119,0.07263752125940906,0.0002,-0.7246398845097671,0.2,0.0904588,0.23020263671875,0.018732689321041107,-0.006021218137484539,10300,0.8644860237836838
605,373.8666666666667,1478.9276,105,12902400,21325,0.08810481718159281,0.0002,-0.7188489917401846,0.2,0.09439591,0.23347574869791668,0.013099666684865952,-0.004959197810045832,10310,0.8988510146737099
604,374.6666666666667,1485.4445,106,13025280,21529,0.0888848265621588,0.0002,-0.7260149530352403,0.2,0.08950437,0.231455078125,0.015565551817417145,-0.006364343295275224,10320,0.8843270018696785
604,408.46666666666664,1581.7329,107,13148160,21735,0.09457835462274185,0.0002,-0.7124791760308047,0.2,0.09670585,0.23232096354166668,0.039396733045578,-0.0051684071060238545,10330,0.8927279338240623
604,427.4,1641.2743,108,13271040,21938,1.9324167242166974,0.0002,-0.7112510308995843,0.2,0.091863506,0.22843343098958332,0.05045713856816292,-0.005127303984463652,10340,-0.8151954412460327
604,449.3333333333333,1731.598,109,13393920,22141,0.0842842985617123,0.0002,-0.7247953591573363,0.2,0.100663766,0.23539794921875,0.02658522129058838,-0.004644317698409092,10350,0.8314603418111801
604,423.8666666666667,1745.2557,110,13516800,22346,0.07852199296151714,0.0002,-0.7307451789717501,0.2,0.10172174,0.24085367838541666,0.005199529230594635,-0.005154339920924637,10360,0.8622990250587463
604,424.53333333333336,1686.914,111,13639680,22551,0.08854133255546913,0.0002,-0.7210237286395083,0.2,0.09244592,0.23217936197916667,0.028639134019613266,-0.004563262598752165,10370,0.8584508299827576
