time/total_timesteps,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/approx_kl,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/entropy_loss,train/value_loss,train/loss,train/clip_range
16875520,301,56012,103,1023.20276,450.0,0.0,0.0,0.9418837875127792,-1.7242768990399782e-10,1020,0.0003,-2.7953532835946963e-10,0.06436702970336683,0.014239152893424034,0.2
17039360,301,56549,104,887.67596,450.0,0.0,0.0,0.9503806419670582,1.3694034350919537e-10,1030,0.0003,-3.116207031883555e-10,0.056149495895106157,0.08573855459690094,0.2
17203200,301,57091,105,977.59717,450.0,0.0,0.0,0.9453253708779812,-1.3955627764516975e-11,1040,0.0003,-2.5383162518912197e-10,0.05906310202625264,0.05877502262592316,0.2
17367040,301,57620,106,1023.3346,450.0,0.0,0.0,0.9516063369810581,-1.2139196314819857e-10,1050,0.0003,-2.6400001904133743e-10,0.05054130531026203,0.004162223543971777,0.2
17530880,301,58160,107,868.1971,450.0,0.0,0.0,0.9396859221160412,1.7819957065512427e-10,1060,0.0003,-3.0368381151088793e-10,0.06704982700159234,0.03867524862289429,0.2
17694720,301,58689,108,936.0411,450.0,0.0,0.0,0.9597050845623016,4.6385366658796555e-11,1070,0.0003,-2.38771117861249e-10,0.041845761410049816,0.037101179361343384,0.2
17858560,301,59225,109,935.12866,450.0,0.0,0.0,0.9429783560335636,-9.312088877777569e-12,1080,0.0003,-2.568152075900368e-10,0.062484782034835006,0.01891520619392395,0.2
18022400,301,59761,110,999.53314,450.0,0.0,0.0,0.9420757703483105,-1.6624824183963938e-10,1090,0.0003,-2.7200922071615034e-10,0.06380905739302761,0.03292864188551903,0.2
18186240,301,60301,111,1026.6215,450.0,0.0,0.0,0.9542146287858486,1.3134922483004628e-10,1100,0.0003,-2.3688753194651186e-10,0.046537365673129896,0.01079068798571825,0.2
18350080,301,60833,112,1068.1594,450.0,0.0,0.0,0.9435588233172894,-4.996081770514138e-11,1110,0.0003,-2.447787685717039e-10,0.058372746772961365,0.004430641420185566,0.2
18513920,301,61361,113,1001.9908,450.0,0.0,0.0,0.9561346508562565,-2.482488525856752e-10,1120,0.0003,-2.342492315519798e-10,0.04617152468661743,0.05143243446946144,0.2
18677760,301,61900,114,1002.89575,450.0,0.0,0.0,0.9437595754861832,-4.1985686038970016e-11,1130,0.0003,-2.4941876583262903e-10,0.06352559197413483,0.04482155293226242,0.2
18841600,301,62437,115,889.44385,450.0,0.0,0.0,0.9543002545833588,5.3430539992405104e-11,1140,0.0003,-2.428816487225227e-10,0.0491197907319156,0.04115660488605499,0.2
19005440,301,62978,116,890.9447,450.0,0.0,0.0,0.9428842328488827,-8.341885404661298e-11,1150,0.0003,-2.335607890684849e-10,0.06280176400194705,0.04296823963522911,0.2
19169280,301,63505,117,961.3515,450.0,0.0,0.0,0.9562289640307426,1.7221282178070395e-11,1160,0.0003,-2.2179733189439384e-10,0.04653821299746596,0.07067102193832397,0.2
19333120,301,64046,118,998.79724,450.0,0.0,0.0,0.9417249448597431,3.6754954635398464e-11,1170,0.0003,-2.3731017484348314e-10,0.06573109788192597,0.022868208587169647,0.2
