time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/time_elapsed,train/value_loss,train/n_updates,train/entropy_loss,train/learning_rate,train/explained_variance,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/loss
11,450.0,1301.1989,1351680,815,1658,0.13800422646367225,390,-3.2489889106278618,0.0002,0.6744631826877594,0.2,0.058267176,-0.021449167323426083,0.4371842447916667,-0.025712745264172554
12,450.0,1328.6335,1474560,808,1824,0.12596193223134228,400,-3.1883909595261017,0.0002,0.7324636280536652,0.2,0.061929956,-0.022544870625097246,0.44139973958333334,0.040339890867471695
13,450.0,1336.8901,1597440,802,1990,0.10900569331934093,410,-3.188181569315493,0.0002,0.7604532092809677,0.2,0.0642042,-0.022481240341136677,0.44046223958333336,0.022958289831876755
14,450.0,1351.2084,1720320,798,2153,0.1308552261023821,420,-3.1656412232046325,0.0002,0.7623834609985352,0.2,0.063190125,-0.021512087420160243,0.4425048828125,0.0017916858196258545
15,450.0,1321.1868,1843200,794,2318,0.10373467239599753,430,-3.1131814335783323,0.0002,0.7819466441869736,0.2,0.06757004,-0.02214545979260341,0.44945963541666667,-0.0024174004793167114
16,450.0,1302.5704,1966080,791,2483,0.1209954037841817,440,-3.0722469510386388,0.0002,0.7713002264499664,0.2,0.0702685,-0.021506342513633474,0.45406656901041664,-0.013449598103761673
17,444.73333333333335,1369.2019,2088960,783,2666,0.10070990479895651,450,-3.0398378259067735,0.0002,0.7940451949834824,0.2,0.071205124,-0.02204970098523821,0.4557088216145833,-0.0040247030556201935
18,425.26666666666665,1228.0762,2211840,781,2829,0.1135472987453977,460,-3.0448669006551303,0.0002,0.7596873939037323,0.2,0.07174621,-0.021321453193025565,0.45652425130208335,-0.02097671665251255
19,450.0,1387.4109,2334720,779,2996,0.09492200322492864,470,-3.029712949792544,0.0002,0.7826152443885803,0.2,0.071178116,-0.02154014419925564,0.455400390625,-0.006611012853682041
20,438.1333333333333,1324.898,2457600,777,3160,0.09601063638712125,480,-2.9923930177589257,0.0002,0.7827044278383255,0.2,0.07409929,-0.02103389617146604,0.46136149088541667,-0.0028792405501008034
21,417.3333333333333,1260.4481,2580480,775,3326,0.10368020503063842,490,-2.9523935866480073,0.0002,0.7862903922796249,0.2,0.074234806,-0.020928436571969845,0.45951416015625,0.02612246945500374
22,434.0,1341.806,2703360,773,3493,0.11266282830688093,500,-2.9732947263618312,0.0002,0.7688587158918381,0.2,0.073800035,-0.020322951469015606,0.45706624348958336,0.07320310175418854
23,450.0,1380.3131,2826240,766,3688,0.11038476297753126,510,-2.980884166633089,0.0002,0.7577389180660248,0.2,0.07234775,-0.020568328767652324,0.45547932942708336,0.10773032158613205
24,430.06666666666666,1315.5217,2949120,765,3854,0.11422007623375975,520,-2.93874741182973,0.0002,0.7632116079330444,0.2,0.074221976,-0.019908261861128266,0.45822021484375,-0.0269125048071146
25,448.0,1377.1426,3072000,764,4019,0.10139667148973483,530,-2.9217271597931784,0.0002,0.7500592172145844,0.2,0.073825866,-0.02035530922649438,0.45693359375,-0.009696746245026588
26,450.0,1350.7144,3194880,763,4183,0.09442421533827049,540,-2.8666205993667244,0.0002,0.7851642817258835,0.2,0.07904967,-0.020063319942716287,0.46534098307291666,-0.04464495927095413
27,450.0,1361.9937,3317760,762,4349,0.10106539317542532,550,-2.85814079956462,0.0002,0.7715416252613068,0.2,0.07906213,-0.02018094347946923,0.46552897135416665,0.06030610203742981
28,439.26666666666665,1342.0538,3440640,761,4515,0.09719571691845583,560,-2.807800491986175,0.0002,0.7706804424524307,0.2,0.08256202,-0.018855913798161053,0.466962890625,0.07724367827177048
29,436.53333333333336,1398.7484,3563520,760,4683,0.10182585886286688,570,-2.8278900161385536,0.0002,0.7881409227848053,0.2,0.082915336,-0.019220567512087047,0.46899739583333333,0.15354280173778534
30,450.0,1414.1024,3686400,760,4847,0.09607799315422502,580,-2.8344316202774644,0.0002,0.7619801312685013,0.2,0.08161454,-0.020097042029804772,0.46648681640625,0.01216866634786129
31,430.1333333333333,1412.2515,3809280,759,5013,0.1027057803091399,590,-2.7697237851222356,0.0002,0.7673007845878601,0.2,0.08536366,-0.018768056574608637,0.4714111328125,-0.019615482538938522
32,402.46666666666664,1297.28,3932160,759,5180,0.10619785459246486,600,-2.80007399075975,0.0002,0.7538735717535019,0.2,0.08351828,-0.018514363097644187,0.46845377604166666,0.01973123475909233
33,450.0,1495.0038,4055040,758,5346,0.10619990352070696,610,-2.741142867691815,0.0002,0.7497410178184509,0.2,0.083741255,-0.017881915645060264,0.47210205078125,-0.03096972405910492
34,450.0,1492.6057,4177920,758,5511,0.10798815023251034,620,-2.7918108747527004,0.0002,0.73054638504982,0.2,0.08032198,-0.01863175679851944,0.46728678385416667,-0.009363997727632523
35,432.3333333333333,1368.7299,4300800,757,5676,0.126817200264292,630,-2.778038325446347,0.0002,0.6857630610466003,0.2,0.08219468,-0.018311647409512563,0.47027262369791667,0.07026712596416473
36,450.0,1425.0634,4423680,757,5841,0.11980193184659584,640,-2.68706915580978,0.0002,0.7214163541793823,0.2,0.087690994,-0.01786237218386911,0.47380940755208334,-0.043117016553878784
37,450.0,1490.4979,4546560,756,6006,0.10251159581612834,650,-2.686859182305634,0.0002,0.7376770377159119,0.2,0.088251255,-0.018243575693492553,0.47680826822916667,-0.02732282504439354
38,450.0,1352.7692,4669440,756,6173,0.11244517409582235,660,-2.6667703638474145,0.0002,0.7326365411281586,0.2,0.086520396,-0.01785602554507932,0.47236328125,0.1682671308517456
39,450.0,1426.9382,4792320,755,6340,0.1021624437031763,670,-2.624208488240838,0.0002,0.7412857413291931,0.2,0.09194253,-0.01788133539066621,0.4768782552083333,0.006263323128223419
40,450.0,1382.9218,4915200,755,6506,0.09800122192231356,680,-2.601483940097193,0.0002,0.7613567560911179,0.2,0.09216313,-0.016261325710866005,0.4765218098958333,0.0685797780752182
41,399.26666666666665,1215.6992,5038080,754,6674,0.10473057663208844,690,-2.5951069996257625,0.0002,0.7397428452968597,0.2,0.094958685,-0.01708760706462878,0.47957763671875,0.014062181115150452
42,450.0,1428.5328,5160960,754,6842,0.09473054883628114,700,-2.56078134243687,0.0002,0.7836558073759079,0.2,0.097716905,-0.016069131703255454,0.4804459635416667,-0.047329582273960114
43,450.0,1384.5789,5283840,753,7008,0.10158598872944519,710,-2.555461872840921,0.0002,0.7471672594547272,0.2,0.09751257,-0.01672284978991835,0.4823103841145833,0.006741451099514961
44,436.6,1437.0962,5406720,753,7177,0.10003301781539145,720,-2.558369537355999,0.0002,0.7426415383815765,0.2,0.09800218,-0.017408649871395027,0.4792919921875,0.057027220726013184
45,450.0,1451.7582,5529600,752,7347,0.11360638977246708,730,-2.5317243134478726,0.0002,0.7373520731925964,0.2,0.095884494,-0.016604604846685713,0.48075927734375,0.04200233519077301
46,437.6,1456.493,5652480,752,7513,0.10547669689074003,740,-2.557354198998461,0.0002,0.7380442023277283,0.2,0.09569575,-0.016956704468654302,0.47718180338541666,0.07374310493469238
47,450.0,1498.6733,5775360,751,7681,0.10965669414110986,750,-2.5172317378471294,0.0002,0.732001930475235,0.2,0.09942528,-0.01632546815754419,0.4812109375,0.00903159100562334
48,433.93333333333334,1384.8131,5898240,751,7847,0.10892256475063429,760,-2.5060013391574225,0.0002,0.7491121888160706,0.2,0.09733782,-0.015677868790280627,0.47663981119791665,0.05323811620473862
49,450.0,1479.2297,6021120,751,8016,0.1106824799864747,770,-2.4763843253379068,0.0002,0.7300864458084106,0.2,0.10038904,-0.015916885515234753,0.47869466145833334,-0.0312415212392807
50,443.53333333333336,1440.1964,6144000,750,8183,0.10654103274471709,780,-2.4136471388240657,0.0002,0.7159455418586731,0.2,0.1015418,-0.015369273078928623,0.48036051432291665,-0.0020193271338939667
51,450.0,1465.1552,6266880,750,8352,0.09870782858857031,790,-2.4420158791293702,0.0002,0.7394320666790009,0.2,0.10143091,-0.015644095332469684,0.4791007486979167,0.021711193025112152
52,450.0,1447.998,6389760,750,8518,0.11076944807287267,800,-2.4545964701970417,0.0002,0.7034558355808258,0.2,0.10076931,-0.015358791821096627,0.4796907552083333,-0.02357962355017662
