time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/approx_kl,train/n_updates,train/value_loss,train/loss,train/explained_variance,train/learning_rate,train/entropy_loss,train/clip_range,train/clip_fraction,train/policy_gradient_loss
26,927,450.0,1053.6705,3445,3194880,0.011914083,1880,0.12818062506562758,0.06581570208072662,0.6114719212055206,0.0003,-2.4158384891971947,0.2,0.09649983723958333,-0.0015371042760549852
27,927,450.0,1046.4905,3577,3317760,0.0105718775,1890,0.16553668349753328,0.09317614138126373,0.4732581377029419,0.0003,-2.4082228928556044,0.2,0.10326497395833334,-0.0011945681752877136
28,927,450.0,1057.8977,3710,3440640,0.009573671,1900,0.13780842489579906,0.056261539459228516,0.5824204385280609,0.0003,-2.4218439895783863,0.2,0.10242431640625,-0.0005799930631898557
29,926,450.0,1041.0992,3844,3563520,0.009825996,1910,0.16768801622330406,0.09886191040277481,0.5449438393115997,0.0003,-2.453427360355854,0.2,0.09718994140625,-0.0004694326457987093
30,926,450.0,1058.7555,3979,3686400,0.008311553,1920,0.12969002851765254,0.017420146614313126,0.64571613073349,0.0003,-2.4151920549819867,0.2,0.0923291015625,-0.00029690716927992375
31,925,450.0,1047.0797,4113,3809280,0.009422753,1930,0.14442764971017216,0.04125392064452171,0.6068772375583649,0.0003,-2.38727639015764,0.2,0.09966552734375,-0.0007261103051314421
32,925,450.0,1054.4845,4248,3932160,0.00846378,1940,0.17515434265563576,0.049132511019706726,0.5021738409996033,0.0003,-2.3751689608643454,0.2,0.09543294270833333,-0.0003778467256294486
33,924,450.0,1032.0607,4384,4055040,0.009405428,1950,0.1295367693847705,0.044983990490436554,0.5862243175506592,0.0003,-2.3519132198020816,0.2,0.10508219401041667,-0.0009590373546658762
34,923,450.0,1029.5817,4523,4177920,0.0095613655,1960,0.17745934994120036,0.06723876297473907,0.39664632081985474,0.0003,-2.308391448756059,0.2,0.103134765625,-0.0006169668283837382
35,923,450.0,1032.3015,4657,4300800,0.0103999525,1970,0.1460871898920838,0.037270668894052505,0.45332610607147217,0.0003,-2.3434689903010923,0.2,0.10225748697916667,-0.0005791619466799602
36,923,450.0,1063.1201,4791,4423680,0.0100042755,1980,0.16125248021489824,0.08199208229780197,0.6087622344493866,0.0003,-2.4201928783456483,0.2,0.09373372395833333,-6.225863437066437e-05
37,923,450.0,1049.4417,4925,4546560,0.010010376,1990,0.12308385568251348,0.0677841305732727,0.6415704488754272,0.0003,-2.287500942200422,0.2,0.08768473307291667,-0.001565053568156145
38,922,450.0,1059.6377,5060,4669440,0.00944561,2000,0.1380993411577947,0.059412285685539246,0.6568490862846375,0.0003,-2.4239406110843023,0.2,0.08617268880208333,-0.0013889062616847998
39,922,450.0,1054.6804,5193,4792320,0.007693979,2010,0.12873804092154995,0.014642567373812199,0.6221870183944702,0.0003,-2.362496988326311,0.2,0.08938232421875,-0.00013629097020384506
40,922,450.0,1067.1687,5328,4915200,0.008892532,2020,0.16094401139659265,0.05016101151704788,0.5375689566135406,0.0003,-2.3406733438993492,0.2,0.08704264322916666,-0.0006294994465194274
41,922,450.0,1058.6442,5463,5038080,0.008203356,2030,0.17110065137288377,0.0763472393155098,0.5390765964984894,0.0003,-2.263652159223954,0.2,0.0883203125,-2.984428097382382e-05
42,921,450.0,1069.1527,5600,5160960,0.008626732,2040,0.10266905557417583,0.03234867751598358,0.7504203170537949,0.0003,-2.3135938950876396,0.2,0.09591959635416666,-0.0003125653883156095
43,921,450.0,1076.171,5734,5283840,0.011263956,2050,0.10790932838754089,0.07142861187458038,0.7981349527835846,0.0003,-2.2587043251966437,0.2,0.10079915364583333,-0.002387017357186778
44,921,450.0,1058.1891,5867,5406720,0.0113295745,2060,0.11307309069952073,0.030168786644935608,0.7486779689788818,0.0003,-2.2919598115608095,0.2,0.09575764973958334,-0.003177086341008059
45,921,450.0,1056.8302,6000,5529600,0.010369245,2070,0.15649785309127764,0.1350342035293579,0.5969376564025879,0.0003,-2.344125576491157,0.2,0.10341227213541666,-0.00162322718586438
46,919,450.0,1052.9086,6145,5652480,0.009986321,2080,0.13576483990194296,0.01284049078822136,0.680351734161377,0.0003,-2.359733706563711,0.2,0.09967854817708334,-0.0013414561062048355
47,919,450.0,1061.1434,6278,5775360,0.013289837,2090,0.14250849844436744,0.07809258252382278,0.6820977926254272,0.0003,-2.3156151836613814,0.2,0.09362141927083334,-0.003161269732330159
48,920,450.0,1073.1301,6410,5898240,0.01140831,2100,0.1320693338192359,0.0008993055671453476,0.6351621747016907,0.0003,-2.3074699601779383,0.2,0.09136067708333333,-0.0017004029957934108
49,920,450.0,1051.982,6541,6021120,0.01396556,2110,0.14320847045649618,0.13751432299613953,0.6456993222236633,0.0003,-2.2495370567714175,0.2,0.10462158203125,-0.0021510336531294647
50,920,450.0,1047.8468,6672,6144000,0.014495282,2120,0.15089656198363324,0.12582969665527344,0.6008329093456268,0.0003,-2.2902203623826307,0.2,0.101767578125,-0.0023182774025190156
51,918,450.0,1042.2175,6824,6266880,0.014004784,2130,0.13405976925193197,0.0660797730088234,0.5060266852378845,0.0003,-2.3148834829653304,0.2,0.0995361328125,-0.0020701883701864667
52,918,450.0,1053.7863,6956,6389760,0.011355354,2140,0.16761432417469527,0.04816318675875664,0.4928271174430847,0.0003,-2.302154267777999,0.2,0.09742594401041667,-0.0013231047037819128
53,918,450.0,1045.4971,7089,6512640,0.01183391,2150,0.1405275248929926,0.049067988991737366,0.6277714371681213,0.0003,-2.3337326586991547,0.2,0.09821858723958334,-0.0009855382621799435
54,918,450.0,1071.9781,7220,6635520,0.013400449,2160,0.15111015351105986,0.021024905145168304,0.6649919152259827,0.0003,-2.3674431275824706,0.2,0.10298990885416667,-0.0021614445417071694
55,919,450.0,1043.6876,7352,6758400,0.011778871,2170,0.12742837645947777,0.014311932027339935,0.6752486228942871,0.0003,-2.367126998566091,0.2,0.09549723307291667,-0.001357728863816495
56,915,450.0,1037.8997,7515,6881280,0.011660407,2180,0.15124885838963867,0.09546462446451187,0.6689586639404297,0.0003,-2.3460603936264914,0.2,0.0996435546875,-0.0014937984408910172
57,912,450.0,1078.5803,7678,7004160,0.010209083,2190,0.13449960772088768,0.061666812747716904,0.6021367311477661,0.0003,-2.3408578398451207,0.2,0.10511393229166667,-0.000845053488889486
58,912,450.0,1065.5422,7813,7127040,0.009197267,2200,0.1647918620633815,0.07493426650762558,0.6313788592815399,0.0003,-2.2651609231407446,0.2,0.09655436197916667,-0.00019178160874313714
59,912,450.0,1064.831,7948,7249920,0.0106088165,2210,0.11651190033129145,0.01304619014263153,0.7549509555101395,0.0003,-2.304939866003891,0.2,0.104287109375,-0.001248923200861706
60,912,450.0,1053.2714,8083,7372800,0.012128088,2220,0.16981874947722342,0.1739596426486969,0.6078305244445801,0.0003,-2.348176825605333,0.2,0.10025960286458334,-0.0016763903198989284
61,912,450.0,1061.6354,8218,7495680,0.01123642,2230,0.1858964850504708,0.0843760073184967,0.5924578905105591,0.0003,-2.288323155976832,0.2,0.09996256510416666,-0.0012740380248093667
62,912,450.0,1049.1135,8353,7618560,0.0114888465,2240,0.15903389072043259,0.06250037997961044,0.6575404107570648,0.0003,-2.244578479665021,0.2,0.10175374348958334,-0.0010460568192623516
63,909,450.0,1027.7798,8509,7741440,0.010243742,2250,0.19540575136396607,0.09359218180179596,0.4379880428314209,0.0003,-2.321122298911214,0.2,0.09447265625,-0.00011910229529651891
64,909,450.0,1067.6583,8643,7864320,0.018273586,2260,0.14076525308994556,0.04496253281831741,0.5936219990253448,0.0003,-2.3562002769236763,0.2,0.11174967447916667,-0.00033195931751833996
65,910,450.0,1044.3788,8776,7987200,0.01728997,2270,0.172037047061458,0.10417633503675461,0.6432704031467438,0.0003,-2.1596973337916037,0.2,0.1101025390625,-0.0006425731853293352
66,910,450.0,1056.2992,8910,8110080,0.014625114,2280,0.11411039858314326,0.11148639023303986,0.7244501411914825,0.0003,-2.225233919316282,0.2,0.1026220703125,-0.0011325452878008947
67,910,450.0,1063.8374,9045,8232960,0.016680092,2290,0.169880262309501,0.15022875368595123,0.531171590089798,0.0003,-2.1949308148088553,0.2,0.11998616536458333,-0.0014280367508581549
68,910,450.0,1079.5742,9177,8355840,0.015268758,2300,0.11437204666964439,0.026494957506656647,0.7053104341030121,0.0003,-2.1883561264164744,0.2,0.11250162760416667,-0.0013604145046701888
69,910,450.0,1083.4948,9309,8478720,0.016024895,2310,0.15992848130767623,0.0938403531908989,0.5059606432914734,0.0003,-2.213858521170914,0.2,0.11447184244791667,0.0002122499636758827
70,910,450.0,1076.9048,9442,8601600,0.019575985,2320,0.1575164613991122,0.11543291062116623,0.5073545575141907,0.0003,-2.2481035550745827,0.2,0.11116861979166667,0.014489439887001935
71,910,450.0,1070.1605,9576,8724480,0.013452884,2330,0.1310288015249777,0.0654546245932579,0.5973322689533234,0.0003,-2.2444270933419466,0.2,0.10239095052083333,-0.0001793369233443324
72,911,450.0,1067.3729,9710,8847360,0.01338297,2340,0.16361121978673812,0.012894997373223305,0.5221307873725891,0.0003,-2.2563003726924458,0.2,0.10675048828125,-0.0005891314900933745
73,911,450.0,1060.4514,9842,8970240,0.016664239,2350,0.14695442808103204,0.004433833993971348,0.5790998637676239,0.0003,-2.2483819039352237,0.2,0.1161083984375,-0.0010609033364562493
74,911,450.0,1044.0204,9976,9093120,0.018284969,2360,0.16635628570021557,0.12056285887956619,0.562876433134079,0.0003,-2.232913183631996,0.2,0.10447102864583334,-0.000751999541753321
75,911,450.0,1066.3314,10111,9216000,0.0112636825,2370,0.13904056655948807,0.03697837144136429,0.6314906179904938,0.0003,-2.2363448311202228,0.2,0.10883382161458334,-0.000552923977854031
76,911,450.0,1063.7457,10244,9338880,0.011189708,2380,0.16762273922960352,0.027091965079307556,0.5343769490718842,0.0003,-2.262194521886607,0.2,0.10001708984375,0.0004329895112156616
77,911,450.0,1068.8384,10378,9461760,0.010354545,2390,0.13060655637552068,0.04568912833929062,0.6197181046009064,0.0003,-2.222991267417868,0.2,0.09856038411458333,0.0004502096077885653
78,911,450.0,1055.244,10512,9584640,0.012504637,2400,0.15085752049829657,0.04640311002731323,0.6253594160079956,0.0003,-2.2239473901502786,0.2,0.11160725911458333,0.0007944375198318691
79,911,450.0,1067.734,10647,9707520,0.011240316,2410,0.10968290597345913,0.02077455073595047,0.7283596992492676,0.0003,-2.2267143153150877,0.2,0.09510172526041667,-0.0002904176251771181
80,911,450.0,1066.0057,10781,9830400,0.011329325,2420,0.10106839109954308,0.04397322237491608,0.8012208342552185,0.0003,-2.1988642954205475,0.2,0.10784993489583333,-0.0009672421731981254
81,911,450.0,1047.8339,10916,9953280,0.010586854,2430,0.15477770347739958,0.02804647386074066,0.6250834465026855,0.0003,-2.2136150863704582,0.2,0.09572509765625,-3.0127095596981236e-05
82,911,450.0,1045.6738,11049,10076160,0.013294911,2440,0.1284600004797782,0.10791365802288055,0.6525924503803253,0.0003,-2.2288927803436915,0.2,0.1026025390625,-0.0012160813339263162
83,912,450.0,1064.6272,11182,10199040,0.013584221,2450,0.15611627189689897,0.10562176257371902,0.6337287724018097,0.0003,-2.2151934399952493,0.2,0.10268880208333334,-0.0007136343086131091
84,911,450.0,1079.6895,11317,10321920,0.014337422,2460,0.12705113374354066,0.1424640268087387,0.6327110230922699,0.0003,-2.2249984048244853,0.2,0.10598225911458334,-0.0009914355751364685
85,912,450.0,1088.1958,11449,10444800,0.017052686,2470,0.1542361211901395,0.031013980507850647,0.6773651540279388,0.0003,-2.1483734099629026,0.2,0.10627522786458334,-0.0010101913110156602
86,912,450.0,1078.4723,11585,10567680,0.016119255,2480,0.1387117860339155,0.045920513570308685,0.6246031224727631,0.0003,-2.1733752088745435,0.2,0.11347412109375,-0.0006466599108171067
87,912,450.0,1077.0004,11717,10690560,0.018930918,2490,0.14685668439002864,0.06347724795341492,0.7001572549343109,0.0003,-2.1907928682056568,0.2,0.1197216796875,-0.0014423975264374652
88,912,450.0,1086.9058,11852,10813440,0.016890148,2500,0.13268879418207993,0.002643825486302376,0.6940084397792816,0.0003,-2.2342637560144065,0.2,0.11476725260416666,-0.0010548094212784538
89,912,450.0,1045.0194,11989,10936320,0.017323485,2510,0.17132782076024644,0.15071091055870056,0.5961145758628845,0.0003,-2.1769914487128457,0.2,0.11891764322916666,-0.0008910080073565041
90,912,450.0,1080.2454,12120,11059200,0.017828425,2520,0.1836649835575372,0.0012228600680828094,0.5783561170101166,0.0003,-2.2314182258273165,0.2,0.11123128255208334,-0.0003010992872077622
91,912,450.0,1058.9812,12252,11182080,0.018598594,2530,0.1364459322078134,0.017845522612333298,0.6871545016765594,0.0003,-2.1928791617415846,0.2,0.11855387369791667,-0.0004611347469835891
92,912,450.0,1068.0542,12384,11304960,0.015967704,2540,0.18250716819646187,0.11197147518396378,0.6146759986877441,0.0003,-2.164145285754154,0.2,0.11194091796875,-0.00032824960929550193
93,913,450.0,1088.1193,12515,11427840,0.018403526,2550,0.14910660194075415,0.057586025446653366,0.6650009453296661,0.0003,-2.12230094505474,0.2,0.11656494140625,-0.0004967311876938159
94,913,450.0,1070.486,12646,11550720,0.016822517,2560,0.17340800541821713,0.12527894973754883,0.6426952183246613,0.0003,-2.15432605298236,0.2,0.12144205729166667,4.1456384624325435e-05
95,913,450.0,1087.8496,12780,11673600,0.020884542,2570,0.14168598042170438,0.028361398726701736,0.7049823999404907,0.0003,-2.1698338336621723,0.2,0.11316162109375,-0.0008500623379222816
96,913,450.0,1086.0934,12911,11796480,0.017694613,2580,0.17900042068771047,-0.001961043104529381,0.604742705821991,0.0003,-2.2038968864207464,0.2,0.11572102864583333,-0.00020087715520882436
97,913,450.0,1103.7573,13042,11919360,0.019517036,2590,0.13989908629693673,0.01569627970457077,0.6321172714233398,0.0003,-2.1371443109524746,0.2,0.12127685546875,-0.001009312528267401
98,914,450.0,1150.2046,13173,12042240,0.016948234,2600,0.1727633933534283,0.11167365312576294,0.6500558853149414,0.0003,-2.090080214186261,0.2,0.11685709635416666,0.00016613350237093983
99,914,450.0,1097.2915,13308,12165120,0.013291648,2610,0.1781648530397312,0.02231145091354847,0.6188840270042419,0.0003,-2.0759769058724244,0.2,0.11191975911458334,0.00029896710358419415
100,914,450.0,1113.0917,13440,12288000,0.017098628,2620,0.13688381797071392,0.048119597136974335,0.720877468585968,0.0003,-2.1541930134159823,0.2,0.10931640625,-0.000264010080039346
101,914,450.0,1124.7714,13573,12410880,0.014214207,2630,0.17446196670648836,0.08474069088697433,0.6962006390094757,0.0003,-2.129022202063352,0.2,0.11881917317708333,0.00026053302908925007
102,914,450.0,1111.8799,13707,12533760,0.015025481,2640,0.15114480301276975,0.06446204334497452,0.6463887691497803,0.0003,-2.0794941474559407,0.2,0.10856119791666667,0.00046782064001490655
103,914,450.0,1112.7554,13841,12656640,0.013768776,2650,0.18879460040557508,0.12407828867435455,0.5731344223022461,0.0003,-2.1010405267216266,0.2,0.10923421223958334,8.984200519989826e-05
104,914,450.0,1082.1277,13975,12779520,0.014935618,2660,0.13951848277953105,0.04297000169754028,0.7100977897644043,0.0003,-2.0953976571249466,0.2,0.11621175130208333,-0.00028665092493611154
105,914,450.0,1122.915,14107,12902400,0.016296865,2670,0.19282005295773463,0.01688702404499054,0.5995477735996246,0.0003,-2.1473466501322886,0.2,0.10585286458333333,-0.00037207921657075833
106,914,450.0,1083.6583,14241,13025280,0.0147093395,2680,0.15075499270807388,0.039664238691329956,0.6653823554515839,0.0003,-2.0241558740846815,0.2,0.1090380859375,-4.9133850346455195e-05
107,914,448.78,1100.9492,14374,13148160,0.012979237,2690,0.18878394720033007,0.13629712164402008,0.5973107218742371,0.0003,-2.147703443914652,0.2,0.10181640625,-0.0002707853486693542
108,914,450.0,1092.7549,14505,13271040,0.01679856,2700,0.17097432288258763,0.05154206603765488,0.7330033779144287,0.0003,-1.994030456834783,0.2,0.11134928385416666,4.106715742333715e-05
109,914,450.0,1103.7343,14638,13393920,0.015038549,2710,0.17249471523585574,0.02029111236333847,0.6740946173667908,0.0003,-2.0984796697460113,0.2,0.10990152994791667,-0.00020070796648724354
110,914,450.0,1085.1985,14774,13516800,0.013236549,2720,0.1830561702232808,0.03621413931250572,0.6666848659515381,0.0003,-2.1610029515748224,0.2,0.09591715494791667,0.00016355980629668922
111,914,450.0,1074.2117,14908,13639680,0.014233568,2730,0.16238918290599638,0.02222561277449131,0.7033347487449646,0.0003,-2.1279611201087634,0.2,0.1067041015625,-0.0005144029088872533
112,914,450.0,1092.8578,15047,13762560,0.01248194,2740,0.20581354324264492,0.004924176260828972,0.5918330550193787,0.0003,-2.054128472581506,0.2,0.09751139322916667,-0.00010072658841939604
113,914,450.0,1092.1661,15180,13885440,0.011716275,2750,0.15757635297661182,0.009777642786502838,0.6612383723258972,0.0003,-2.0848690449136,0.2,0.10024983723958333,0.0002549599930292364
114,914,450.0,1166.5261,15313,14008320,0.0143959755,2760,0.18853127393638716,0.04935932159423828,0.6037943065166473,0.0003,-2.1312924527563153,0.2,0.10381510416666667,-0.000305745900520075
115,914,450.0,1147.0961,15447,14131200,0.018900804,2770,0.14691180027737574,0.10951614379882812,0.7317458987236023,0.0003,-2.0109470339305697,0.2,0.11710774739583334,-0.00036714589380305065
116,914,450.0,1153.5144,15579,14254080,0.017763598,2780,0.18692323835134933,0.19551429152488708,0.6765230894088745,0.0003,-2.096611989537875,0.2,0.10017008463541667,0.00028116841212977306
117,913,450.0,1123.7451,15743,14376960,0.012292353,2790,0.16375950608223017,0.19238613545894623,0.7011063098907471,0.0003,-2.097503339884182,0.2,0.0998876953125,0.0004539055468800749
118,912,450.0,1122.4014,15887,14499840,0.01392133,2800,0.1809858947902588,0.01697087474167347,0.6402381956577301,0.0003,-2.1218845471926033,0.2,0.10502522786458333,-0.0005694473761044112
119,912,450.0,1134.7612,16021,14622720,0.010493046,2810,0.18688977236961363,0.08741165697574615,0.6606071591377258,0.0003,-2.1175213492972156,0.2,0.09647216796875,0.0003956482740128801
120,912,450.0,1089.4285,16154,14745600,0.014472493,2820,0.12861966902588998,0.08278563618659973,0.8276945650577545,0.0003,-2.101935105745991,0.2,0.11586507161458333,-0.0008005121137830429
121,912,450.0,1132.2144,16288,14868480,0.009870354,2830,0.18541865819468512,0.11471795290708542,0.6329253017902374,0.0003,-2.143634561908742,0.2,0.09275472005208334,-6.180600603632531e-05
122,912,450.0,1115.3022,16421,14991360,0.014206653,2840,0.15067995346946797,0.016580799594521523,0.7827337384223938,0.0003,-2.1689101460948588,0.2,0.12291259765625,-0.0007172238987368473
123,912,450.0,1113.403,16555,15114240,0.010930095,2850,0.19609284806928676,0.15483182668685913,0.6569427251815796,0.0003,-2.230425109906743,0.2,0.10249104817708334,-0.00013256828400092974
124,912,450.0,1156.0133,16691,15237120,0.014769038,2860,0.15226806812434612,0.1333838701248169,0.7708752751350403,0.0003,-2.141376545963188,0.2,0.10593180338541666,-0.00020290197661476366
125,912,450.0,1097.5897,16825,15360000,0.013886467,2870,0.1888806156727757,0.10413901507854462,0.7003393173217773,0.0003,-2.113346196350952,0.2,0.11095458984375,-0.000492563274862429
126,913,450.0,1076.6914,16956,15482880,0.020095337,2880,0.23189010787891068,0.04708210006356239,0.753206416964531,0.0003,-2.183149500178794,0.2,0.12042561848958333,-0.00034872409305535256
127,911,450.0,1141.0687,17117,15605760,0.02076817,2890,0.23296818484115647,0.310239315032959,0.6830876767635345,0.0003,-2.1444990999189515,0.2,0.11962972005208333,-0.00044171640599415695
128,911,450.0,1127.4341,17248,15728640,0.020626085,2900,0.18821185620700515,0.06890355050563812,0.7783429026603699,0.0003,-2.1252697986985245,0.2,0.12767008463541665,-0.0007457808084109274
129,912,450.0,1062.4661,17380,15851520,0.02171323,2910,0.18410604000722136,0.06712430715560913,0.6773834526538849,0.0003,-2.0688034860479334,0.2,0.1311572265625,-0.0004541422949235615
130,912,450.0,1052.8846,17511,15974400,0.019593084,2920,0.18331036311448165,0.04516379162669182,0.6039743721485138,0.0003,-2.200184522687147,0.2,0.11785319010416667,-0.0018096381442046549
131,912,450.0,1061.5549,17644,16097280,0.018864783,2930,0.14595006431646956,-0.0024894261732697487,0.6734378635883331,0.0003,-2.1655200973153113,0.2,0.12400960286458333,-0.001292699807236204
132,912,450.0,1101.5118,17776,16220160,0.016881298,2940,0.16191502669937716,0.09150569140911102,0.6250673234462738,0.0003,-2.230460192145159,0.2,0.11811442057291667,-0.0016733624255418059
133,912,450.0,1132.3042,17907,16343040,0.016740425,2950,0.14245185063482496,0.07775022089481354,0.6129813194274902,0.0003,-2.254385421151916,0.2,0.11856282552083333,-0.0011109083588780777
134,912,450.0,1079.501,18041,16465920,0.016739598,2960,0.17677085153666364,0.053851280361413956,0.6245882213115692,0.0003,-2.211811519948145,0.2,0.1210107421875,-0.0012523777226427532
135,912,450.0,1153.2351,18172,16588800,0.016825968,2970,0.1466700323301484,0.12589947879314423,0.7606146037578583,0.0003,-2.2003646383744977,0.2,0.12158935546875,-0.0012573971587456375
136,912,450.0,1086.8905,18304,16711680,0.01642013,2980,0.15867124683960962,0.015621953643858433,0.6830838322639465,0.0003,-2.221664290695141,0.2,0.11892740885416667,-0.0013372708366478038
137,913,450.0,1104.2362,18435,16834560,0.019030146,2990,0.11878720602146738,0.012574372813105583,0.7729010581970215,0.0003,-2.1750920815207064,0.2,0.13148111979166666,-0.0019052938407912734
138,913,450.0,1106.7698,18568,16957440,0.014887333,3000,0.1679836005314428,0.12342400848865509,0.6592762768268585,0.0003,-2.214079524607708,0.2,0.113212890625,-0.001056810489038374
139,913,450.0,1120.1963,18699,17080320,0.015396989,3010,0.1389092712191632,0.10663016140460968,0.7892927378416061,0.0003,-2.2115099981861808,0.2,0.11660074869791667,-0.002222227593653467
140,913,450.0,1108.0099,18833,17203200,0.014649184,3020,0.1353891248209402,0.04255124181509018,0.7303957045078278,0.0003,-2.2818870523820323,0.2,0.10472249348958333,-0.0008080695589402846
141,913,450.0,1126.3757,18965,17326080,0.013400179,3030,0.17099099260861597,0.046852968633174896,0.66550612449646,0.0003,-2.205966047452142,0.2,0.10661702473958333,-0.0014018904331169323
142,913,450.0,1098.1256,19098,17448960,0.01569354,3040,0.14837134339191835,0.021181780844926834,0.6621232330799103,0.0003,-2.2386576043069364,0.2,0.11298583984375,-0.001136361828163596
143,913,450.0,1072.9272,19229,17571840,0.013839696,3050,0.17334357123419372,0.24493944644927979,0.6507328450679779,0.0003,-2.259530952827384,0.2,0.10741536458333334,-0.00124246525944424
144,913,450.0,1158.6454,19361,17694720,0.014098858,3060,0.127552843252876,0.04925993084907532,0.6737885475158691,0.0003,-2.289340842105448,0.2,0.11321614583333334,-0.0020513455025017416
145,913,450.0,1082.7833,19496,17817600,0.0110389,3070,0.1748641047598115,0.06614108383655548,0.6736117005348206,0.0003,-2.2616601383561887,0.2,0.09615641276041667,-0.0005528634895320769
