time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/clip_fraction,train/n_updates,train/clip_range,train/learning_rate,train/loss,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/entropy_loss,train/approx_kl
20,6027,1407.6444,1,122880,388.46666666666664,,,,,,,,,,
196,1248,1561.1074,2,245760,437.73333333333335,0.44306070963541666,1940,0.2,0.0002,0.028553295880556107,-0.005104493272101536,0.2571529848322583,0.6476578116416931,-1.271249533838903,0.15875174
370,994,1157.3372,3,368640,322.6,0.44095052083333336,1950,0.2,0.0002,0.1834000051021576,-0.006523954565891472,0.13746562399464893,0.6900104284286499,-1.2292646427669873,0.15871459
545,901,1371.7401,4,491520,373.3333333333333,0.4391349283854167,1960,0.2,0.0002,0.008531950414180756,-0.0069791284677012295,0.1337023363954116,0.7350983619689941,-1.2477004214624563,0.16232754
719,854,1501.3269,5,614400,407.4,0.4375919596354167,1970,0.2,0.0002,0.0195925310254097,-0.0070151179825370495,0.13395469350701508,0.713708221912384,-1.2742965671916802,0.1569093
894,824,1446.4197,6,737280,403.6666666666667,0.4400105794270833,1980,0.2,0.0002,0.05001320689916611,-0.006795492166984332,0.13166499350210265,0.7104675471782684,-1.2712967513812086,0.16164526
1070,803,1536.6194,7,860160,428.1333333333333,0.44077962239583335,1990,0.2,0.0002,0.008023464120924473,-0.006643340280594809,0.13793992803645475,0.6682388484477997,-1.2322940838119636,0.16697988
1249,786,1461.4214,8,983040,407.53333333333336,0.43794189453125,2000,0.2,0.0002,0.07886065542697906,-0.006702888648845449,0.13837120959632254,0.7050770223140717,-1.2331695676253487,0.1630369
1422,777,1457.3634,9,1105920,403.4,0.43575439453125,2010,0.2,0.0002,0.008710071444511414,-0.006160655963473497,0.13299495785361312,0.7078874409198761,-1.2382680278178304,0.16022593
1605,765,1422.0411,10,1228800,389.1333333333333,0.43626953125,2020,0.2,0.0002,0.01862766593694687,-0.005382552652718004,0.13071173518304324,0.7314988076686859,-1.2218632081306229,0.16259052
1780,759,1428.6757,11,1351680,402.8,0.43548746744791667,2030,0.2,0.0002,0.04716259241104126,-0.006819823100680272,0.13292660313823337,0.7050161063671112,-1.2589774604483197,0.15357296
1965,750,1288.8263,12,1474560,348.1333333333333,0.43823649088541666,2040,0.2,0.0002,0.07452219724655151,-0.006616429972552093,0.13324664571419514,0.7140187323093414,-1.2469272596699497,0.16030002
2140,746,1601.1705,13,1597440,431.1333333333333,0.43316569010416667,2050,0.2,0.0002,-0.0003731735050678253,-0.006488763830730022,0.12999306783788295,0.7081045210361481,-1.226690788237999,0.15671949
2314,743,1617.2123,14,1720320,439.06666666666666,0.4345499674479167,2060,0.2,0.0002,0.08542890846729279,-0.0063523422322335436,0.13433997518169538,0.7101500928401947,-1.2279552214965224,0.15948682
2490,740,1360.4186,15,1843200,377.26666666666665,0.43349527994791665,2070,0.2,0.0002,0.20459216833114624,-0.006724785315491318,0.13917314839015793,0.6930680274963379,-1.2437107060601313,0.15873462
2665,737,1506.0905,16,1966080,409.3333333333333,0.4334415690104167,2080,0.2,0.0002,-0.015864945948123932,-0.00583394887355098,0.1408155673566701,0.7029870748519897,-1.1934218121320008,0.16549271
2839,735,1388.8113,17,2088960,387.26666666666665,0.43182454427083333,2090,0.2,0.0002,0.04610976204276085,-0.006601116657081244,0.14173711454534593,0.7094431221485138,-1.1988349366591622,0.16009165
3014,733,1484.8416,18,2211840,406.3333333333333,0.4326708984375,2100,0.2,0.0002,0.006065007299184799,-0.006837157381317714,0.13790276711806654,0.7119729816913605,-1.2195917571584383,0.15950745
3190,731,1411.0414,19,2334720,387.06666666666666,0.43267903645833333,2110,0.2,0.0002,-0.009539805352687836,-0.006556891010422988,0.1354611059917564,0.6994402706623077,-1.2225476471924532,0.1598788
3365,730,1338.4086,20,2457600,363.8,0.4333675130208333,2120,0.2,0.0002,-0.007096562534570694,-0.00663291667773592,0.1341937894562337,0.7189047038555145,-1.2431065618495147,0.15562531
3542,728,1545.8406,21,2580480,424.4,0.43338704427083335,2130,0.2,0.0002,0.0724266916513443,-0.006965362847507398,0.13095727671529556,0.7161114513874054,-1.2181320932817956,0.15423056
3718,727,1397.8854,22,2703360,378.73333333333335,0.43319498697916664,2140,0.2,0.0002,0.0568716786801815,-0.0072993592886753805,0.1435149981811992,0.6526965796947479,-1.2140323266821602,0.15690732
3892,726,1558.0541,23,2826240,413.6,0.43308186848958335,2150,0.2,0.0002,0.13751481473445892,-0.006628603864125277,0.13606009803683264,0.7048591673374176,-1.2116721440510203,0.16210276
4066,725,1525.1573,24,2949120,408.6666666666667,0.43237630208333333,2160,0.2,0.0002,-0.006092153489589691,-0.00703423053323301,0.13625908939449194,0.7164496183395386,-1.2143313932480913,0.16188477
4243,723,1498.9095,25,3072000,406.3333333333333,0.4302091471354167,2170,0.2,0.0002,0.0357363224029541,-0.006209528616557994,0.13904256150611521,0.6916394233703613,-1.1997289782669396,0.15934667
4417,723,1387.4113,26,3194880,382.8666666666667,0.43265625,2180,0.2,0.0002,0.047173164784908295,-0.007535652654053896,0.13876530810783153,0.6866357028484344,-1.185477085346356,0.15810753
4592,722,1558.6002,27,3317760,428.3333333333333,0.4283317057291667,2190,0.2,0.0002,0.02094145491719246,-0.0065273982530743525,0.14549649395397865,0.6788371801376343,-1.1682875981616476,0.15717457
