2024-02-18 19:00:10.618245
Logging to Training/Logs/TekusRewardOne-OneC
----------------------------------
| rollout/           |           |
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1114.2905   |
| time/                   |             |
|    fps                  | 978         |
|    iterations           | 12          |
|    time_elapsed         | 1506        |
|    total_timesteps      | 1474560     |
| train/                  |             |
|    approx_kl            | 0.014070167 |
|    clip_fraction        | 0.109       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.03       |
|    explained_variance   | 0.799       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0826      |
|    n_updates            | 3370        |
|    policy_gradient_loss | 0.000301    |
|    value_loss           | 0.133       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1155.0392   |
| time/                   |             |
|    fps                  | 971         |
|    iterations           | 13          |
|    time_elapsed         | 1643        |
|    total_timesteps      | 1597440     |
| train/                  |             |
|    approx_kl            | 0.014719258 |
|    clip_fraction        | 0.108       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.08       |
|    explained_variance   | 0.818       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0598      |
|    n_updates            | 3380        |
|    policy_gradient_loss | 0.0004      |
|    value_loss           | 0.109       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1102.8601   |
| time/                   |             |
|    fps                  | 966         |
|    iterations           | 14          |
|    time_elapsed         | 1779        |
|    total_timesteps      | 1720320     |
| train/                  |             |
|    approx_kl            | 0.014310058 |
|    clip_fraction        | 0.105       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.04       |
|    explained_variance   | 0.802       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0725      |
|    n_updates            | 3390        |
|    policy_gradient_loss | 0.000307    |
|    value_loss           | 0.116       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1204.0271   |
| time/                   |             |
|    fps                  | 962         |
|    iterations           | 15          |
|    time_elapsed         | 1914        |
|    total_timesteps      | 1843200     |
| train/                  |             |
|    approx_kl            | 0.018649869 |
|    clip_fraction        | 0.111       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.14       |
|    explained_variance   | 0.884       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0349      |
|    n_updates            | 3400        |
|    policy_gradient_loss | -0.00123    |
|    value_loss           | 0.0643      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1199.1854   |
| time/                   |             |
|    fps                  | 959         |
|    iterations           | 16          |
|    time_elapsed         | 2049        |
|    total_timesteps      | 1966080     |
| train/                  |             |
|    approx_kl            | 0.020345053 |
|    clip_fraction        | 0.118       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.02       |
|    explained_variance   | 0.89        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0756      |
|    n_updates            | 3410        |
|    policy_gradient_loss | 0.000525    |
|    value_loss           | 0.0894      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1126.6481   |
| time/                   |             |
|    fps                  | 956         |
|    iterations           | 17          |
|    time_elapsed         | 2184        |
|    total_timesteps      | 2088960     |
| train/                  |             |
|    approx_kl            | 0.018261675 |
|    clip_fraction        | 0.119       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.07       |
|    explained_variance   | 0.885       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0312      |
|    n_updates            | 3420        |
|    policy_gradient_loss | -0.000777   |
|    value_loss           | 0.0674      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1153.2074   |
| time/                   |             |
|    fps                  | 953         |
|    iterations           | 18          |
|    time_elapsed         | 2319        |
|    total_timesteps      | 2211840     |
| train/                  |             |
|    approx_kl            | 0.013818716 |
|    clip_fraction        | 0.112       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.22       |
|    explained_variance   | 0.75        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0603      |
|    n_updates            | 3430        |
|    policy_gradient_loss | -0.000155   |
|    value_loss           | 0.108       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1222.0227   |
| time/                   |             |
|    fps                  | 951         |
|    iterations           | 19          |
|    time_elapsed         | 2453        |
|    total_timesteps      | 2334720     |
| train/                  |             |
|    approx_kl            | 0.018085735 |
|    clip_fraction        | 0.115       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.12       |
|    explained_variance   | 0.805       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00553     |
|    n_updates            | 3440        |
|    policy_gradient_loss | -0.00122    |
|    value_loss           | 0.0931      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1134.3108   |
| time/                   |             |
|    fps                  | 949         |
|    iterations           | 20          |
|    time_elapsed         | 2588        |
|    total_timesteps      | 2457600     |
| train/                  |             |
|    approx_kl            | 0.015786644 |
|    clip_fraction        | 0.121       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.05       |
|    explained_variance   | 0.805       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0567      |
|    n_updates            | 3450        |
|    policy_gradient_loss | -0.000429   |
|    value_loss           | 0.111       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1178.6405   |
| time/                   |             |
|    fps                  | 947         |
|    iterations           | 21          |
|    time_elapsed         | 2723        |
|    total_timesteps      | 2580480     |
| train/                  |             |
|    approx_kl            | 0.013016014 |
|    clip_fraction        | 0.114       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.16       |
|    explained_variance   | 0.818       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0893      |
|    n_updates            | 3460        |
|    policy_gradient_loss | -0.000304   |
|    value_loss           | 0.114       |
