time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,train/learning_rate,train/value_loss,train/clip_fraction,train/entropy_loss,train/n_updates,train/clip_range,train/loss,train/policy_gradient_loss,train/approx_kl,train/explained_variance
13902,61,1348.6372,440.12,539,7495680,0.0003,0.062314246885168054,0.62907470703125,-1.576642133332789,600,0.2,-0.03478439152240753,-0.010398687910759085,0.6878525,0.8056683540344238
14147,62,1397.1022,442.24,538,7618560,0.0003,0.05801421284564034,0.6252091471354166,-1.5866277109769484,610,0.2,-0.058045756071805954,-0.012549351680860733,0.66196,0.8216074556112289
14390,63,1376.3082,441.6,537,7741440,0.0003,0.07153237792052096,0.6227083333333333,-1.5765403834233682,620,0.2,-0.04947449266910553,-0.010923508145430484,0.6926133,0.7973002940416336
14635,64,1343.89,436.68,537,7864320,0.0003,0.06949979339226653,0.61893310546875,-1.6099999350371461,630,0.2,-0.002528741955757141,-0.011471120517526287,0.6416432,0.8149657547473907
14874,65,1381.4254,438.28,536,7987200,0.0003,0.06597946198642603,0.6143782552083333,-1.5441939157620073,640,0.2,-0.030785854905843735,-0.009677543730613252,0.6566285,0.8143904507160187
15115,66,1322.8032,426.98,536,8110080,0.0003,0.06035206143482355,0.6103776041666666,-1.5398998962901533,650,0.2,-0.03089214116334915,-0.01045949036656263,0.6657349,0.8172650188207626
15374,67,1369.4486,443.12,535,8232960,0.0003,0.05696194518342963,0.6061344401041666,-1.499886630261317,660,0.2,-0.02921675704419613,-0.008679491827103144,0.67441267,0.8411169350147247
15616,68,1372.6584,435.74,535,8355840,0.0003,0.0673509190241263,0.6069303385416667,-1.4909856963902712,670,0.2,-0.05505753308534622,-0.007582105644463203,0.69304246,0.8254467993974686
15858,69,1378.1282,445.56,534,8478720,0.0003,0.07307337732874052,0.6052864583333334,-1.517860015295446,680,0.2,-0.052304357290267944,-0.008008804434745494,0.65032023,0.82270647585392
16111,70,1338.1506,432.06,533,8601600,0.0003,0.0688965125461012,0.6045939127604166,-1.473083917722106,690,0.2,0.002788268029689789,-0.007060671724833204,0.7025005,0.8100082874298096
16353,71,1383.0016,440.42,533,8724480,0.0003,0.0735167364111112,0.5977815755208333,-1.4892493277726073,700,0.2,-0.02793354168534279,-0.010072133376609903,0.68902993,0.8245519250631332
16595,72,1365.2428,431.98,533,8847360,0.0003,0.06405743872528546,0.5959749348958333,-1.4917923568064968,710,0.2,-0.06461553275585175,-0.006696110225736144,0.7299105,0.8364845365285873
16836,73,1371.6898,439.86,532,8970240,0.0003,0.07251015491817574,0.5919881184895833,-1.449250621329993,720,0.2,-0.04258786141872406,-0.007912629567839152,0.65777045,0.8438751250505447
17078,74,1373.2155,435.72,532,9093120,0.0003,0.06612915431920556,0.5873282877604167,-1.45500331915915,730,0.2,0.03136192262172699,-0.008882466105775772,0.66456085,0.8441772907972336
17320,75,1322.9683,414.46,532,9216000,0.0003,0.06910200847021769,0.5817529296875,-1.4610003262975564,740,0.2,0.0048954077064991,-0.005361125173197555,0.6700563,0.8402989953756332
17562,76,1396.1633,440.44,531,9338880,0.0003,0.07134060817300147,0.5794620768229166,-1.4153086341700207,750,0.2,-0.06446769088506699,-0.005799107954280771,0.6889395,0.8506311178207397
17804,77,1277.7585,408.3,531,9461760,0.0003,0.06464466137273121,0.5726057942708334,-1.3906887301492195,760,0.2,-0.03591747581958771,-0.007285281792161792,0.69109434,0.8328515142202377
18046,78,1357.7114,428.5,531,9584640,0.0003,0.06503523463582193,0.5723893229166667,-1.3794229779858143,770,0.2,-0.03817403316497803,-0.0068133192937420975,0.71067154,0.845652386546135
18286,79,1383.0177,445.44,530,9707520,0.0003,0.06404960604898709,0.56496337890625,-1.3803385013869653,780,0.2,-0.037551604211330414,-0.007664927300502313,0.7006331,0.8358878046274185
18528,80,1381.9968,439.68,530,9830400,0.0003,0.06787242024753747,0.5692415364583333,-1.3843315146925548,790,0.2,-0.028908926993608475,-0.00753750176150182,0.7040493,0.815216675400734
18771,81,1376.7231,434.66,530,9953280,0.0003,0.07659898618614534,0.5654475911458333,-1.4501032933592797,800,0.2,-0.025944095104932785,-0.008813414202795683,0.64235234,0.80672387778759
19013,82,1359.9296,432.12,529,10076160,0.0003,0.06862682965375522,0.5729256184895833,-1.473701429249098,810,0.2,-0.0142285767942667,-0.006612445403437354,0.6757769,0.8138838112354279
19256,83,1379.4576,437.72,529,10199040,0.0003,0.06504949933189588,0.5584749348958333,-1.3615761734327922,820,0.2,0.01913505047559738,-0.006155270222164593,0.687492,0.8273123055696487
19497,84,1379.9487,446.32,529,10321920,0.0003,0.06290184710460987,0.5548274739583333,-1.3240303209610282,830,0.2,-0.026339754462242126,-0.005597844317799172,0.7116337,0.8272302150726318
19738,85,1382.278,440.76,529,10444800,0.0003,0.06599986273373361,0.5487288411458333,-1.3545320755491654,840,0.2,-0.02769392356276512,-0.005983457281314865,0.7325067,0.8335983008146286
19978,86,1317.513,421.86,528,10567680,0.0003,0.07404500770256467,0.5521858723958334,-1.3913439265762766,850,0.2,-0.007690544240176678,-0.004257036629805953,0.6757476,0.8273913264274597
20222,87,1378.4996,438.3,528,10690560,0.0003,0.060634391381560515,0.5467146809895833,-1.345149078387767,860,0.2,-0.03980552405118942,-0.006523460043305628,0.7166835,0.8350339531898499
20478,88,1387.4122,443.2,528,10813440,0.0003,0.05690740630045184,0.54043212890625,-1.3050713361985982,870,0.2,-0.0596955269575119,-0.00254959935249038,0.81121635,0.8461339026689529
20750,89,1395.7886,443.48,527,10936320,0.0003,0.06723132436183125,0.54521728515625,-1.3782288577966393,880,0.2,-0.047976527363061905,-0.006813662016199184,0.68694395,0.8117961883544922
20994,90,1396.7113,437.38,526,11059200,0.0003,0.06560620055786179,0.5388720703125,-1.3093992632472267,890,0.2,-0.03453684598207474,-0.0030347135300447313,0.7015471,0.805887833237648
21237,91,1374.9346,434.26,526,11182080,0.0003,0.059392963527158525,0.5349568684895833,-1.3008859105935942,900,0.2,-0.036074381321668625,-0.0038735353154667486,0.71669877,0.8157573640346527
21477,92,1397.231,437.98,526,11304960,0.0003,0.06949084044021826,0.54122802734375,-1.405226759966463,910,0.2,-0.050643593072891235,-0.00643489330623197,0.6830028,0.823037251830101
21721,93,1400.4825,438.94,526,11427840,0.0003,0.07306290824587146,0.53390869140625,-1.370314564872533,920,0.2,0.007340896874666214,-0.0029755206497672285,0.6940005,0.8252028822898865
21965,94,1373.163,426.26,525,11550720,0.0003,0.0754822336116437,0.5374462890625,-1.4489723801023016,930,0.2,-0.04275035858154297,-0.006677159823666443,0.66254085,0.8100154995918274
22209,95,1402.9286,442.12,525,11673600,0.0003,0.08532198243148742,0.5377473958333333,-1.4614339644648136,940,0.2,-0.04528133571147919,-0.007835542843325433,0.6640426,0.7934228926897049
22451,96,1397.684,438.32,525,11796480,0.0003,0.06872054447987466,0.53569580078125,-1.4284254637733103,950,0.2,-0.011736592277884483,-0.004896675787780017,0.6782266,0.8045004308223724
22690,97,1397.8608,436.84,525,11919360,0.0003,0.07646503433939264,0.5290584309895834,-1.445288699027151,960,0.2,0.010664660483598709,-0.004383592168396717,0.6753093,0.8189461082220078
22930,98,1420.4332,444.3,525,12042240,0.0003,0.0645841856871266,0.5344710286458333,-1.4365304144782325,970,0.2,-0.004766467027366161,-0.00605254833985479,0.66334826,0.8212738633155823
23173,99,1443.1101,449.44,524,12165120,0.0003,0.07503716036866535,0.5304264322916666,-1.3964778279047458,980,0.2,-0.01918519288301468,-0.00476851564330597,0.6765878,0.7930110543966293
23414,100,1417.4614,433.94,524,12288000,0.0003,0.08150585466840615,0.5285831705729167,-1.425846163680156,990,0.2,-0.020953673869371414,-0.006005493559569004,0.73529744,0.7955292165279388
23694,101,1441.9548,439.9,523,12410880,0.0003,0.07349014737381367,0.5276953125,-1.402021652519082,1000,0.2,-0.017039775848388672,-0.007347210261274692,0.6790075,0.8058004379272461
23941,102,1413.61,439.58,523,12533760,0.0003,0.08479722302562247,0.5248844401041667,-1.3792075278641036,1010,0.2,-0.014897707849740982,-0.004212037560907144,0.6800678,0.8160200417041779
24188,103,1410.5592,433.12,523,12656640,0.0003,0.08823484487239815,0.52469970703125,-1.392961855387936,1020,0.2,0.0023871883749961853,-0.004379068346012597,0.6248563,0.7975614964962006
24435,104,1428.165,442.3,522,12779520,0.0003,0.08178330498776631,0.5192618815104166,-1.3844416383747011,1030,0.2,0.03253501281142235,-0.006633610872440841,0.77192724,0.82475546002388
24678,105,1389.2703,432.4,522,12902400,0.0003,0.07704341082154618,0.5189640299479167,-1.3506078411421427,1040,0.2,-0.030035628005862236,-0.005089749472172116,0.6488906,0.8120474964380264
24925,106,1397.1304,430.1,522,13025280,0.0003,0.07912358208952355,0.5064095052083334,-1.2852963899541647,1050,0.2,-0.03482796251773834,-0.0030626846650314596,0.6739247,0.8098572045564651
25166,107,1389.1719,425.46,522,13148160,0.0003,0.07443654363455911,0.5101302083333333,-1.281865692632273,1060,0.2,-0.03310476616024971,-0.0032317793338794824,0.6837813,0.8071075230836868
25408,108,1398.8938,431.72,522,13271040,0.0003,0.08532254149695898,0.5113753255208333,-1.352021773721402,1070,0.2,0.041601330041885376,-0.0037693057834925032,0.6497495,0.824769139289856
25687,109,1416.9971,439.68,521,13393920,0.0003,0.07892445598753207,0.5144091796875,-1.3649813315986346,1080,0.2,-0.022121679037809372,-0.00470779100771324,0.6668647,0.8366000950336456
25929,110,1420.809,442.26,521,13516800,0.0003,0.07905336310514637,0.5097615559895833,-1.303585262124737,1090,0.2,-0.014191478490829468,-0.0035675638990566466,0.7233514,0.8261203765869141
26175,111,1383.1835,430.78,521,13639680,0.0003,0.07441479135377449,0.5092537434895833,-1.3396776207598546,1100,0.2,0.011374445632100105,-0.006102260369019253,0.69952667,0.8258261233568192
26421,112,1406.1232,433.28,520,13762560,0.0003,0.07392643074791219,0.5117431640625,-1.3333898371395965,1110,0.2,-0.03320367634296417,-0.00648689154654979,0.62855417,0.825946718454361
26670,113,1426.3801,443.46,520,13885440,0.0003,0.07842616423392125,0.5045589192708333,-1.3348149383657921,1120,0.2,-0.053161755204200745,-0.004525949155516476,0.6274517,0.8184767067432404
26917,114,1454.2358,448.84,520,14008320,0.0003,0.08072045920571934,0.5039835611979167,-1.3326602866283308,1130,0.2,-0.01853029429912567,-0.003867981890871306,0.62718576,0.8057185411453247
27161,115,1376.4156,429.54,520,14131200,0.0003,0.07961333473479802,0.5047517903645833,-1.3712689734064043,1140,0.2,-0.00022770464420318604,-0.006918941719507832,0.61097604,0.8057879060506821
27407,116,1408.7946,434.6,520,14254080,0.0003,0.08908991775334774,0.4978181966145833,-1.3134951097890735,1150,0.2,-0.058340851217508316,-0.004240318018352506,0.6661212,0.807402029633522
27652,117,1393.7708,430.58,519,14376960,0.0003,0.08464068827141698,0.49534993489583334,-1.3137895117606968,1160,0.2,-0.008243750780820847,-0.0046320769851323955,0.63405925,0.7990908622741699
27899,118,1452.4766,441.48,519,14499840,0.0003,0.07933012767879215,0.49505696614583333,-1.3125814775253335,1170,0.2,-0.06113043799996376,-0.004869227203489573,0.6526683,0.8153408616781235
