time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/iterations,time/total_timesteps,train/clip_fraction,train/loss,train/approx_kl,train/learning_rate,train/value_loss,train/explained_variance,train/entropy_loss,train/clip_range,train/n_updates,train/policy_gradient_loss
18,29.569675,437.8,6500,1,122880,,,,,,,,,,
146,73.264404,450.0,1681,2,245760,0.0783251953125,0.05886459723114967,0.009280102,0.0003,0.2824640981759876,-0.09652471542358398,-4.26996275914212,0.2,10,-0.006875788766653083
271,38.860012,450.0,1358,3,368640,0.10020263671875,0.0065649524331092834,0.009958094,0.0003,0.09548424609199477,0.4807828664779663,-4.259714576303959,0.2,20,-0.009719122489150323
395,67.20481,443.96,1242,4,491520,0.11427571614583333,0.036588236689567566,0.010861946,0.0003,0.09559943222770623,0.5492721199989319,-4.248911288579305,0.2,30,-0.010656158311552038
538,73.96142,450.0,1141,5,614400,0.12915445963541666,0.015064368024468422,0.011718883,0.0003,0.09338274602157375,0.5802944302558899,-4.236799964979291,0.2,40,-0.010976629918577601
662,61.665226,449.08,1112,6,737280,0.14242513020833333,0.01587655022740364,0.012576895,0.0003,0.09216892397865498,0.6180755198001862,-4.224484200576941,0.2,50,-0.01137487310935588
809,109.52198,450.0,1062,7,860160,0.15290934244791668,0.02109617367386818,0.012899051,0.0003,0.08897692551933384,0.6343695819377899,-4.2083478913704555,0.2,60,-0.01128985629437011
934,125.1574,450.0,1052,8,983040,0.16364420572916666,0.03863246738910675,0.013839943,0.0003,0.08600632544587522,0.6506376564502716,-4.193583540419738,0.2,70,-0.011701151241686603
1061,118.871185,444.18,1041,9,1105920,0.16602294921875,0.01908089779317379,0.014067819,0.0003,0.08672153850687513,0.6726517081260681,-4.178487006127835,0.2,80,-0.011197531540468238
1194,129.71475,450.0,1028,10,1228800,0.178349609375,0.005466528236865997,0.01504385,0.0003,0.08631086577797153,0.6869154274463654,-4.158943842376272,0.2,90,-0.011528565560117082
1319,154.27835,450.0,1024,11,1351680,0.18299641927083332,0.011148646473884583,0.015561352,0.0003,0.0864373990893364,0.7006372809410095,-4.144568851441145,0.2,100,-0.011278170283912915
1465,184.61801,450.0,1006,12,1474560,0.18743977864583333,0.01771608367562294,0.015979547,0.0003,0.08580759256670717,0.6949145793914795,-4.128662956903378,0.2,110,-0.011429049783255324
1589,186.44225,450.0,1005,13,1597440,0.19384684244791667,0.03197877109050751,0.016082944,0.0003,0.07883736033788107,0.7206339836120605,-4.106744394525886,0.2,120,-0.011445419466593497
1714,223.26689,450.0,1003,14,1720320,0.1981640625,0.0055097900331020355,0.016807377,0.0003,0.07949285981681896,0.7268015444278717,-4.085817741552988,0.2,130,-0.0113480904220584
1839,239.3049,450.0,1001,15,1843200,0.20051920572916668,0.05448620766401291,0.01662023,0.0003,0.07433715049604264,0.7235844731330872,-4.064647732600569,0.2,140,-0.010846723592367198
1965,237.22205,450.0,1000,16,1966080,0.20471842447916666,0.01437801867723465,0.016988957,0.0003,0.07315618758109244,0.7364892363548279,-4.038042803617815,0.2,150,-0.010447592080108734
2090,252.06355,443.12,999,17,2088960,0.20336751302083333,-0.022605614736676216,0.017147206,0.0003,0.07078303147029752,0.7531668394804001,-4.026652616821229,0.2,160,-0.01007955171297605
2244,255.16245,450.0,985,18,2211840,0.21052978515625,0.011485396884381771,0.017600035,0.0003,0.07251280763409644,0.7584761381149292,-4.0099213460087775,0.2,170,-0.00994766639830535
2376,282.0917,450.0,982,19,2334720,0.21587158203125,0.005817105993628502,0.017901573,0.0003,0.0729760016821092,0.7576088905334473,-3.987506785268585,0.2,180,-0.01034508507244027
2502,278.9114,450.0,981,20,2457600,0.21211263020833335,0.0285164937376976,0.017730972,0.0003,0.07014136637793854,0.7439599633216858,-3.9731062337880334,0.2,190,-0.009492244952804565
2625,291.3739,450.0,982,21,2580480,0.21869791666666666,0.04270375147461891,0.01850886,0.0003,0.07122640205489006,0.7422726452350616,-3.963565720717112,0.2,200,-0.009751930606053066
2748,305.9376,450.0,983,22,2703360,0.22345377604166666,0.03812626376748085,0.018763432,0.0003,0.0693790423318084,0.7374816536903381,-3.94256671367834,0.2,210,-0.009830568386302427
2871,311.12378,445.6,984,23,2826240,0.22299153645833333,0.005671054124832153,0.018792586,0.0003,0.07117135151890883,0.7499040365219116,-3.9230261143421132,0.2,220,-0.00940380498446757
2994,323.32895,447.44,984,24,2949120,0.22732747395833333,-0.016389958560466766,0.019366527,0.0003,0.06590856051659405,0.7350773215293884,-3.9113100390384594,0.2,230,-0.009355406535557146
3119,332.82098,450.0,984,25,3072000,0.22538981119791668,-0.007151655852794647,0.01922169,0.0003,0.06932714720028646,0.7242397367954254,-3.891629768212636,0.2,240,-0.008235950493011235
3244,335.17413,442.96,984,26,3194880,0.2302685546875,0.030048947781324387,0.019807506,0.0003,0.06892674872821468,0.7253803610801697,-3.881935883524517,0.2,250,-0.008623938763254652
3373,351.35403,450.0,983,27,3317760,0.23235595703125,0.08329372853040695,0.0200163,0.0003,0.07426657354924827,0.7029870450496674,-3.8624992286538085,0.2,260,-0.007888202414130015
3498,354.18597,450.0,983,28,3440640,0.23594889322916668,-0.03208029642701149,0.02047408,0.0003,0.06906069321674295,0.6990955770015717,-3.8427726468568046,0.2,270,-0.0075857147732100805
3623,369.49707,450.0,983,29,3563520,0.23155110677083332,0.08772315084934235,0.02047818,0.0003,0.07355221503870174,0.7036710977554321,-3.840133859924972,0.2,280,-0.007645181751437728
