rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/clip_range,train/approx_kl,train/n_updates,train/loss,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/clip_fraction
1336.7402,371.6666666666667,79,772,9707520,12560,0.2,0.10929049,780,0.005523107945919037,0.0002,-2.309451084987571,-0.017987406213214853,0.5897249281406403,0.09415250464245521,0.5080826822916666
1478.375,411.53333333333336,80,772,9830400,12721,0.2,0.10858149,790,-0.022106705233454704,0.0002,-2.3112108611315487,-0.018581602466729238,0.6268332004547119,0.09426242951497746,0.5063118489583334
1469.4069,407.53333333333336,81,772,9953280,12879,0.2,0.10905075,800,-0.0032037608325481415,0.0002,-2.2818110373243687,-0.017652735516130634,0.6098816692829132,0.09786600439042861,0.5062890625
1508.0725,415.1333333333333,82,772,10076160,13038,0.2,0.11129517,810,-0.04309161752462387,0.0002,-2.2524303127763172,-0.01770658478363354,0.6324586570262909,0.09132736806253282,0.5059814453125
1516.6462,416.93333333333334,83,772,10199040,13197,0.2,0.11081491,820,-0.009347911924123764,0.0002,-2.242169824534406,-0.017281019593004505,0.6302222609519958,0.09633822493914825,0.5051383463541667
1546.8147,433.0,84,772,10321920,13358,0.2,0.11022443,830,0.003128848969936371,0.0002,-2.226304767554005,-0.017568952491492384,0.6432209014892578,0.09640866182046011,0.50332275390625
1636.7728,446.46666666666664,85,772,10444800,13515,0.2,0.114201464,840,0.00659334659576416,0.0002,-2.1988650615575414,-0.01754872367944093,0.6264919638633728,0.09973776679408426,0.5068587239583333
1532.1892,415.6,86,772,10567680,13673,0.2,0.1125535,850,0.001328965649008751,0.0002,-2.1856586314737796,-0.017471754941683078,0.6508278548717499,0.09782389186351793,0.5054947916666667
1482.0366,399.93333333333334,87,772,10690560,13831,0.2,0.11309854,860,-0.02838832326233387,0.0002,-2.1794952934297425,-0.016510661307687163,0.6296255588531494,0.0938682209837134,0.5037736002604166
1162.7214,313.6,88,772,10813440,13993,0.2,0.11382376,870,-0.01629663072526455,0.0002,-2.1557815928633013,-0.017404443624836858,0.6074653267860413,0.1021415011024025,0.50724609375
1479.9497,399.6,89,772,10936320,14153,0.2,0.114355996,880,-0.024000346660614014,0.0002,-2.1614538846785822,-0.017091335683295864,0.6362043023109436,0.1011829568137182,0.5041300455729166
1393.1978,374.2,90,772,11059200,14313,0.2,0.11460144,890,0.01662643998861313,0.0002,-2.146931597062697,-0.01648725729144644,0.6484727263450623,0.10103736969884873,0.50328857421875
1481.2252,402.6,91,772,11182080,14474,0.2,0.1146427,900,-0.0039329975843429565,0.0002,-2.130752875885616,-0.016753222101482,0.6226335763931274,0.10616747525734051,0.5047688802083333
