time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/approx_kl,train/explained_variance,train/clip_fraction,train/clip_range,train/n_updates,train/loss,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/value_loss
1474560,12,435.44,833.125,1442,1022,0.015857795,0.6379867792129517,0.18433268229166666,0.2,110,0.02441122755408287,-0.010854917156272374,0.0003,-4.157888302182158,0.09819695626366108
1597440,13,427.98,865.4164,1568,1018,0.016468236,0.666898638010025,0.19043701171875,0.2,120,0.0038020722568035126,-0.0108795238124488,0.0003,-4.143884853969018,0.10105994018299194
1720320,14,443.7,910.901,1696,1014,0.017204883,0.6918128132820129,0.19631429036458334,0.2,130,-0.01915336772799492,-0.010514633706479799,0.0003,-4.128873589113355,0.10874173123758131
1843200,15,447.16,900.91205,1826,1008,0.017172603,0.7322185039520264,0.19847574869791668,0.2,140,0.012082241475582123,-0.010590017024896951,0.0003,-4.113529587835074,0.10518511451082305
1966080,16,444.86,923.3471,1954,1005,0.017619856,0.68082594871521,0.201875,0.2,150,0.0333925262093544,-0.010330495529154481,0.0003,-4.097417336404323,0.1133053759454439
2088960,17,431.18,938.6015,2082,1002,0.017636621,0.7153393626213074,0.20394205729166667,0.2,160,0.03140111267566681,-0.010581939045490192,0.0003,-4.08751885107408,0.10919586869820098
2211840,18,449.94,984.1282,2209,1001,0.018634278,0.7723402678966522,0.21207438151041666,0.2,170,0.028391242027282715,-0.010448624086214598,0.0003,-4.073674044969181,0.11732656260156848
2334720,19,432.32,980.77374,2335,999,0.018775502,0.7721415907144547,0.21048177083333333,0.2,180,0.025610052049160004,-0.010758978881731308,0.0003,-4.060686294411619,0.10598339805020562
2457600,20,445.08,1026.2626,2464,997,0.018771807,0.7453188598155975,0.21147705078125,0.2,190,0.02744939737021923,-0.01007833134079495,0.0003,-4.055629170710842,0.12186643984838157
2580480,21,448.76,1084.2297,2592,995,0.019421544,0.7394444942474365,0.21671061197916666,0.2,200,0.04961565136909485,-0.009719602141691819,0.0003,-4.045960907737414,0.12033702382458918
2703360,22,443.6,1048.2312,2719,993,0.019765945,0.729660153388977,0.21977783203125,0.2,210,0.019834496080875397,-0.010383832158683314,0.0003,-4.026347828085224,0.11210234258770167
2826240,23,440.72,1060.5931,2847,992,0.019760946,0.767977699637413,0.22101236979166666,0.2,220,0.018232308328151703,-0.009554421993252618,0.0003,-4.010876878413061,0.1266529027594758
2949120,24,433.44,1027.3818,2976,990,0.019712286,0.7508687674999237,0.22116536458333333,0.2,230,0.03499772399663925,-0.00988700119126103,0.0003,-4.009490275842448,0.11060148494162907
3072000,25,438.94,1075.1989,3107,988,0.019917434,0.7909000962972641,0.22635009765625,0.2,240,0.031166691333055496,-0.009709562242975759,0.0003,-4.000955843031407,0.12558524208288874
3194880,26,442.9,1087.1307,3236,987,0.020506045,0.8052352666854858,0.22638916015625,0.2,250,0.02225099503993988,-0.009722220536223175,0.0003,-3.9918531197682023,0.11954810682936416
