rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/explained_variance,train/n_updates,train/clip_range,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/entropy_loss,train/learning_rate,train/loss
1342.7623,987,4423680,4479,36,433.62,0.8015124350786209,350,0.2,0.1041104754601838,0.023661578,-0.009686863879396697,0.25410563151041665,-3.7863297944143413,0.0003,0.0199352465569973
1390.6641,986,4546560,4606,37,448.7,0.8331009745597839,360,0.2,0.09541773918987019,0.023928713,-0.00991247736575436,0.2535172526041667,-3.7779824915279945,0.0003,0.005638614296913147
1379.6366,986,4669440,4734,38,438.5,0.8386755436658859,370,0.2,0.08967606599956829,0.024111466,-0.010103827439152155,0.25873942057291666,-3.7542939049750568,0.0003,0.011694934219121933
1388.3344,986,4792320,4859,39,440.04,0.8302811235189438,380,0.2,0.09516859471594216,0.024838269,-0.010247343235335696,0.26093180338541666,-3.7431812189146876,0.0003,0.005815964192152023
1418.2444,986,4915200,4984,40,444.1,0.8224316537380219,390,0.2,0.09589047057592931,0.024697827,-0.009877791734500837,0.26150309244791664,-3.731132747915884,0.0003,0.06397315114736557
1387.854,985,5038080,5111,41,432.12,0.7911067754030228,400,0.2,0.10672672944900113,0.025290294,-0.009421077984889052,0.26368326822916666,-3.723067255914211,0.0003,0.04662057012319565
1395.6187,985,5160960,5236,42,441.46,0.8467144966125488,410,0.2,0.10276857248463785,0.025318762,-0.009734802605838316,0.26338623046875,-3.720986151956022,0.0003,0.014676906168460846
1419.721,985,5283840,5361,43,442.72,0.8135247677564621,420,0.2,0.10930264718704469,0.025383584,-0.009783360368868064,0.26640462239583335,-3.7098944395780564,0.0003,0.035525478422641754
1385.0411,984,5406720,5489,44,430.04,0.7802405804395676,430,0.2,0.10890187626282569,0.02491767,-0.008773801036362177,0.26342692057291667,-3.7018055769676965,0.0003,0.0211176797747612
1384.0596,984,5529600,5616,45,436.7,0.8079877942800522,440,0.2,0.10614772732102816,0.025746187,-0.009595424197244332,0.2673722330729167,-3.6890698531766732,0.0003,-0.0028807949274778366
1370.5763,984,5652480,5741,46,426.9,0.7946786731481552,450,0.2,0.11287408986613931,0.025307596,-0.009452197216608813,0.2656526692708333,-3.6725896953667205,0.0003,0.056250449270009995
1398.4741,984,5775360,5866,47,433.22,0.8256735950708389,460,0.2,0.10700586863022181,0.026152994,-0.009623104371621593,0.26821451822916664,-3.669559938882788,0.0003,0.020380903035402298
1417.067,984,5898240,5993,48,440.46,0.8366256207227707,470,0.2,0.0970515907072695,0.025163703,-0.009037129885321822,0.26498860677083336,-3.6494395152231056,0.0003,0.05405521020293236
1411.6362,983,6021120,6120,49,434.38,0.7906528413295746,480,0.2,0.11095395265321713,0.026430577,-0.009250468281934446,0.26983642578125,-3.6409473660588265,0.0003,0.03235333412885666
1444.5693,979,6144000,6273,50,444.22,0.8074198663234711,490,0.2,0.09453113132563885,0.025184404,-0.009125356040300781,0.26419514973958336,-3.6273846387614808,0.0003,0.057705461978912354
1384.6841,979,6266880,6398,51,422.3,0.8025426715612411,500,0.2,0.10086685360748864,0.026458371,-0.009365297702679527,0.2691951497395833,-3.5985229382043085,0.0003,0.013425420969724655
