time/iterations,time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/value_loss,train/loss,train/clip_range,train/learning_rate,train/n_updates,train/entropy_loss,train/clip_fraction
16,289,2621440,450.0,9051,572.2303,-2.3796928871888665e-10,0.0,0.9214432165026665,0.21349720854192128,0.04677312821149826,0.2,0.0003,150,-2.5013474614550348e-17,0.0
17,287,2785280,450.0,9683,560.9845,2.523302100598812e-10,0.0,0.9272598996758461,0.10350331288595044,0.14527976512908936,0.2,0.0003,160,-2.4133584727759398e-17,0.0
18,285,2949120,450.0,10316,581.99994,2.421893441351131e-10,0.0,0.9227556139230728,0.08114622479341961,0.021389635279774666,0.2,0.0003,170,-3.255984289435347e-17,0.0
19,284,3112960,450.0,10944,570.3244,-1.477474143030122e-11,0.0,0.925563171505928,0.057181718418232774,0.08052562922239304,0.2,0.0003,180,-2.6609522217908227e-17,0.0
20,283,3276800,450.0,11574,555.97534,2.1354708223952913e-10,0.0,0.913224846124649,0.06329317772235299,0.02697235904633999,0.2,0.0003,190,-2.9245029916988865e-17,0.0
21,282,3440640,450.0,12197,567.71765,3.4630602385732344e-10,0.0,0.8978164047002792,0.06513826977236022,0.039497654885053635,0.2,0.0003,200,-3.638528592085219e-17,0.0
22,281,3604480,450.0,12822,557.623,3.085028765781317e-10,0.0,0.896358422935009,0.060263999842200065,0.024244848638772964,0.2,0.0003,210,-3.1717651547784704e-17,0.0
23,280,3768320,450.0,13456,559.3234,2.4097062123473735e-11,0.0,0.8546709418296814,0.07962878989161254,0.09743179380893707,0.2,0.0003,220,-2.985571855874635e-17,0.0
24,279,3932160,450.0,14086,580.71893,-1.5807245290488937e-10,0.0,0.8547273278236389,0.07316432439100026,0.035058051347732544,0.2,0.0003,230,-2.0450130814821584e-17,0.0
25,278,4096000,450.0,14712,560.26196,-7.738663043710402e-12,0.0,0.7825824618339539,0.09098381007017452,0.036864347755908966,0.2,0.0003,240,-3.874644755285991e-17,0.0
26,277,4259840,450.0,15337,576.9226,-7.011067282292061e-12,0.0,0.796250194311142,0.0804581918068834,0.043446045368909836,0.2,0.0003,250,-2.826867769495044e-17,0.0
27,277,4423680,450.0,15957,566.30646,-9.738300832395908e-11,0.0,0.7336156368255615,0.09588469051905121,0.007597740739583969,0.2,0.0003,260,-3.0601980745003346e-17,0.0
28,276,4587520,450.0,16589,568.7639,-2.1180994735914281e-10,0.0,0.7823948860168457,0.08379445792668776,0.025978216901421547,0.2,0.0003,270,-2.3586834216571556e-17,0.0
29,276,4751360,450.0,17210,564.3527,-1.2274313121451997e-10,0.0,0.7470794916152954,0.10136073833225964,0.06428548693656921,0.2,0.0003,280,-3.571711331188932e-17,0.0
30,275,4915200,450.0,17847,550.02856,-1.68683982337825e-10,0.0,0.7725784778594971,0.08584214623415391,0.014380952343344688,0.2,0.0003,290,-2.0963677027420777e-17,0.0
31,274,5079040,450.0,18469,578.9426,4.990852175978944e-11,0.0,0.7279345691204071,0.09867983174101028,0.07185797393321991,0.2,0.0003,300,-3.2692520901970904e-17,0.0
32,274,5242880,450.0,19100,562.04193,2.5725057639647275e-11,0.0,0.713383138179779,0.11422606275387807,0.1286928653717041,0.2,0.0003,310,-3.4973053941081084e-17,0.0
33,274,5406720,450.0,19726,570.992,-4.76688910566736e-11,0.0,0.7400177717208862,0.09489253684270807,0.034262098371982574,0.2,0.0003,320,-2.949662258648587e-17,0.0
34,273,5570560,450.0,20359,568.86,-1.1777274266933092e-10,0.0,0.6828544437885284,0.116909108592954,0.049366727471351624,0.2,0.0003,330,-3.226577712343266e-17,0.0
35,273,5734400,450.0,20990,563.5796,-7.263224688358605e-11,0.0,0.7255540490150452,0.09413454421387542,0.03437972441315651,0.2,0.0003,340,-2.4711447175905492e-17,0.0
36,272,5898240,450.0,21624,557.19275,1.5836690181458834e-10,0.0,0.7202449142932892,0.10958142376734031,0.029279310256242752,0.2,0.0003,350,-3.031000426386677e-17,0.0
